date,KODEXAI반도체핵심장비
2023-11-13,1.16054
2023-11-15,4.83558
2023-11-16,7.93036
2023-11-17,6.18955
2023-11-18,9.28433
2023-11-19,15.86073
2023-11-20,30.75435
2023-11-21,100.0
2023-11-22,43.13346
2023-11-23,51.25725
2023-11-24,35.78336
2023-11-25,6.76982
2023-11-26,2.90135
2023-11-27,29.20696
2023-11-28,33.26885
2023-11-29,23.21083
2023-11-30,33.84912
2023-12-01,30.94777
2023-12-02,5.02901
2023-12-03,4.44874
2023-12-04,29.01353
2023-12-05,25.33849
2023-12-06,24.17794
2023-12-07,16.24758
2023-12-08,27.85299
2023-12-09,5.02901
2023-12-10,2.90135
2023-12-11,23.0174
2023-12-12,33.84912
2023-12-13,25.14506
2023-12-14,30.3675
2023-12-15,29.98065
2023-12-16,4.44874
2023-12-17,4.83558
2023-12-18,21.27659
2023-12-19,25.53191
2023-12-20,21.27659
2023-12-21,20.30947
2023-12-22,16.05415
2023-12-23,2.5145
2023-12-24,1.74081
2023-12-25,2.70793
2023-12-26,21.47001
2023-12-27,28.04642
2023-12-28,35.78336
2023-12-29,10.63829
2023-12-30,6.38297
2023-12-31,7.54352
2024-01-01,6.38297
2024-01-02,38.87814
2024-01-03,41.0058
2024-01-04,33.26885
2024-01-05,32.68858
2024-01-06,6.38297
2024-01-07,7.73694
2024-01-08,46.80851
2024-01-09,37.91102
2024-01-10,32.68858
2024-01-11,25.14506
2024-01-12,20.30947
2024-01-13,4.25531
2024-01-14,6.38297
2024-01-15,26.69245
2024-01-16,30.3675
2024-01-17,27.27272
2024-01-18,42.16634
2024-01-19,39.45841
2024-01-20,13.73307
2024-01-21,10.44487
2024-01-22,69.05222
2024-01-23,61.70212
2024-01-24,48.35589
2024-01-25,45.45454
2024-01-26,39.07156
2024-01-27,9.47775
2024-01-28,11.99226
2024-01-29,52.41779
2024-01-30,47.19535
2024-01-31,46.61508
2024-02-01,52.61121
2024-02-02,49.90328
2024-02-03,7.93036
2024-02-04,9.28433
2024-02-05,36.55705
2024-02-06,30.94777
2024-02-07,35.97678
2024-02-08,52.99806
2024-02-09,15.47388
2024-02-10,14.31334
2024-02-11,8.31721
2024-02-12,10.63829
2024-02-13,75.24177
2024-02-14,65.76402
2024-02-15,73.88781
2024-02-16,56.28626
2024-02-17,11.41199
2024-02-18,11.21856
2024-02-19,46.03481
2024-02-20,44.87427
2024-02-21,34.62282
2024-02-22,39.45841
2024-02-23,44.294
2024-02-24,9.67117
2024-02-25,7.15667
2024-02-26,46.03481
2024-02-27,34.81624
2024-02-28,53.19148
2024-02-29,37.13733
2024-03-01,7.35009
2024-03-02,5.8027
2024-03-03,7.54352
2024-03-04,75.04835
2024-03-05,62.86266
2024-03-06,48.54932
2024-03-07,52.41779
2024-03-08,64.60348
2024-03-09,8.89748
2024-03-10,9.0909
2024-03-11,47.38878
2024-03-12,45.64796
2024-03-13,50.67698
2024-03-14,37.52417
2024-03-15,40.2321
2024-03-16,7.35009
2024-03-17,10.44487
2024-03-18,42.16634
2024-03-19,31.91489
2024-03-20,45.45454
