date,라이트코인
2020-03-20,0.60226
2020-03-21,0.41171
2020-03-22,0.37088
2020-03-23,0.44914
2020-03-24,0.5172
2020-03-25,0.46616
2020-03-26,0.43553
2020-03-27,0.3913
2020-03-28,0.29602
2020-03-29,0.21436
2020-03-30,0.34366
2020-03-31,0.29262
2020-04-01,0.27221
2020-04-02,0.2586
2020-04-03,0.28241
2020-04-04,0.25179
2020-04-05,0.22457
2020-04-06,0.35387
2020-04-07,0.42532
2020-04-08,0.36748
2020-04-09,0.46616
2020-04-10,0.48317
2020-04-11,0.29262
2020-04-12,0.36067
2020-04-13,0.3913
2020-04-14,0.33686
2020-04-15,0.30963
2020-04-16,0.40831
2020-04-17,0.31984
2020-04-18,0.27561
2020-04-19,0.29943
2020-04-20,0.43893
2020-04-21,0.3981
2020-04-22,0.30623
2020-04-23,0.3879
2020-04-24,0.35727
2020-04-25,0.30963
2020-04-26,0.28922
2020-04-27,0.36067
2020-04-28,0.25519
2020-04-29,0.41171
2020-04-30,0.40151
2020-05-01,0.28922
2020-05-02,0.21096
2020-05-03,0.35727
2020-05-04,0.2688
2020-05-05,0.24158
2020-05-06,0.33345
2020-05-07,0.40831
2020-05-08,0.5172
2020-05-09,0.3913
2020-05-10,0.37769
2020-05-11,0.29943
2020-05-12,0.20756
2020-05-13,0.30283
2020-05-14,0.44234
2020-05-15,0.27901
2020-05-16,0.18374
2020-05-17,0.22457
2020-05-18,0.3947
2020-05-19,0.40151
2020-05-20,0.31304
2020-05-21,0.30963
2020-05-22,0.25179
2020-05-23,0.16332
2020-05-24,0.20075
2020-05-25,0.24498
2020-05-26,0.22117
2020-05-27,0.21436
2020-05-28,0.27901
2020-05-29,0.24158
2020-05-30,0.16672
2020-05-31,0.27561
2020-06-01,0.33345
2020-06-02,0.42532
2020-06-03,0.2654
2020-06-04,0.22457
2020-06-05,0.27561
2020-06-06,0.18033
2020-06-07,0.20075
2020-06-08,0.31304
2020-06-09,0.14971
2020-06-10,0.27221
2020-06-11,0.20415
2020-06-12,0.23137
2020-06-13,0.15311
2020-06-14,0.17013
2020-06-15,0.31304
2020-06-16,0.38109
2020-06-17,0.28582
2020-06-18,0.2586
2020-06-19,0.21776
2020-06-20,0.14291
2020-06-21,0.15652
2020-06-22,0.22117
2020-06-23,0.19735
2020-06-24,0.1395
2020-06-25,0.18374
2020-06-26,0.18374
2020-06-27,0.14971
2020-06-28,0.11568
2020-06-29,0.14291
2020-06-30,0.16672
2020-07-01,0.16672
2020-07-02,0.19735
2020-07-03,0.16672
2020-07-04,0.17693
2020-07-05,0.21436
2020-07-06,0.262
2020-07-07,0.28582
2020-07-08,0.34706
2020-07-09,0.24158
2020-07-10,0.2586
2020-07-11,0.24498
2020-07-12,0.25519
2020-07-13,0.27901
2020-07-14,0.25179
2020-07-15,0.30963
2020-07-16,0.2654
2020-07-17,0.22457
2020-07-18,0.19054
2020-07-19,0.12589
2020-07-20,0.27221
2020-07-21,0.29262
2020-07-22,0.24158
2020-07-23,0.30283
2020-07-24,0.27221
2020-07-25,0.53421
2020-07-26,0.49678
2020-07-27,0.47977
2020-07-28,0.82683
2020-07-29,0.76559
2020-07-30,0.44914
2020-07-31,0.74517
2020-08-01,0.54442
2020-08-02,1.0344
2020-08-03,0.75198
2020-08-04,0.60226
2020-08-05,0.46956
2020-08-06,0.54782
2020-08-07,0.53761
2020-08-08,0.37428
2020-08-09,0.45595
2020-08-10,0.62608
2020-08-11,0.37769
2020-08-12,0.3879
2020-08-13,0.40831
2020-08-14,0.44574
2020-08-15,0.33005
2020-08-16,0.47977
2020-08-17,0.98336
2020-08-18,0.97315
2020-08-19,0.50699
2020-08-20,0.37428
2020-08-21,0.50018
2020-08-22,0.28241
2020-08-23,0.37088
2020-08-24,0.42873
2020-08-25,0.45595
2020-08-26,0.41852
2020-08-27,0.35727
2020-08-28,0.31644
2020-08-29,0.32665
2020-08-30,0.42532
2020-08-31,0.41852
2020-09-01,0.42532
2020-09-02,0.53761
2020-09-03,0.42532
2020-09-04,0.44914
2020-09-05,0.34366
2020-09-06,0.44914
2020-09-07,0.50018
2020-09-08,0.44574
2020-09-09,0.54101
2020-09-10,0.37088
2020-09-11,0.29262
2020-09-12,0.2688
2020-09-13,0.262
2020-09-14,0.31644
2020-09-15,0.28582
2020-09-16,0.35047
2020-09-17,0.31304
2020-09-18,0.22797
2020-09-19,0.19395
2020-09-20,0.20415
2020-09-21,0.29943
2020-09-22,0.29943
2020-09-23,0.28241
2020-09-24,0.23137
2020-09-25,0.23478
2020-09-26,0.23478
2020-09-27,0.20075
2020-09-28,0.29602
2020-09-29,0.29943
2020-09-30,0.20415
2020-10-01,0.41171
2020-10-02,0.23818
2020-10-03,0.32325
2020-10-04,0.35727
2020-10-05,0.2688
2020-10-06,0.21436
2020-10-07,0.18033
2020-10-08,0.19395
