date,돈많이버는직업
2020-03-20,50.0
2020-03-21,43.625
2020-03-22,46.0
2020-03-23,50.4375
2020-03-24,50.24999
2020-03-25,44.8125
2020-03-26,48.4375
2020-03-27,47.5625
2020-03-28,40.125
2020-03-29,52.5625
2020-03-30,55.5625
2020-03-31,54.3125
2020-04-01,50.9375
2020-04-02,48.0625
2020-04-03,42.6875
2020-04-04,41.5625
2020-04-05,48.25
2020-04-06,53.9375
2020-04-07,51.5625
2020-04-08,53.125
2020-04-09,47.875
2020-04-10,41.875
2020-04-11,40.875
2020-04-12,50.8125
2020-04-13,63.0
2020-04-14,49.4375
2020-04-15,44.0625
2020-04-16,50.125
2020-04-17,44.3125
2020-04-18,41.25
2020-04-19,52.9375
2020-04-20,60.6875
2020-04-21,55.0
2020-04-22,54.0
2020-04-23,49.3125
2020-04-24,44.625
2020-04-25,41.5625
2020-04-26,47.875
2020-04-27,51.0625
2020-04-28,48.6875
2020-04-29,46.125
2020-04-30,36.875
2020-05-01,39.0625
2020-05-02,45.6875
2020-05-03,45.8125
2020-05-04,46.5625
2020-05-05,44.4375
2020-05-06,48.375
2020-05-07,39.375
2020-05-08,41.25
2020-05-09,33.5625
2020-05-10,39.3125
2020-05-11,50.24999
2020-05-12,49.25
2020-05-13,45.3125
2020-05-14,47.625
2020-05-15,47.0625
2020-05-16,44.75
2020-05-17,48.6875
2020-05-18,60.5
2020-05-19,57.3125
2020-05-20,48.4375
2020-05-21,44.875
2020-05-22,39.5
2020-05-23,39.18749
2020-05-24,50.4375
2020-05-25,52.75
2020-05-26,53.0
2020-05-27,51.375
2020-05-28,51.6875
2020-05-29,42.4375
2020-05-30,36.8125
2020-05-31,47.9375
2020-06-01,53.9375
2020-06-02,46.25
2020-06-03,69.0625
2020-06-04,100.0
2020-06-05,65.6875
2020-06-06,57.6875
2020-06-07,62.625
2020-06-08,65.375
2020-06-09,60.625
2020-06-10,57.125
2020-06-11,51.75
2020-06-12,47.875
2020-06-13,45.75
2020-06-14,51.0625
2020-06-15,59.8125
2020-06-16,51.125
2020-06-17,51.5625
2020-06-18,45.375
2020-06-19,39.8125
2020-06-20,34.0625
2020-06-21,48.375
2020-06-22,54.0625
2020-06-23,50.4375
2020-06-24,47.8125
2020-06-25,52.8125
2020-06-26,44.0
2020-06-27,38.3125
2020-06-28,46.5625
2020-06-29,51.0625
2020-06-30,44.875
2020-07-01,45.3125
2020-07-02,42.625
2020-07-03,40.5
2020-07-04,43.1875
2020-07-05,47.1875
2020-07-06,49.25
2020-07-07,46.6875
2020-07-08,43.3125
2020-07-09,47.5625
2020-07-10,37.375
2020-07-11,34.4375
2020-07-12,49.125
2020-07-13,50.0625
2020-07-14,41.9375
2020-07-15,43.375
2020-07-16,41.125
2020-07-17,40.6875
2020-07-18,34.875
2020-07-19,46.6875
2020-07-20,54.0
2020-07-21,44.5
2020-07-22,48.125
2020-07-23,47.8125
2020-07-24,39.5625
2020-07-25,35.0
2020-07-26,51.875
2020-07-27,47.9375
2020-07-28,51.9375
2020-07-29,46.875
2020-07-30,39.0
2020-07-31,36.75
2020-08-01,38.0
2020-08-02,40.74999
2020-08-03,45.1875
2020-08-04,40.0
2020-08-05,39.75
2020-08-06,39.25
2020-08-07,35.0
2020-08-08,35.25
2020-08-09,42.6875
2020-08-10,46.9375
2020-08-11,39.0625
2020-08-12,42.6875
2020-08-13,38.8125
2020-08-14,38.9375
2020-08-15,33.5625
2020-08-16,41.5
2020-08-17,47.375
2020-08-18,48.6875
2020-08-19,43.5
2020-08-20,43.5
2020-08-21,39.375
2020-08-22,39.375
2020-08-23,52.0625
2020-08-24,51.5625
2020-08-25,50.5
2020-08-26,47.0625
2020-08-27,44.875
2020-08-28,47.625
2020-08-29,46.5625
2020-08-30,49.625
2020-08-31,51.1875
2020-09-01,51.25
2020-09-02,54.4375
2020-09-03,56.99999
2020-09-04,52.9375
2020-09-05,41.9375
2020-09-06,54.75
2020-09-07,55.6875
2020-09-08,56.3125
2020-09-09,50.3125
2020-09-10,48.8125
2020-09-11,43.4375
2020-09-12,37.1875
2020-09-13,51.5625
2020-09-14,48.5
2020-09-15,48.5
2020-09-16,46.4375
2020-09-17,47.375
2020-09-18,39.875
2020-09-19,41.8125
2020-09-20,46.9375
2020-09-21,48.1875
2020-09-22,43.625
2020-09-23,40.99999
2020-09-24,37.87499
2020-09-25,37.3125
2020-09-26,34.125
2020-09-27,37.62499
2020-09-28,32.625
2020-09-29,33.9375
2020-09-30,30.8125
2020-10-01,34.625
2020-10-02,32.5625
2020-10-03,37.1875
2020-10-04,42.5625
2020-10-05,44.0625
2020-10-06,47.25
2020-10-07,48.5
2020-10-08,47.0625
2020-10-09,36.75
2020-10-10,37.9375
2020-10-11,45.1875
2020-10-12,45.5
2020-10-13,42.5625
2020-10-14,43.125
2020-10-15,38.4375
2020-10-16,37.1875
2020-10-17,37.3125
2020-10-18,41.4375
2020-10-19,45.5
2020-10-20,41.125
2020-10-21,37.6875
2020-10-22,38.625
2020-10-23,28.0
2020-10-24,29.375
2020-10-25,36.375
2020-10-26,42.1875
2020-10-27,42.0625
2020-10-28,36.4375
2020-10-29,28.9375
2020-10-30,25.9375
2020-10-31,26.75
2020-11-01,35.75
2020-11-02,35.6875
2020-11-03,32.75
2020-11-04,27.5625
2020-11-05,27.9375
2020-11-06,26.5625
2020-11-07,31.5
2020-11-08,35.125
2020-11-09,31.62499
2020-11-10,30.25
2020-11-11,35.875
2020-11-12,35.375
2020-11-13,32.0625
2020-11-14,32.4375
2020-11-15,38.25
2020-11-16,45.3125
2020-11-17,44.25
2020-11-18,43.5
2020-11-19,43.0625
2020-11-20,30.75
2020-11-21,31.62499
2020-11-22,44.1875
2020-11-23,44.9375
2020-11-24,36.375
2020-11-25,36.875
2020-11-26,33.9375
2020-11-27,30.625
2020-11-28,31.5625
2020-11-29,41.375
2020-11-30,37.87499
2020-12-01,39.9375
2020-12-02,33.18749
2020-12-03,34.49999
2020-12-04,35.0625
2020-12-05,29.75
2020-12-06,36.75
2020-12-07,37.9375
2020-12-08,33.375
2020-12-09,36.875
2020-12-10,33.75
2020-12-11,30.625
2020-12-12,25.875
2020-12-13,33.5625
2020-12-14,42.8125
2020-12-15,39.75
2020-12-16,33.75
2020-12-17,35.5
2020-12-18,32.5625
2020-12-19,30.9375
2020-12-20,37.75
2020-12-21,36.125
2020-12-22,33.9375
2020-12-23,35.1875
2020-12-24,28.1875
2020-12-25,27.5625
2020-12-26,35.125
2020-12-27,40.3125
2020-12-28,39.6875
2020-12-29,38.375
