date,엔에이치투자증권
2020-03-20,39.53033
2020-03-21,5.67514
2020-03-22,5.47945
2020-03-23,43.05283
2020-03-24,37.76908
2020-03-25,55.57729
2020-03-26,54.01174
2020-03-27,38.74755
2020-03-28,6.45792
2020-03-29,7.82778
2020-03-30,40.90019
2020-03-31,38.74755
2020-04-01,41.68297
2020-04-02,36.20352
2020-04-03,35.81213
2020-04-04,5.47945
2020-04-05,4.89236
2020-04-06,41.87866
2020-04-07,39.13894
2020-04-08,42.07436
2020-04-09,35.42074
2020-04-10,32.87671
2020-04-11,7.2407
2020-04-12,6.26223
2020-04-13,33.0724
2020-04-14,25.44031
2020-04-15,7.045
2020-04-16,26.41878
2020-04-17,38.94324
2020-04-18,4.30528
2020-04-19,7.2407
2020-04-20,34.63796
2020-04-21,33.2681
2020-04-22,33.85518
2020-04-23,28.57142
2020-04-24,29.74559
2020-04-25,3.71819
2020-04-26,6.65362
2020-04-27,36.39921
2020-04-28,42.85714
2020-04-29,47.16242
2020-04-30,5.28375
2020-05-01,9.19765
2020-05-02,4.89236
2020-05-03,6.45792
2020-05-04,38.16046
2020-05-05,9.39334
2020-05-06,43.44422
2020-05-07,37.76908
2020-05-08,33.65949
2020-05-09,5.28375
2020-05-10,5.67514
2020-05-11,37.76908
2020-05-12,36.39921
2020-05-13,40.5088
2020-05-14,36.00782
2020-05-15,41.09589
2020-05-16,5.47945
2020-05-17,5.67514
2020-05-18,34.05088
2020-05-19,44.81409
2020-05-20,44.4227
2020-05-21,44.61839
2020-05-22,38.16046
2020-05-23,4.50097
2020-05-24,4.10958
2020-05-25,38.74755
2020-05-26,41.29158
2020-05-27,46.18395
2020-05-28,56.94716
2020-05-29,42.46575
2020-05-30,6.06653
2020-05-31,4.10958
2020-06-01,58.9041
2020-06-02,45.79256
2020-06-03,65.55772
2020-06-04,54.20743
2020-06-05,45.98825
2020-06-06,5.47945
2020-06-07,4.30528
2020-06-08,42.46575
2020-06-09,33.0724
2020-06-10,49.31506
2020-06-11,42.27005
2020-06-12,36.20352
2020-06-13,6.84931
2020-06-14,5.47945
2020-06-15,48.1409
2020-06-16,43.83561
2020-06-17,48.72798
2020-06-18,49.11937
2020-06-19,48.72798
2020-06-20,7.2407
2020-06-21,9.58904
2020-06-22,50.88062
2020-06-23,73.38551
2020-06-24,88.6497
2020-06-25,62.42661
2020-06-26,71.23287
2020-06-27,4.69667
2020-06-28,7.2407
2020-06-29,49.51076
2020-06-30,47.35812
2020-07-01,56.36007
2020-07-02,56.55577
2020-07-03,51.27201
2020-07-04,3.32681
2020-07-05,4.89236
2020-07-06,42.07436
2020-07-07,45.00978
2020-07-08,43.05283
2020-07-09,47.74951
2020-07-10,29.5499
2020-07-11,5.47945
2020-07-12,3.32681
2020-07-13,47.55381
2020-07-14,42.66144
2020-07-15,44.03131
2020-07-16,57.53424
2020-07-17,50.29354
2020-07-18,9.00195
2020-07-19,9.78473
2020-07-20,43.05283
2020-07-21,51.6634
2020-07-22,55.57729
2020-07-23,53.03326
2020-07-24,58.12133
2020-07-25,8.02348
2020-07-26,7.63209
2020-07-27,45.59686
2020-07-28,63.20939
2020-07-29,56.75146
2020-07-30,49.90215
2020-07-31,43.83561
2020-08-01,4.50097
2020-08-02,5.28375
2020-08-03,51.07632
2020-08-04,69.47162
2020-08-05,76.32093
2020-08-06,68.68884
2020-08-07,61.25244
2020-08-08,7.82778
2020-08-09,6.26223
2020-08-10,93.73776
2020-08-11,91.58512
2020-08-12,69.08023
2020-08-13,71.42857
2020-08-14,61.05675
