date,아파트시세조회
2020-03-20,37.43016
2020-03-21,37.15083
2020-03-22,43.76163
2020-03-23,39.29236
2020-03-24,40.13035
2020-03-25,36.21973
2020-03-26,43.76163
2020-03-27,35.10242
2020-03-28,36.49906
2020-03-29,39.6648
2020-03-30,34.26443
2020-03-31,29.70204
2020-04-01,53.44506
2020-04-02,33.61266
2020-04-03,33.42644
2020-04-04,32.30912
2020-04-05,27.56052
2020-04-06,34.07821
2020-04-07,35.00931
2020-04-08,37.70949
2020-04-09,30.44692
2020-04-10,30.81936
2020-04-11,29.23649
2020-04-12,28.02607
2020-04-13,30.91247
2020-04-14,29.79515
2020-04-15,29.14338
2020-04-16,29.88826
2020-04-17,26.62942
2020-04-18,31.28491
2020-04-19,27.3743
2020-04-20,30.16759
2020-04-21,30.91247
2020-04-22,33.70577
2020-04-23,26.81564
2020-04-24,26.35009
2020-04-25,26.53631
2020-04-26,29.88826
2020-04-27,32.30912
2020-04-28,36.77839
2020-04-29,28.3054
2020-04-30,29.3296
2020-05-01,29.42271
2020-05-02,31.00558
2020-05-03,33.51955
2020-05-04,26.62942
2020-05-05,28.67783
2020-05-06,28.11918
2020-05-07,31.00558
2020-05-08,31.84357
2020-05-09,29.98137
2020-05-10,29.3296
2020-05-11,38.45437
2020-05-12,35.47486
2020-05-13,34.17132
2020-05-14,39.01303
2020-05-15,41.15456
2020-05-16,35.28864
2020-05-17,35.00931
2020-05-18,39.19925
2020-05-19,40.22346
2020-05-20,33.33333
2020-05-21,35.75418
2020-05-22,33.054
2020-05-23,31.37802
2020-05-24,36.12662
2020-05-25,40.22346
2020-05-26,40.78212
2020-05-27,37.52327
2020-05-28,36.31284
2020-05-29,30.81936
2020-05-30,28.21229
2020-05-31,30.54003
2020-06-01,39.75791
2020-06-02,33.61266
2020-06-03,32.86778
2020-06-04,36.8715
2020-06-05,34.54376
2020-06-06,31.1918
2020-06-07,31.75046
2020-06-08,39.75791
2020-06-09,41.527
2020-06-10,40.31657
2020-06-11,51.30353
2020-06-12,45.06517
2020-06-13,40.31657
2020-06-14,38.08193
2020-06-15,45.62383
2020-06-16,46.36871
2020-06-17,56.70391
2020-06-18,53.07262
2020-06-19,47.11359
2020-06-20,33.14711
2020-06-21,38.26815
2020-06-22,45.53072
2020-06-23,45.90316
2020-06-24,40.78212
2020-06-25,47.48603
2020-06-26,38.08193
2020-06-27,39.01303
2020-06-28,44.4134
2020-06-29,49.25512
2020-06-30,42.17877
2020-07-01,47.29981
2020-07-02,56.42458
2020-07-03,51.67597
2020-07-04,39.10614
2020-07-05,47.57914
2020-07-06,60.4283
2020-07-07,52.23463
2020-07-08,56.33147
2020-07-09,65.1769
2020-07-10,55.30726
2020-07-11,44.13407
2020-07-12,34.82309
2020-07-13,43.85474
2020-07-14,48.04469
2020-07-15,44.59962
2020-07-16,50.74487
2020-07-17,46.36871
2020-07-18,46.18249
2020-07-19,45.25139
2020-07-20,48.51024
2020-07-21,49.62756
2020-07-22,48.23091
2020-07-23,50.0
2020-07-24,45.3445
2020-07-25,42.36499
2020-07-26,44.97206
2020-07-27,48.97579
2020-07-28,42.73743
2020-07-29,64.61824
2020-07-30,62.2905
2020-07-31,50.0
2020-08-01,43.76163
2020-08-02,47.85847
2020-08-03,76.81564
2020-08-04,62.94227
2020-08-05,52.42085
2020-08-06,58.93854
2020-08-07,54.28305
2020-08-08,51.0242
2020-08-09,55.12104
2020-08-10,63.2216
2020-08-11,64.80446
2020-08-12,69.55307
2020-08-13,55.77281
2020-08-14,50.46554
2020-08-15,47.2067
2020-08-16,48.1378
2020-08-17,52.23463
2020-08-18,48.1378
2020-08-19,53.91061
2020-08-20,57.44878
2020-08-21,50.74487
2020-08-22,48.78957
2020-08-23,48.88268
2020-08-24,51.11731
2020-08-25,46.64804
2020-08-26,52.8864
2020-08-27,51.30353
2020-08-28,46.08938
2020-08-29,46.2756
2020-08-30,40.40968
2020-08-31,52.70018
2020-09-01,50.83798
2020-09-02,47.2067
2020-09-03,47.29981
2020-09-04,43.4823
2020-09-05,36.68528
2020-09-06,48.23091
2020-09-07,50.46554
2020-09-08,52.23463
2020-09-09,47.39292
2020-09-10,50.74487
2020-09-11,43.01675
2020-09-12,38.91992
2020-09-13,44.69273
2020-09-14,44.59962
2020-09-15,44.50651
2020-09-16,44.22718
2020-09-17,45.71694
2020-09-18,39.29236
2020-09-19,36.49906
2020-09-20,41.06145
2020-09-21,44.4134
2020-09-22,41.43389
2020-09-23,35.56797
2020-09-24,35.10242
2020-09-25,37.8026
2020-09-26,32.40223
2020-09-27,34.82309
2020-09-28,42.83054
2020-09-29,30.07448
2020-09-30,31.56424
2020-10-01,39.10614
2020-10-02,45.3445
2020-10-03,46.08938
2020-10-04,46.2756
2020-10-05,53.44506
2020-10-06,52.79329
2020-10-07,45.53072
2020-10-08,48.41713
2020-10-09,47.95158
2020-10-10,40.68901
2020-10-11,39.01303
2020-10-12,62.47672
2020-10-13,51.48975
2020-10-14,57.26256
2020-10-15,57.07635
2020-10-16,52.79329
2020-10-17,47.48603
2020-10-18,47.2067
2020-10-19,50.74487
2020-10-20,44.87895
2020-10-21,50.46554
2020-10-22,50.0
2020-10-23,40.13035
2020-10-24,42.64432
2020-10-25,41.15456
2020-10-26,53.63128
2020-10-27,49.53445
2020-10-28,54.65549
2020-10-29,50.65176
2020-10-30,44.04096
2020-10-31,40.78212
2020-11-01,40.78212
2020-11-02,50.27932
2020-11-03,50.83798
2020-11-04,43.38919
2020-11-05,57.91433
2020-11-06,44.87895
2020-11-07,44.04096
2020-11-08,46.92737
2020-11-09,43.85474
2020-11-10,49.53445
2020-11-11,59.4972
2020-11-12,65.27001
2020-11-13,73.18435
2020-11-14,49.53445
2020-11-15,55.02793
2020-11-16,70.11173
2020-11-17,62.75605
2020-11-18,100.0
2020-11-19,87.43016
2020-11-20,77.00186
2020-11-21,63.12849
2020-11-22,59.4972
2020-11-23,72.81191
2020-11-24,63.2216
2020-11-25,60.14897
2020-11-26,54.46927
2020-11-27,56.05214
2020-11-28,48.78957
2020-11-29,50.37243
2020-11-30,59.12476
2020-12-01,56.05214
2020-12-02,53.44506
2020-12-03,66.20111
2020-12-04,62.19739
2020-12-05,45.81005
2020-12-06,56.05214
2020-12-07,52.70018
2020-12-08,46.74115
2020-12-09,50.46554
2020-12-10,75.88454
2020-12-11,70.29795
2020-12-12,53.8175
2020-12-13,59.4972
2020-12-14,58.65921
2020-12-15,51.48975
2020-12-16,53.07262
2020-12-17,67.69087
2020-12-18,62.56983
2020-12-19,49.81378
2020-12-20,40.40968
2020-12-21,42.83054
2020-12-22,45.53072
2020-12-23,46.92737
2020-12-24,45.25139
2020-12-25,45.43761
2020-12-26,43.66852
2020-12-27,60.70763
2020-12-28,57.35567
2020-12-29,56.79702
2020-12-30,52.23463
2020-12-31,49.44134
2021-01-01,51.30353
2021-01-02,46.18249
2021-01-03,60.4283
2021-01-04,57.35567
2021-01-05,61.63873
2021-01-06,49.25512
2021-01-07,48.23091
2021-01-08,45.43761
2021-01-09,52.70018
2021-01-10,55.86592
2021-01-11,55.86592
2021-01-12,52.60707
2021-01-13,56.98324
2021-01-14,59.12476
2021-01-15,59.77653
2021-01-16,57.82122
2021-01-17,55.30726
2021-01-18,57.35567
2021-01-19,56.98324
2021-01-20,48.78957
2021-01-21,68.43575
2021-01-22,62.56983
2021-01-23,57.82122
2021-01-24,54.00372
2021-01-25,59.59031
2021-01-26,57.16945
2021-01-27,58.75232
2021-01-28,60.80074
2021-01-29,53.91061
2021-01-30,50.74487
2021-01-31,56.98324
2021-02-01,51.67597
2021-02-02,58.19366
2021-02-03,53.53817
2021-02-04,49.34823
2021-02-05,43.01675
2021-02-06,44.78584
2021-02-07,49.25512
2021-02-08,44.69273
2021-02-09,42.08566
2021-02-10,42.73743
2021-02-11,39.47858
