date,채권소멸시효
2020-03-20,34.10596
2020-03-21,16.66666
2020-03-22,16.00441
2020-03-23,34.76821
2020-03-24,41.0596
2020-03-25,39.62472
2020-03-26,35.43046
2020-03-27,30.13245
2020-03-28,14.67991
2020-03-29,13.57615
2020-03-30,31.01545
2020-03-31,35.43046
2020-04-01,33.33333
2020-04-02,28.25607
2020-04-03,34.98896
2020-04-04,16.22516
2020-04-05,17.54966
2020-04-06,35.43046
2020-04-07,36.20309
2020-04-08,35.76158
2020-04-09,48.67549
2020-04-10,36.20309
2020-04-11,23.28918
2020-04-12,17.43929
2020-04-13,41.9426
2020-04-14,39.73509
2020-04-15,20.64017
2020-04-16,34.21633
2020-04-17,34.87858
2020-04-18,19.75717
2020-04-19,17.43929
2020-04-20,41.61147
2020-04-21,40.06622
2020-04-22,48.01324
2020-04-23,40.94922
2020-04-24,37.08609
2020-04-25,19.42604
2020-04-26,20.64017
2020-04-27,39.29359
2020-04-28,41.0596
2020-04-29,36.53421
2020-04-30,19.20529
2020-05-01,19.97792
2020-05-02,17.88079
2020-05-03,16.00441
2020-05-04,100.0
2020-05-05,33.66445
2020-05-06,49.66887
2020-05-07,44.92273
2020-05-08,36.09271
2020-05-09,24.28256
2020-05-10,21.30242
2020-05-11,50.99337
2020-05-12,46.35761
2020-05-13,42.49448
2020-05-14,42.49448
2020-05-15,33.11258
2020-05-16,22.07505
2020-05-17,23.50993
2020-05-18,41.0596
2020-05-19,44.59161
2020-05-20,45.80573
2020-05-21,45.69536
2020-05-22,39.73509
2020-05-23,21.8543
2020-05-24,19.97792
2020-05-25,47.24061
2020-05-26,45.69536
2020-05-27,42.71523
2020-05-28,40.28697
2020-05-29,30.46357
2020-05-30,13.7969
2020-05-31,14.45916
2020-06-01,33.99558
2020-06-02,35.54083
2020-06-03,38.96247
2020-06-04,38.30022
2020-06-05,35.65121
2020-06-06,18.87417
2020-06-07,17.54966
2020-06-08,42.16335
2020-06-09,39.51434
2020-06-10,37.63796
2020-06-11,43.48785
2020-06-12,35.76158
2020-06-13,19.42604
2020-06-14,18.98454
2020-06-15,35.09933
2020-06-16,38.85209
2020-06-17,33.66445
2020-06-18,42.93598
2020-06-19,33.55408
2020-06-20,15.01103
2020-06-21,17.43929
2020-06-22,37.08609
2020-06-23,38.74172
2020-06-24,40.94922
2020-06-25,39.84547
2020-06-26,32.45033
2020-06-27,16.55629
2020-06-28,13.90728
2020-06-29,30.7947
2020-06-30,33.77483
2020-07-01,32.5607
2020-07-02,39.62472
2020-07-03,33.55408
2020-07-04,17.10816
2020-07-05,18.21192
2020-07-06,28.91832
2020-07-07,33.11258
2020-07-08,34.98896
2020-07-09,32.22958
2020-07-10,32.78145
2020-07-11,16.33554
2020-07-12,19.42604
2020-07-13,33.22295
2020-07-14,36.75496
2020-07-15,33.66445
2020-07-16,33.55408
2020-07-17,31.34657
2020-07-18,17.88079
2020-07-19,18.43267
2020-07-20,38.18984
2020-07-21,39.62472
2020-07-22,41.16997
2020-07-23,34.54746
2020-07-24,34.87858
2020-07-25,19.31567
2020-07-26,15.23178
2020-07-27,30.46357
2020-07-28,38.18984
2020-07-29,37.30684
2020-07-30,29.80132
2020-07-31,26.60044
2020-08-01,14.45916
2020-08-02,13.46578
2020-08-03,27.59381
2020-08-04,27.26269
2020-08-05,30.90507
2020-08-06,27.70419
2020-08-07,30.13245
2020-08-08,18.54304
2020-08-09,12.58278
2020-08-10,32.5607
2020-08-11,30.90507
2020-08-12,32.1192
2020-08-13,34.32671
2020-08-14,27.92494
2020-08-15,14.12803
2020-08-16,11.36865
2020-08-17,15.12141
2020-08-18,28.80794
2020-08-19,29.02869
2020-08-20,33.22295
2020-08-21,31.56732
2020-08-22,12.4724
2020-08-23,11.47902
2020-08-24,20.30905
2020-08-25,24.50331
2020-08-26,25.93818
2020-08-27,28.25607
2020-08-28,22.2958
2020-08-29,13.02428
2020-08-30,8.05739
2020-08-31,18.98454
2020-09-01,31.45695
2020-09-02,30.02207
2020-09-03,23.39955
2020-09-04,24.72406
2020-09-05,12.58278
2020-09-06,11.36865
2020-09-07,21.96467
2020-09-08,27.15231
2020-09-09,33.33333
2020-09-10,32.33995
2020-09-11,29.24944
2020-09-12,16.00441
2020-09-13,11.69977
2020-09-14,29.13907
2020-09-15,33.99558
2020-09-16,33.33333
2020-09-17,33.8852
2020-09-18,29.47019
2020-09-19,16.55629
2020-09-20,18.54304
2020-09-21,30.13245
2020-09-22,32.5607
2020-09-23,51.766
2020-09-24,36.20309
2020-09-25,31.56732
2020-09-26,15.01103
2020-09-27,13.90728
2020-09-28,31.6777
2020-09-29,27.15231
2020-09-30,11.03752
2020-10-01,12.36203
2020-10-02,12.36203
2020-10-03,14.01766
2020-10-04,17.54966
2020-10-05,32.67108
2020-10-06,33.4437
2020-10-07,31.6777
2020-10-08,31.2362
2020-10-09,17.43929
2020-10-10,16.22516
2020-10-11,13.90728
2020-10-12,29.91169
2020-10-13,33.77483
2020-10-14,36.75496
2020-10-15,35.54083
2020-10-16,34.98896
2020-10-17,15.45253
2020-10-18,15.45253
2020-10-19,36.09271
2020-10-20,36.64459
2020-10-21,35.32008
2020-10-22,32.67108
2020-10-23,37.19646
2020-10-24,24.72406
2020-10-25,18.76379
2020-10-26,39.07284
2020-10-27,38.85209
2020-10-28,37.08609
2020-10-29,39.18322
2020-10-30,29.24944
2020-10-31,19.09492
2020-11-01,19.09492
2020-11-02,36.53421
2020-11-03,31.2362
2020-11-04,28.14569
2020-11-05,28.91832
2020-11-06,31.89845
2020-11-07,14.01766
2020-11-08,16.33554
2020-11-09,32.33995
2020-11-10,34.10596
2020-11-11,33.77483
