date,3월신용카드캐시백
2022-03-01,3.1746
2022-03-02,6.3492
2022-03-03,5.8201
2022-03-13,3.1746
2023-02-28,4.2328
2023-03-01,41.79894
2023-03-02,33.33333
2023-03-03,58.20105
2023-03-04,37.03703
2023-03-05,39.68253
2023-03-06,44.97354
2023-03-07,44.97354
2023-03-08,28.57142
2023-03-09,35.97883
2023-03-10,22.22222
2023-03-11,14.28571
2023-03-12,28.57142
2023-03-13,25.39682
2023-03-14,30.15873
2023-03-15,23.28042
2023-03-16,29.62962
2023-03-17,25.92592
2023-03-18,16.93121
2023-03-19,11.64021
2023-03-20,23.28042
2023-03-21,26.45502
2023-03-22,24.33862
2023-03-23,16.40211
2023-03-24,26.45502
2023-03-25,11.11111
2023-03-26,14.28571
2023-03-27,20.10582
2023-03-28,15.34391
2023-03-29,19.57671
2023-03-30,12.16931
2023-03-31,12.16931
2023-04-01,11.11111
2023-04-02,2.6455
2023-04-03,3.1746
2023-04-11,2.6455
2024-02-28,9.5238
2024-02-29,7.9365
2024-03-01,75.66137
2024-03-02,75.66137
2024-03-03,85.18518
2024-03-04,100.0
2024-03-05,91.53439
2024-03-06,84.12698
2024-03-07,67.19576
2024-03-08,42.85714
2024-03-09,30.15873
2024-03-10,44.44444
2024-03-11,58.73015
2024-03-12,52.38095
2024-03-13,45.50264
2024-03-14,33.86243
2024-03-15,33.33333
2024-03-16,18.51851
2024-03-17,26.98412
2024-03-18,29.10052
2024-03-19,38.09523
2024-03-20,32.27513
