date,금융
2020-03-20,81.79845
2020-03-21,38.47637
2020-03-22,33.4619
2020-03-23,82.44937
2020-03-24,79.99035
2020-03-25,74.7107
2020-03-26,70.63645
2020-03-27,65.6702
2020-03-28,33.65477
2020-03-29,31.70202
2020-03-30,63.30761
2020-03-31,56.55737
2020-04-01,54.79749
2020-04-02,50.72324
2020-04-03,47.51687
2020-04-04,24.92767
2020-04-05,26.25361
2020-04-06,50.28929
2020-04-07,53.68852
2020-04-08,47.0106
2020-04-09,38.5728
2020-04-10,42.81581
2020-04-11,23.67405
2020-04-12,24.22854
2020-04-13,42.40597
2020-04-14,37.56027
2020-04-15,23.57762
2020-04-16,43.10511
2020-04-17,45.37126
2020-04-18,22.80617
2020-04-19,23.57762
2020-04-20,41.32111
2020-04-21,47.78206
2020-04-22,44.76856
2020-04-23,40.47733
2020-04-24,36.71648
2020-04-25,19.35872
2020-04-26,20.87753
2020-04-27,38.71745
2020-04-28,37.48794
2020-04-29,32.35294
2020-04-30,18.081
2020-05-01,19.14175
2020-05-02,16.92381
2020-05-03,16.89971
2020-05-04,32.73866
2020-05-05,20.03375
2020-05-06,33.70298
2020-05-07,30.4484
2020-05-08,27.29026
2020-05-09,18.37029
2020-05-10,18.85245
2020-05-11,32.01542
2020-05-12,31.24397
2020-05-13,29.8457
2020-05-14,33.38958
2020-05-15,27.33847
2020-05-16,16.15236
2020-05-17,15.71841
2020-05-18,30.47251
2020-05-19,32.5458
2020-05-20,28.76084
2020-05-21,28.35101
2020-05-22,27.14561
2020-05-23,16.61041
2020-05-24,17.4783
2020-05-25,30.61716
2020-05-26,32.32883
2020-05-27,31.29218
2020-05-28,36.04146
2020-05-29,27.02507
2020-05-30,16.89971
2020-05-31,18.081
2020-06-01,30.11089
2020-06-02,30.37608
2020-06-03,37.0781
2020-06-04,33.4378
2020-06-05,30.49662
2020-06-06,16.36933
2020-06-07,17.43008
2020-06-08,31.09932
2020-06-09,32.78688
2020-06-10,29.60462
2020-06-11,32.66634
2020-06-12,34.23336
2020-06-13,16.32111
2020-06-14,37.10221
2020-06-15,65.47733
2020-06-16,37.0781
2020-06-17,33.22082
2020-06-18,31.21986
2020-06-19,28.97782
2020-06-20,16.56219
2020-06-21,17.04435
2020-06-22,33.1485
2020-06-23,30.20732
2020-06-24,33.22082
2020-06-25,33.26904
2020-06-26,26.47058
2020-06-27,15.93539
2020-06-28,16.68273
2020-06-29,29.91803
2020-06-30,29.94214
2020-07-01,29.07425
2020-07-02,30.4243
2020-07-03,26.95274
2020-07-04,15.79074
2020-07-05,19.11764
2020-07-06,33.36547
2020-07-07,33.19672
2020-07-08,29.67695
2020-07-09,30.15911
2020-07-10,29.45998
2020-07-11,15.69431
2020-07-12,18.6837
2020-07-13,30.56894
2020-07-14,32.95564
2020-07-15,31.027
2020-07-16,31.79845
2020-07-17,27.4349
2020-07-18,15.95949
2020-07-19,18.90067
2020-07-20,31.50916
2020-07-21,31.53326
2020-07-22,34.28158
2020-07-23,34.9566
2020-07-24,30.47251
2020-07-25,17.98457
2020-07-26,21.0945
2020-07-27,32.66634
2020-07-28,36.52362
2020-07-29,35.14946
2020-07-30,33.38958
2020-07-31,31.55737
2020-08-01,16.89971
2020-08-02,19.2864
2020-08-03,34.9566
2020-08-04,34.57087
2020-08-05,36.81292
2020-08-06,37.80135
2020-08-07,36.162
2020-08-08,21.81774
2020-08-09,23.72227
2020-08-10,47.34811
2020-08-11,45.17839
2020-08-12,45.78109
2020-08-13,39.39247
2020-08-14,38.95853
2020-08-15,18.73191
2020-08-16,17.35776
2020-08-17,23.8187
2020-08-18,39.63355
2020-08-19,35.14946
2020-08-20,46.11861
2020-08-21,36.28254
2020-08-22,18.70781
2020-08-23,20.70877
2020-08-24,34.90838
2020-08-25,38.95853
2020-08-26,41.99614
2020-08-27,42.55062
2020-08-28,37.48794
2020-08-29,19.50337
2020-08-30,22.83027
2020-08-31,44.06943
2020-09-01,42.76759
2020-09-02,44.98553
2020-09-03,47.83027
2020-09-04,50.33751
2020-09-05,22.66152
2020-09-06,24.13211
2020-09-07,48.74638
2020-09-08,44.55159
2020-09-09,46.67309
2020-09-10,49.61427
2020-09-11,40.11571
2020-09-12,23.14368
2020-09-13,25.48216
2020-09-14,46.43201
2020-09-15,44.69623
2020-09-16,45.87753
2020-09-17,46.07039
2020-09-18,41.94792
2020-09-19,27.65188
2020-09-20,30.88235
2020-09-21,50.3134
2020-09-22,52.04918
2020-09-23,40.88717
2020-09-24,44.40694
2020-09-25,34.45033
2020-09-26,18.56316
2020-09-27,19.31051
2020-09-28,33.36547
2020-09-29,28.13404
2020-09-30,15.33269
2020-10-01,13.40405
2020-10-02,15.42912
2020-10-03,16.73095
2020-10-04,20.87753
2020-10-05,34.11282
2020-10-06,33.17261
2020-10-07,32.18418
2020-10-08,32.18418
2020-10-09,16.65863
2020-10-10,16.99614
2020-10-11,19.38283
2020-10-12,31.75024
2020-10-13,33.89585
2020-10-14,30.01446
2020-10-15,36.37897
2020-10-16,32.13596
2020-10-17,18.05689
2020-10-18,17.52651
2020-10-19,31.9431
2020-10-20,32.64223
2020-10-21,31.53326
2020-10-22,31.70202
2020-10-23,27.45901
2020-10-24,17.38187
2020-10-25,20.97396
2020-10-26,33.12439
2020-10-27,32.30472
2020-10-28,32.2324
2020-10-29,34.40212
2020-10-30,28.97782
2020-10-31,16.77917
2020-11-01,16.97203
2020-11-02,28.18225
2020-11-03,23.91513
2020-11-04,28.37512
2020-11-05,32.2324
2020-11-06,29.02603
2020-11-07,15.76663
2020-11-08,17.38187
2020-11-09,33.1485
2020-11-10,37.12632
2020-11-11,36.93346
2020-11-12,35.60752
2020-11-13,32.52169
2020-11-14,19.11764
2020-11-15,17.67116
2020-11-16,39.36837
2020-11-17,37.72902
2020-11-18,36.21022
2020-11-19,33.94406
2020-11-20,29.67695
2020-11-21,18.29797
2020-11-22,21.11861
2020-11-23,33.63066
2020-11-24,34.01639
2020-11-25,39.39247
2020-11-26,35.27
2020-11-27,32.52169
2020-11-28,21.79363
2020-11-29,22.75795
2020-11-30,33.96817
2020-12-01,36.7647
2020-12-02,38.64513
2020-12-03,40.57377
2020-12-04,37.48794
2020-12-05,21.74541
2020-12-06,23.48119
2020-12-07,42.33365
2020-12-08,41.46576
2020-12-09,45.58823
2020-12-10,42.52651
2020-12-11,39.4648
2020-12-12,23.45708
2020-12-13,26.66345
2020-12-14,40.79074
2020-12-15,38.71745
2020-12-16,42.14079
2020-12-17,40.74252
2020-12-18,34.88428
2020-12-19,21.43201
2020-12-20,24.22854
2020-12-21,39.4648
2020-12-22,43.3944
2020-12-23,42.96046
2020-12-24,36.25843
2020-12-25,19.52748
2020-12-26,20.27483
2020-12-27,26.32594
2020-12-28,45.73288
2020-12-29,47.25168
2020-12-30,41.82738
2020-12-31,25.57859
2021-01-01,21.60077
2021-01-02,23.36065
2021-01-03,25.98842
2021-01-04,60.80038
2021-01-05,56.29218
2021-01-06,64.1755
2021-01-07,65.45323
2021-01-08,65.57377
2021-01-09,35.34233
2021-01-10,38.09064
2021-01-11,78.68852
2021-01-12,68.65959
2021-01-13,64.82642
2021-01-14,58.60655
2021-01-15,72.63741
2021-01-16,43.12921
2021-01-17,35.36644
2021-01-18,60.53519
2021-01-19,60.02892
2021-01-20,53.0135
2021-01-21,59.76374
2021-01-22,56.0511
2021-01-23,31.027
2021-01-24,29.12246
2021-01-25,57.81099
2021-01-26,59.42622
2021-01-27,55.18322
2021-01-28,57.01542
2021-01-29,56.24397
2021-01-30,29.8216
2021-01-31,27.24204
2021-02-01,49.61427
2021-02-02,44.23818
2021-02-03,48.24011
2021-02-04,43.6837
2021-02-05,40.93539
2021-02-06,22.39633
2021-02-07,25.48216
2021-02-08,44.09353
2021-02-09,38.8621
2021-02-10,35.14946
2021-02-11,20.70877
2021-02-12,20.27483
2021-02-13,21.19093
2021-02-14,25.36162
2021-02-15,50.9161
2021-02-16,50.21697
2021-02-17,50.94021
2021-02-18,50.45805
2021-02-19,45.00964
2021-02-20,25.86788
2021-02-21,27.50723
2021-02-22,47.22757
2021-02-23,49.08389
2021-02-24,53.06171
2021-02-25,51.13307
2021-02-26,49.7107
2021-02-27,24.39729
