date,건강보험
2020-03-20,17.26816
2020-03-21,5.28001
2020-03-22,5.64839
2020-03-23,20.21515
2020-03-24,23.19683
2020-03-25,22.56419
2020-03-26,21.66462
2020-03-27,19.57183
2020-03-28,7.09785
2020-03-29,7.69846
2020-03-30,44.51444
2020-03-31,35.87368
2020-04-01,31.70679
2020-04-02,29.1175
2020-04-03,100.0
2020-04-04,25.84218
2020-04-05,12.78629
2020-04-06,43.77502
2020-04-07,31.53862
2020-04-08,27.41711
2020-04-09,27.52122
2020-04-10,30.28402
2020-04-11,8.54732
2020-04-12,7.39682
2020-04-13,27.81218
2020-04-14,23.90422
2020-04-15,9.33479
2020-04-16,25.2042
2020-04-17,22.12642
2020-04-18,6.83893
2020-04-19,7.21531
2020-04-20,28.01772
2020-04-21,26.85921
2020-04-22,32.90267
2020-04-23,27.75612
2020-04-24,28.10047
2020-04-25,7.12188
2020-04-26,7.0071
2020-04-27,26.70439
2020-04-28,24.82515
2020-04-29,26.02637
2020-04-30,10.41855
2020-05-01,11.5477
2020-05-02,6.74283
2020-05-03,7.52762
2020-05-04,30.03043
2020-05-05,12.2444
2020-05-06,34.92872
2020-05-07,30.48422
2020-05-08,27.46516
2020-05-09,8.79024
2020-05-10,11.14195
2020-05-11,38.90876
2020-05-12,31.41583
2020-05-13,26.32267
2020-05-14,24.73706
2020-05-15,22.59356
2020-05-16,6.82024
2020-05-17,6.66809
2020-05-18,23.69334
2020-05-19,21.79808
2020-05-20,20.46073
2020-05-21,20.1404
2020-05-22,17.04393
2020-05-23,5.87795
2020-05-24,5.58699
2020-05-25,23.46644
2020-05-26,18.74165
2020-05-27,19.96689
2020-05-28,20.16443
2020-05-29,19.43302
2020-05-30,6.21429
2020-05-31,6.43852
2020-06-01,23.71469
2020-06-02,20.82109
2020-06-03,19.34226
2020-06-04,18.5201
2020-06-05,17.14804
2020-06-06,5.41081
2020-06-07,5.64572
2020-06-08,18.85644
2020-06-09,18.66424
2020-06-10,22.97795
2020-06-11,17.69259
2020-06-12,14.21974
2020-06-13,4.6714
2020-06-14,4.46318
2020-06-15,17.90614
2020-06-16,16.04559
2020-06-17,15.30617
2020-06-18,14.47333
2020-06-19,13.38155
2020-06-20,4.48988
2020-06-21,5.02909
2020-06-22,17.75932
2020-06-23,17.17473
2020-06-24,17.95152
2020-06-25,18.86711
2020-06-26,15.77331
2020-06-27,5.17057
2020-06-28,5.21862
2020-06-29,19.80139
2020-06-30,22.28124
2020-07-01,20.75436
2020-07-02,18.88313
2020-07-03,17.26015
2020-07-04,5.34675
2020-07-05,4.96236
2020-07-06,20.33794
2020-07-07,19.33425
2020-07-08,18.34125
2020-07-09,16.61416
2020-07-10,19.40366
2020-07-11,5.12252
2020-07-12,4.48187
2020-07-13,17.39629
2020-07-14,16.44599
2020-07-15,15.78399
2020-07-16,13.80865
2020-07-17,12.31381
2020-07-18,4.06545
2020-07-19,4.11884
2020-07-20,16.77967
2020-07-21,16.5501
2020-07-22,15.81335
2020-07-23,14.91911
2020-07-24,15.38892
2020-07-25,4.99973
2020-07-26,4.22828
