date,말레이시아환율
2020-03-20,42.0771
2020-03-21,17.96716
2020-03-22,15.55063
2020-03-23,35.36247
2020-03-24,35.60228
2020-03-25,42.29846
2020-03-26,39.08872
2020-03-27,33.90518
2020-03-28,16.97103
2020-03-29,14.33314
2020-03-30,30.71389
2020-03-31,30.9168
2020-04-01,27.89153
2020-04-02,27.57793
2020-04-03,24.99538
2020-04-04,14.8681
2020-04-05,11.63991
2020-04-06,24.58955
2020-04-07,27.72551
2020-04-08,27.65172
2020-04-09,27.09832
2020-04-10,25.1983
2020-04-11,13.22634
2020-04-12,11.63991
2020-04-13,24.16528
2020-04-14,22.3206
2020-04-15,17.37686
2020-04-16,22.9109
2020-04-17,27.41191
2020-04-18,13.18944
2020-04-19,12.78361
2020-04-20,28.64785
2020-04-21,26.72938
2020-04-22,24.31285
2020-04-23,24.58955
2020-04-24,24.46043
2020-04-25,12.13798
2020-04-26,11.01272
2020-04-27,23.48275
2020-04-28,24.44198
2020-04-29,24.0177
2020-04-30,16.8788
2020-05-01,13.4477
2020-05-02,13.4477
2020-05-03,12.67293
2020-05-04,24.53421
2020-05-05,18.90795
2020-05-06,25.97306
2020-05-07,19.7565
2020-05-08,21.4536
2020-05-09,12.5807
2020-05-10,11.27098
2020-05-11,21.21379
2020-05-12,22.68954
2020-05-13,21.39826
2020-05-14,19.23999
2020-05-15,18.46522
2020-05-16,10.80981
2020-05-17,9.62921
2020-05-18,18.87105
2020-05-19,20.43903
2020-05-20,19.59048
2020-05-21,18.35454
2020-05-22,18.00405
2020-05-23,10.20106
2020-05-24,9.16805
2020-05-25,18.17007
2020-05-26,19.07397
2020-05-27,19.38756
2020-05-28,22.24681
2020-05-29,18.70503
2020-05-30,11.60302
2020-05-31,10.92049
2020-06-01,21.39826
2020-06-02,21.02933
2020-06-03,20.51282
2020-06-04,20.66039
2020-06-05,20.73418
2020-06-06,11.30787
2020-06-07,10.0166
2020-06-08,19.31377
2020-06-09,24.99538
2020-06-10,23.13226
2020-06-11,21.19535
2020-06-12,19.00018
2020-06-13,10.2933
2020-06-14,10.97583
2020-06-15,21.37981
2020-06-16,20.43903
2020-06-17,18.63124
2020-06-18,18.07784
2020-06-19,15.77199
2020-06-20,9.86902
2020-06-21,9.00202
2020-06-22,18.09629
2020-06-23,17.35842
2020-06-24,20.53126
2020-06-25,19.27688
2020-06-26,20.49437
2020-06-27,12.24866
2020-06-28,11.25253
2020-06-29,21.97011
2020-06-30,20.23611
2020-07-01,21.21379
2020-07-02,17.91182
2020-07-03,17.93027
2020-07-04,11.40011
2020-07-05,9.1127
2020-07-06,22.007
2020-07-07,22.76332
2020-07-08,18.2992
2020-07-09,18.94484
2020-07-10,19.81184
2020-07-11,10.86515
2020-07-12,9.51853
2020-07-13,19.86718
2020-07-14,19.1662
2020-07-15,18.5759
2020-07-16,17.59822
2020-07-17,15.64287
2020-07-18,9.64766
2020-07-19,9.38941
2020-07-20,17.52444
2020-07-21,19.49824
2020-07-22,19.33222
2020-07-23,18.18852
2020-07-24,18.24386
2020-07-25,10.40398
2020-07-26,9.90592
2020-07-27,19.92252
2020-07-28,20.93709
2020-07-29,19.01863
2020-07-30,19.36912
2020-07-31,17.7089
2020-08-01,10.16417
2020-08-02,10.45932
2020-08-03,18.50212
2020-08-04,19.03707
2020-08-05,19.95941
2020-08-06,18.5759
2020-08-07,18.17007
2020-08-08,10.40398
2020-08-09,10.20106
2020-08-10,20.08854
2020-08-11,21.34292
2020-08-12,19.23999
2020-08-13,17.57978
2020-08-14,15.82733
2020-08-15,10.2933
2020-08-16,8.57775
2020-08-17,16.36229
2020-08-18,18.63124
2020-08-19,17.10016
2020-08-20,18.3361
2020-08-21,17.41376
2020-08-22,10.23796
2020-08-23,8.92824
2020-08-24,19.03707
2020-08-25,17.78269
2020-08-26,18.09629
2020-08-27,18.28076
2020-08-28,17.48754
2020-08-29,9.99815
2020-08-30,9.44475
2020-08-31,18.64969
2020-09-01,20.6235
2020-09-02,21.82254
2020-09-03,22.44973
2020-09-04,21.61962
2020-09-05,11.60302
2020-09-06,11.49234
2020-09-07,19.95941
2020-09-08,20.53126
2020-09-09,21.30603
2020-09-10,23.42741
2020-09-11,19.05552
2020-09-12,9.57387
2020-09-13,10.2933
2020-09-14,18.74192
2020-09-15,19.59048
2020-09-16,19.00018
2020-09-17,19.81184
2020-09-18,20.9002
2020-09-19,10.64379
2020-09-20,9.62921
2020-09-21,20.64194
2020-09-22,20.82641
2020-09-23,22.39439
2020-09-24,21.26913
2020-09-25,20.56816
2020-09-26,10.38553
2020-09-27,9.31562
2020-09-28,18.66814
2020-09-29,18.59435
2020-09-30,13.39236
2020-10-01,12.69138
2020-10-02,11.51079
2020-10-03,9.4263
2020-10-04,9.26028
2020-10-05,21.80409
2020-10-06,21.43515
2020-10-07,22.0439
2020-10-08,22.22837
2020-10-09,15.20014
2020-10-10,11.04962
2020-10-11,12.34089
2020-10-12,23.72256
2020-10-13,22.9109
2020-10-14,22.70798
2020-10-15,22.50507
2020-10-16,21.21379
2020-10-17,11.89817
2020-10-18,9.13115
2020-10-19,21.02933
2020-10-20,23.09536
2020-10-21,26.47113
2020-10-22,23.09536
2020-10-23,24.51577
2020-10-24,15.38461
2020-10-25,14.14868
2020-10-26,30.12359
2020-10-27,25.34587
2020-10-28,26.21287
2020-10-29,23.75945
2020-10-30,23.42741
2020-10-31,13.46615
2020-11-01,13.31857
2020-11-02,23.20605
2020-11-03,21.80409
2020-11-04,24.07304
2020-11-05,23.85168
2020-11-06,21.1769
2020-11-07,12.59915
2020-11-08,11.76904
2020-11-09,23.15071
2020-11-10,22.67109
2020-11-11,26.04685
2020-11-12,23.96236
2020-11-13,20.69728
2020-11-14,12.67293
2020-11-15,11.49234
2020-11-16,24.0177
2020-11-17,21.43515
2020-11-18,22.11769
2020-11-19,24.12838
2020-11-20,21.01088
2020-11-21,12.50691
2020-11-22,12.11953
2020-11-23,23.75945
2020-11-24,23.741
2020-11-25,22.874
2020-11-26,22.57885
2020-11-27,22.35749
2020-11-28,12.0273
2020-11-29,11.25253
2020-11-30,21.08467
2020-12-01,22.5973
2020-12-02,22.65264
2020-12-03,24.95849
2020-12-04,25.67791
2020-12-05,14.73897
2020-12-06,12.74672
2020-12-07,26.72938
2020-12-08,25.06917
2020-12-09,24.53421
2020-12-10,24.46043
2020-12-11,19.33222
2020-12-12,14.8681
2020-12-13,13.65061
2020-12-14,23.64877
2020-12-15,22.09924
2020-12-16,22.48662
2020-12-17,22.46817
2020-12-18,21.63807
2020-12-19,12.87585
2020-12-20,12.93119
2020-12-21,23.35362
2020-12-22,21.60118
2020-12-23,21.36137
2020-12-24,20.93709
