date,상속재산분할
2020-03-20,19.70534
2020-03-21,16.88152
2020-03-22,17.86372
2020-03-23,20.44198
2020-03-24,17.37262
2020-03-25,19.03007
2020-03-26,20.07366
2020-03-27,18.4162
2020-03-28,15.28545
2020-03-29,14.91712
2020-03-30,21.66973
2020-03-31,17.67955
2020-04-01,16.75874
2020-04-02,18.04788
2020-04-03,18.29343
2020-04-04,17.24984
2020-04-05,18.60036
2020-04-06,19.33701
2020-04-07,20.50337
2020-04-08,20.31921
2020-04-09,18.9073
2020-04-10,19.27562
2020-04-11,15.59238
2020-04-12,18.10926
2020-04-13,22.71332
2020-04-14,20.81031
2020-04-15,16.51319
2020-04-16,18.35481
2020-04-17,19.70534
2020-04-18,16.9429
2020-04-19,20.56476
2020-04-20,22.2836
2020-04-21,22.2836
2020-04-22,24.06384
2020-04-23,20.93308
2020-04-24,19.03007
2020-04-25,16.02209
2020-04-26,19.3984
2020-04-27,26.51933
2020-04-28,23.20441
2020-04-29,22.65193
2020-04-30,19.09146
2020-05-01,17.37262
2020-05-02,15.22406
2020-05-03,19.8895
2020-05-04,26.58072
2020-05-05,21.54696
2020-05-06,25.78268
2020-05-07,27.19459
2020-05-08,23.2658
2020-05-09,22.52915
2020-05-10,20.19643
2020-05-11,30.87783
2020-05-12,25.04604
2020-05-13,20.31921
2020-05-14,18.96869
2020-05-15,22.52915
2020-05-16,14.24186
2020-05-17,16.69736
2020-05-18,17.06568
2020-05-19,16.51319
2020-05-20,13.62799
2020-05-21,14.0577
2020-05-22,9.26949
2020-05-23,7.98035
2020-05-24,12.64579
2020-05-25,16.88152
2020-05-26,13.44383
2020-05-27,12.33885
2020-05-28,13.81215
2020-05-29,15.83793
2020-05-30,7.98035
2020-05-31,7.36648
2020-06-01,13.38244
2020-06-02,11.78637
2020-06-03,12.40024
2020-06-04,15.96071
2020-06-05,17.00429
2020-06-06,14.42602
2020-06-07,17.55678
2020-06-08,23.38858
2020-06-09,22.7747
2020-06-10,21.85389
2020-06-11,20.44198
2020-06-12,18.23204
2020-06-13,14.73296
2020-06-14,16.32903
2020-06-15,22.2836
2020-06-16,21.36279
2020-06-17,20.50337
2020-06-18,18.4162
2020-06-19,17.18845
2020-06-20,17.67955
2020-06-21,15.96071
2020-06-22,22.22222
2020-06-23,25.10742
2020-06-24,18.96869
2020-06-25,24.98465
2020-06-26,19.8895
2020-06-27,16.75874
2020-06-28,17.31123
2020-06-29,23.94106
2020-06-30,21.36279
2020-07-01,22.83609
2020-07-02,19.27562
2020-07-03,22.2836
2020-07-04,16.08348
2020-07-05,18.10926
2020-07-06,23.51135
2020-07-07,22.52915
2020-07-08,20.68753
2020-07-09,22.71332
2020-07-10,18.4162
2020-07-11,15.34683
2020-07-12,17.61817
2020-07-13,22.7747
2020-07-14,22.16083
2020-07-15,19.45979
2020-07-16,20.07366
2020-07-17,20.01227
2020-07-18,16.75874
2020-07-19,16.39042
2020-07-20,20.3806
2020-07-21,21.30141
2020-07-22,24.55494
2020-07-23,22.71332
2020-07-24,17.37262
2020-07-25,13.19828
2020-07-26,17.86372
2020-07-27,19.58256
2020-07-28,20.62615
2020-07-29,21.11724
2020-07-30,23.63413
2020-07-31,18.4162
2020-08-01,14.91712
2020-08-02,14.79435
2020-08-03,21.24002
2020-08-04,20.8717
2020-08-05,19.58256
2020-08-06,19.3984
2020-08-07,18.47759
2020-08-08,17.12707
2020-08-09,16.32903
2020-08-10,20.99447
2020-08-11,25.59852
2020-08-12,17.74094
2020-08-13,19.64395
2020-08-14,17.74094
2020-08-15,13.13689
2020-08-16,15.46961
2020-08-17,17.12707
2020-08-18,22.2836
2020-08-19,21.85389
2020-08-20,19.21424
2020-08-21,19.8895
2020-08-22,15.34683
2020-08-23,16.75874
2020-08-24,22.34499
2020-08-25,21.17863
2020-08-26,19.27562
2020-08-27,20.99447
2020-08-28,18.72314
2020-08-29,18.29343
2020-08-30,17.434
2020-08-31,21.73112
2020-09-01,22.46777
2020-09-02,20.50337
2020-09-03,20.99447
2020-09-04,22.46777
2020-09-05,15.22406
2020-09-06,17.06568
2020-09-07,21.17863
2020-09-08,19.76672
2020-09-09,17.49539
2020-09-10,20.44198
2020-09-11,20.31921
2020-09-12,16.20626
2020-09-13,17.74094
2020-09-14,25.10742
2020-09-15,24.86187
2020-09-16,23.87968
2020-09-17,26.82627
2020-09-18,20.25782
2020-09-19,17.80233
2020-09-20,16.45181
2020-09-21,19.03007
2020-09-22,21.17863
2020-09-23,20.13505
2020-09-24,22.7747
2020-09-25,17.37262
2020-09-26,15.71516
2020-09-27,15.46961
2020-09-28,20.50337
2020-09-29,19.64395
2020-09-30,19.8895
2020-10-01,26.02823
2020-10-02,23.2658
2020-10-03,27.25598
2020-10-04,25.10742
2020-10-05,29.83425
2020-10-06,26.94904
2020-10-07,30.50951
2020-10-08,26.27378
2020-10-09,22.65193
2020-10-10,20.56476
2020-10-11,21.66973
2020-10-12,30.26396
2020-10-13,26.45794
2020-10-14,25.04604
2020-10-15,24.61632
2020-10-16,25.90546
2020-10-17,20.25782
2020-10-18,18.35481
2020-10-19,28.97483
2020-10-20,30.81645
2020-10-21,32.90362
2020-10-22,27.25598
2020-10-23,24.7391
2020-10-24,19.33701
2020-10-25,29.40454
2020-10-26,37.87599
2020-10-27,25.65991
2020-10-28,30.5709
2020-10-29,27.93124
2020-10-30,21.60834
2020-10-31,19.09146
2020-11-01,16.51319
2020-11-02,26.27378
2020-11-03,20.44198
2020-11-04,21.30141
2020-11-05,19.58256
2020-11-06,17.37262
2020-11-07,14.0577
2020-11-08,15.34683
2020-11-09,21.30141
2020-11-10,19.45979
2020-11-11,20.68753
2020-11-12,23.08164
2020-11-13,20.3806
2020-11-14,16.75874
2020-11-15,17.74094
2020-11-16,24.55494
2020-11-17,24.12523
2020-11-18,22.7747
2020-11-19,23.02025
2020-11-20,22.59054
2020-11-21,15.89932
2020-11-22,17.18845
2020-11-23,21.48557
2020-11-24,21.91528
2020-11-25,22.65193
2020-11-26,22.65193
2020-11-27,20.68753
