date,현대차주식
2020-03-20,36.52734
2020-03-21,10.21565
2020-03-22,8.71498
2020-03-23,37.89461
2020-03-24,38.03912
2020-03-25,48.81058
2020-03-26,46.86527
2020-03-27,40.34015
2020-03-28,10.68252
2020-03-29,7.08092
2020-03-30,31.8586
2020-03-31,30.98043
2020-04-01,32.60337
2020-04-02,28.24588
2020-04-03,22.40995
2020-04-04,5.59137
2020-04-05,4.13517
2020-04-06,20.57581
2020-04-07,24.38861
2020-04-08,22.33214
2020-04-09,29.93552
2020-04-10,28.17919
2020-04-11,6.21387
2020-04-12,4.6465
2020-04-13,21.6096
2020-04-14,21.37616
2020-04-15,5.29124
2020-04-16,18.33036
2020-04-17,18.86393
2020-04-18,4.13517
2020-04-19,2.81236
2020-04-20,18.86393
2020-04-21,21.27612
2020-04-22,21.6763
2020-04-23,18.89728
2020-04-24,18.30813
2020-04-25,3.50155
2020-04-26,3.07914
2020-04-27,15.40684
2020-04-28,12.48332
2020-04-29,12.38328
2020-04-30,3.41262
2020-05-01,3.43485
2020-05-02,1.92307
2020-05-03,1.92307
2020-05-04,10.92707
2020-05-05,3.00133
2020-05-06,11.60515
2020-05-07,10.32681
2020-05-08,8.69275
2020-05-09,2.9124
2020-05-10,2.59004
2020-05-11,11.02712
2020-05-12,10.5269
2020-05-13,11.43841
2020-05-14,11.52734
2020-05-15,9.91551
2020-05-16,2.04535
2020-05-17,1.74522
2020-05-18,10.20453
2020-05-19,18.59715
2020-05-20,12.79457
2020-05-21,11.64962
2020-05-22,11.59404
2020-05-23,2.48999
2020-05-24,2.46776
2020-05-25,11.37172
2020-05-26,12.67229
2020-05-27,11.61627
2020-05-28,11.37172
2020-05-29,9.48199
2020-05-30,1.8008
2020-05-31,1.52289
2020-06-01,11.9831
2020-06-02,12.72787
2020-06-03,17.54112
2020-06-04,15.55135
2020-06-05,13.57269
2020-06-06,2.67896
2020-06-07,2.26767
2020-06-08,13.23921
2020-06-09,12.09426
2020-06-10,10.78257
2020-06-11,11.71631
2020-06-12,11.44953
2020-06-13,1.88972
2020-06-14,1.9453
2020-06-15,14.1285
2020-06-16,13.88394
2020-06-17,12.96131
2020-06-18,10.63806
2020-06-19,10.06002
2020-06-20,1.55624
2020-06-21,1.3895
2020-06-22,9.43752
2020-06-23,9.5598
2020-06-24,11.26056
2020-06-25,10.44908
2020-06-26,8.51489
2020-06-27,1.85638
2020-06-28,1.6674
2020-06-29,8.7261
2020-06-30,8.18141
2020-07-01,8.07025
2020-07-02,7.51445
2020-07-03,6.95864
2020-07-04,1.65629
2020-07-05,1.58959
2020-07-06,8.97065
2020-07-07,9.29301
2020-07-08,8.24811
2020-07-09,8.02578
2020-07-10,7.39217
2020-07-11,1.72298
2020-07-12,1.95642
2020-07-13,9.69319
2020-07-14,8.9373
2020-07-15,13.72832
2020-07-16,11.51622
2020-07-17,15.05113
2020-07-18,3.76834
2020-07-19,3.12361
2020-07-20,16.94086
2020-07-21,16.98532
2020-07-22,15.71809
2020-07-23,15.5847
2020-07-24,13.32814
2020-07-25,2.46776
2020-07-26,3.23477
2020-07-27,12.89461
2020-07-28,13.26144
2020-07-29,11.92752
2020-07-30,14.10626
2020-07-31,11.27167
2020-08-01,2.26767
2020-08-02,2.08981
