date,퇴직연금연말정산
2020-03-20,4.07497
2020-03-21,1.54849
2020-03-22,1.46699
2020-03-23,2.44498
2020-03-24,3.50448
2020-03-25,3.09698
2020-03-26,3.50448
2020-03-27,2.77098
2020-03-28,0.97799
2020-03-29,1.54849
2020-03-30,3.74898
2020-03-31,4.31947
2020-04-01,3.74898
2020-04-02,2.52648
2020-04-03,2.52648
2020-04-04,2.03748
2020-04-05,1.62999
2020-04-06,4.48247
2020-04-07,1.79299
2020-04-08,2.44498
2020-04-09,2.11898
2020-04-10,2.68948
2020-04-11,1.87449
2020-04-12,0.48899
2020-04-13,2.85248
2020-04-14,2.85248
2020-04-15,0.65199
2020-04-16,1.46699
2020-04-17,1.95599
2020-04-18,0.57049
2020-04-19,0.65199
2020-04-20,3.09698
2020-04-21,2.60798
2020-04-22,3.17848
2020-04-23,2.03748
2020-04-24,2.28198
2020-04-25,0.89649
2020-04-27,2.11898
2020-04-28,2.11898
2020-04-29,2.93398
2020-04-30,0.81499
2020-05-01,2.20048
2020-05-02,1.79299
2020-05-03,2.11898
2020-05-04,4.07497
2020-05-05,2.36348
2020-05-06,4.48247
2020-05-07,3.83048
2020-05-08,3.34148
2020-05-09,1.30399
2020-05-10,1.71149
2020-05-11,2.93398
2020-05-12,2.60798
2020-05-13,2.77098
2020-05-14,3.91198
2020-05-15,2.60798
2020-05-16,0.48899
2020-05-17,1.05949
2020-05-18,2.28198
2020-05-19,3.99348
2020-05-20,2.60798
2020-05-21,2.93398
2020-05-22,1.54849
2020-05-23,1.14099
2020-05-24,1.62999
2020-05-25,2.77098
2020-05-26,2.52648
2020-05-27,3.01548
2020-05-28,1.87449
2020-05-29,2.11898
2020-05-31,0.40749
2020-06-01,1.38549
2020-06-02,0.73349
2020-06-03,0.40749
2020-06-04,1.05949
2020-06-05,1.95599
2020-06-06,0.81499
2020-06-07,0.73349
2020-06-08,0.97799
2020-06-09,1.22249
2020-06-10,1.30399
2020-06-11,1.54849
2020-06-12,1.14099
2020-06-14,0.40749
2020-06-15,0.48899
2020-06-16,1.46699
2020-06-17,0.48899
2020-06-18,1.54849
2020-06-19,0.65199
2020-06-21,0.40749
2020-06-22,0.40749
2020-06-23,0.57049
2020-06-24,0.48899
2020-06-25,0.89649
2020-06-26,0.89649
2020-06-29,0.73349
2020-06-30,1.05949
2020-07-01,0.89649
2020-07-03,1.22249
2020-07-05,0.73349
2020-07-06,0.57049
2020-07-08,0.40749
2020-07-09,1.05949
2020-07-10,0.89649
2020-07-14,0.81499
2020-07-15,1.30399
2020-07-16,0.73349
2020-07-20,0.40749
2020-07-21,0.97799
2020-07-22,0.57049
2020-07-24,1.38549
2020-07-26,0.40749
2020-07-27,0.48899
2020-07-28,0.89649
2020-07-29,0.57049
2020-07-30,0.81499
2020-07-31,0.48899
2020-08-04,0.89649
2020-08-07,0.89649
2020-08-10,0.48899
2020-08-11,1.46699
2020-08-12,0.40749
2020-08-13,1.22249
2020-08-14,0.40749
2020-08-16,0.48899
2020-08-17,0.48899
2020-08-18,1.38549
2020-08-19,0.57049
2020-08-20,0.48899
2020-08-21,0.65199
2020-08-22,0.48899
2020-08-23,0.65199
2020-08-24,0.57049
2020-08-25,1.46699
2020-08-26,1.14099
2020-08-27,1.22249
2020-08-28,0.48899
2020-08-31,0.89649
2020-09-01,1.05949
2020-09-02,0.57049
2020-09-03,0.97799
2020-09-04,0.81499
2020-09-07,0.73349
2020-09-08,0.97799
2020-09-10,1.30399
2020-09-11,0.40749
2020-09-13,0.48899
2020-09-14,1.46699
2020-09-15,1.87449
2020-09-16,1.38549
2020-09-18,0.48899
2020-09-19,0.48899
2020-09-20,1.14099
2020-09-21,1.22249
2020-09-22,1.71149
2020-09-23,1.22249
2020-09-24,0.81499
2020-09-25,0.97799
2020-09-28,0.57049
2020-09-29,1.30399
2020-10-04,0.48899
2020-10-05,0.81499
2020-10-06,1.22249
2020-10-07,1.14099
2020-10-08,1.38549
2020-10-11,0.73349
2020-10-12,2.77098
2020-10-13,2.28198
2020-10-14,1.79299
2020-10-15,2.93398
2020-10-16,1.30399
2020-10-18,0.73349
2020-10-19,2.85248
2020-10-20,1.62999
2020-10-21,3.91198
2020-10-22,3.01548
2020-10-23,3.50448
2020-10-24,1.22249
2020-10-25,1.54849
2020-10-26,3.91198
2020-10-27,2.52648
2020-10-28,2.85248
2020-10-29,3.09698
2020-10-30,4.15647
2020-10-31,1.71149
2020-11-01,3.58598
2020-11-02,4.23797
2020-11-03,4.15647
2020-11-04,2.60798
2020-11-05,4.07497
