date,3D프린트
2020-03-20,24.25249
2020-03-21,22.25913
2020-03-22,28.90365
2020-03-23,23.25581
2020-03-24,27.24252
2020-03-25,28.90365
2020-03-26,34.55149
2020-03-27,25.58139
2020-03-28,20.598
2020-03-29,20.26578
2020-03-30,25.24916
2020-03-31,27.24252
2020-04-01,26.57807
2020-04-02,21.59468
2020-04-03,28.2392
2020-04-04,17.94019
2020-04-05,19.2691
2020-04-06,23.58803
2020-04-07,26.57807
2020-04-08,23.92026
2020-04-09,23.25581
2020-04-10,20.93023
2020-04-11,21.59468
2020-04-12,17.60797
2020-04-13,31.22923
2020-04-14,22.92358
2020-04-15,14.95016
2020-04-16,31.56146
2020-04-17,27.24252
2020-04-18,16.94352
2020-04-19,15.61461
2020-04-20,30.23255
2020-04-21,22.25913
2020-04-22,30.23255
2020-04-23,26.24584
2020-04-24,18.93687
2020-04-25,14.61794
2020-04-26,24.91694
2020-04-27,27.90697
2020-04-28,28.2392
2020-04-29,29.23588
2020-04-30,17.60797
2020-05-01,14.95016
2020-05-02,17.27574
2020-05-03,24.91694
2020-05-04,27.24252
2020-05-05,26.57807
2020-05-06,26.91029
2020-05-07,34.88372
2020-05-08,29.5681
2020-05-09,15.28239
2020-05-10,15.61461
2020-05-11,34.21926
2020-05-12,26.24584
2020-05-13,28.90365
2020-05-14,34.55149
2020-05-15,23.25581
2020-05-16,17.27574
2020-05-17,20.598
2020-05-18,26.91029
2020-05-19,35.21594
2020-05-20,25.58139
2020-05-21,32.55813
2020-05-22,29.5681
2020-05-23,21.92691
2020-05-24,18.27242
2020-05-25,31.89368
2020-05-26,23.58803
2020-05-27,22.92358
2020-05-28,26.91029
2020-05-29,28.57142
2020-05-30,15.61461
2020-05-31,16.61129
2020-06-01,31.22923
2020-06-02,35.54817
2020-06-03,28.90365
2020-06-04,29.5681
2020-06-05,29.5681
2020-06-06,15.94684
2020-06-07,19.93355
2020-06-08,36.87707
2020-06-09,32.22591
2020-06-10,27.90697
2020-06-11,29.90033
2020-06-12,26.91029
2020-06-13,21.26245
2020-06-14,15.94684
2020-06-15,29.5681
2020-06-16,28.90365
2020-06-17,21.26245
2020-06-18,22.59136
2020-06-19,24.58471
2020-06-20,20.93023
2020-06-21,23.58803
2020-06-22,38.20598
2020-06-23,40.86378
