date,퇴직금IRP
2020-11-07,2.97805
2020-11-08,2.50783
2020-11-09,14.89028
2020-11-10,16.30094
2020-11-11,16.61442
2020-11-12,13.0094
2020-11-13,16.45768
2020-11-14,4.23197
2020-11-15,4.85893
2020-11-16,16.30094
2020-11-17,15.51724
2020-11-18,13.7931
2020-11-19,14.5768
2020-11-20,14.5768
2020-11-21,3.29153
2020-11-22,4.70219
2020-11-23,14.89028
2020-11-24,14.10658
2020-11-25,15.51724
2020-11-26,12.2257
2020-11-27,11.12852
2020-11-28,5.64263
2020-11-29,4.85893
2020-11-30,18.65203
2020-12-01,17.86833
2020-12-02,18.18181
2020-12-03,12.2257
2020-12-04,15.83072
2020-12-05,5.64263
2020-12-06,6.73981
2020-12-07,17.71159
2020-12-08,16.1442
2020-12-09,19.59247
2020-12-10,17.39811
2020-12-11,18.65203
2020-12-12,5.01567
2020-12-13,8.30721
2020-12-14,21.94357
2020-12-15,18.80877
2020-12-16,19.43573
2020-12-17,17.24137
2020-12-18,18.02507
2020-12-19,4.54545
2020-12-20,7.36677
2020-12-21,18.96551
2020-12-22,16.30094
2020-12-23,17.39811
2020-12-24,21.31661
2020-12-25,6.11285
2020-12-26,5.79937
2020-12-27,5.95611
2020-12-28,21.15987
2020-12-29,24.45141
2020-12-30,20.53291
2020-12-31,23.66771
2021-01-01,7.05329
2021-01-02,6.26959
2021-01-03,7.99373
2021-01-04,26.33228
2021-01-05,29.1536
2021-01-06,22.57053
2021-01-07,17.71159
2021-01-08,20.53291
2021-01-09,8.30721
2021-01-10,10.97178
2021-01-11,26.0188
2021-01-12,19.12225
2021-01-13,20.53291
2021-01-14,21.94357
2021-01-15,19.43573
2021-01-16,8.30721
2021-01-17,13.47962
2021-01-18,21.94357
2021-01-19,22.25705
2021-01-20,20.84639
2021-01-21,20.37617
2021-01-22,15.67398
2021-01-23,7.83699
2021-01-24,6.26959
2021-01-25,24.29467
2021-01-26,21.63009
2021-01-27,18.65203
2021-01-28,17.55485
2021-01-29,19.74921
2021-01-30,6.89655
2021-01-31,7.36677
2021-02-01,22.25705
2021-02-02,20.21943
2021-02-03,17.08463
2021-02-04,21.47335
2021-02-05,17.08463
2021-02-06,5.17241
2021-02-07,5.79937
2021-02-08,22.41379
2021-02-09,21.00313
2021-02-10,17.08463
2021-02-11,5.17241
2021-02-12,6.42633
2021-02-13,7.68025
2021-02-14,8.30721
2021-02-15,29.78056
2021-02-16,26.0188
2021-02-17,24.76489
2021-02-18,20.06269
2021-02-19,20.06269
2021-02-20,8.46394
2021-02-21,5.32915
2021-02-22,26.0188
2021-02-23,21.94357
2021-02-24,22.10031
2021-02-25,23.82445
2021-02-26,21.94357
2021-02-27,8.15047
2021-02-28,9.40438
2021-03-01,9.0909
2021-03-02,32.91536
2021-03-03,29.78056
2021-03-04,29.46708
2021-03-05,24.92163
2021-03-06,11.12852
2021-03-07,12.85266
2021-03-08,27.11598
2021-03-09,25.39184
2021-03-10,29.31034
2021-03-11,28.3699
2021-03-12,22.10031
2021-03-13,6.89655
2021-03-14,9.56112
2021-03-15,26.17554
2021-03-16,22.88401
2021-03-17,19.43573
2021-03-18,17.24137
2021-03-19,15.98746
2021-03-20,6.11285
2021-03-21,5.17241
2021-03-22,19.59247
2021-03-23,14.26332
2021-03-24,17.71159
2021-03-25,15.98746
2021-03-26,16.1442
2021-03-27,5.79937
2021-03-28,5.95611
2021-03-29,15.83072
2021-03-30,19.43573
2021-03-31,18.33855
2021-04-01,14.10658
2021-04-02,17.08463
2021-04-03,4.70219
2021-04-04,6.11285
2021-04-05,15.98746
2021-04-06,19.43573
2021-04-07,17.39811
2021-04-08,18.33855
2021-04-09,16.30094
2021-04-10,5.01567
2021-04-11,3.76175
2021-04-12,16.30094
2021-04-13,17.55485
2021-04-14,16.1442
2021-04-15,16.77115
2021-04-16,10.6583
2021-04-17,6.73981
2021-04-18,5.48589
2021-04-19,19.90595
2021-04-20,19.74921
2021-04-21,18.49529
2021-04-22,17.08463
2021-04-23,17.71159
2021-04-24,3.60501
2021-04-25,4.85893
2021-04-26,20.21943
2021-04-27,21.15987
2021-04-28,18.18181
2021-04-29,16.45768
2021-04-30,15.20376
2021-05-01,3.60501
2021-05-02,4.38871
2021-05-03,14.26332
2021-05-04,14.89028
2021-05-05,3.91849
2021-05-06,18.49529
2021-05-07,15.83072
2021-05-08,6.58307
2021-05-09,6.89655
2021-05-10,22.72727
2021-05-11,21.00313
2021-05-12,15.98746
2021-05-13,15.3605
2021-05-14,15.3605
2021-05-15,5.64263
2021-05-16,7.21003
2021-05-17,19.90595
2021-05-18,15.20376
2021-05-19,6.42633
2021-05-20,16.77115
2021-05-21,17.55485
2021-05-22,4.38871
2021-05-23,4.54545
2021-05-24,17.86833
2021-05-25,20.06269
2021-05-26,18.02507
2021-05-27,43.26018
2021-05-28,13.16614
2021-05-29,6.73981
2021-05-30,6.58307
2021-05-31,18.96551
2021-06-01,16.77115
2021-06-02,16.92789
2021-06-03,15.67398
2021-06-04,13.7931
2021-06-05,4.23197
2021-06-06,3.29153
2021-06-07,13.47962
2021-06-08,17.71159
2021-06-09,17.39811
2021-06-10,15.51724
2021-06-11,18.33855
2021-06-12,6.73981
2021-06-13,5.01567
2021-06-14,16.61442
2021-06-15,18.80877
2021-06-16,17.71159
2021-06-17,13.16614
2021-06-18,12.53918
2021-06-19,4.54545
2021-06-20,4.70219
2021-06-21,14.10658
2021-06-22,13.32288
2021-06-23,16.1442
2021-06-24,16.77115
2021-06-25,13.7931
2021-06-26,5.95611
2021-06-27,6.11285
2021-06-28,18.65203
2021-06-29,21.94357
2021-06-30,21.94357
2021-07-01,16.92789
2021-07-02,15.04702
2021-07-03,3.91849
2021-07-04,4.54545
2021-07-05,15.67398
2021-07-06,16.30094
2021-07-07,15.3605
2021-07-08,14.73354
2021-07-09,14.42006
2021-07-10,5.17241
2021-07-11,5.95611
2021-07-12,21.94357
2021-07-13,19.90595
2021-07-14,18.96551
2021-07-15,16.61442
2021-07-16,16.1442
2021-07-17,5.01567
2021-07-18,5.01567
2021-07-19,17.71159
2021-07-20,17.71159
2021-07-21,13.94984
2021-07-22,13.94984
2021-07-23,14.5768
2021-07-24,3.13479
2021-07-25,4.38871
2021-07-26,16.30094
2021-07-27,24.92163
2021-07-28,20.06269
2021-07-29,17.24137
2021-07-30,19.59247
2021-07-31,6.58307
2021-08-01,6.26959
2021-08-02,25.54858
2021-08-03,22.72727
2021-08-04,21.31661
2021-08-05,23.82445
2021-08-06,23.04075
2021-08-07,6.89655
2021-08-08,7.99373
2021-08-09,27.42946
2021-08-10,29.31034
2021-08-11,28.21316
2021-08-12,23.51097
2021-08-13,24.60815
2021-08-14,9.0909
2021-08-15,7.52351
2021-08-16,8.93416
2021-08-17,24.29467
2021-08-18,26.0188
2021-08-19,21.63009
2021-08-20,19.90595
2021-08-21,7.68025
2021-08-22,6.89655
2021-08-23,20.53291
2021-08-24,23.51097
2021-08-25,25.86206
2021-08-26,25.2351
2021-08-27,17.71159
2021-08-28,6.89655
2021-08-29,7.83699
2021-08-30,26.33228
2021-08-31,27.74294
2021-09-01,25.54858
2021-09-02,21.15987
2021-09-03,18.49529
2021-09-04,6.42633
2021-09-05,7.99373
2021-09-06,24.13793
2021-09-07,20.53291
2021-09-08,19.43573
2021-09-09,16.45768
2021-09-10,23.04075
2021-09-11,8.77742
2021-09-12,6.89655
2021-09-13,19.43573
2021-09-14,26.8025
2021-09-15,24.45141
2021-09-16,28.52664
2021-09-17,19.90595
2021-09-18,6.89655
2021-09-19,5.32915
2021-09-20,3.76175
2021-09-21,4.70219
2021-09-22,6.73981
2021-09-23,25.2351
2021-09-24,23.82445
2021-09-25,8.62068
2021-09-26,10.18808
2021-09-27,28.52664
2021-09-28,29.9373
2021-09-29,28.99686
2021-09-30,27.42946
2021-10-01,23.19749
2021-10-02,7.05329
2021-10-03,5.48589
2021-10-04,10.6583
2021-10-05,27.89968
2021-10-06,23.04075
2021-10-07,23.19749
2021-10-08,23.19749
2021-10-09,5.48589
2021-10-10,6.58307
2021-10-11,8.46394
2021-10-12,26.48902
2021-10-13,23.35423
2021-10-14,26.33228
2021-10-15,25.07836
2021-10-16,6.58307
2021-10-17,5.79937
2021-10-18,19.59247
2021-10-19,24.60815
2021-10-20,26.17554
2021-10-21,22.10031
2021-10-22,18.96551
2021-10-23,4.85893
2021-10-24,4.70219
2021-10-25,26.48902
2021-10-26,21.94357
2021-10-27,23.19749
2021-10-28,19.90595
2021-10-29,18.65203
2021-10-30,7.52351
2021-10-31,7.36677
2021-11-01,27.27272
2021-11-02,23.66771
2021-11-03,27.5862
2021-11-04,22.57053
2021-11-05,16.92789
2021-11-06,10.18808
2021-11-07,9.24764
2021-11-08,25.54858
2021-11-09,21.15987
2021-11-10,26.95924
2021-11-11,25.86206
2021-11-12,28.99686
2021-11-13,11.75548
2021-11-14,9.56112
2021-11-15,22.88401
2021-11-16,26.95924
2021-11-17,24.13793
2021-11-18,18.80877
2021-11-19,18.18181
2021-11-20,7.36677
2021-11-21,9.0909
2021-11-22,27.5862
2021-11-23,28.3699
2021-11-24,27.11598
2021-11-25,31.19122
2021-11-26,23.98119
2021-11-27,11.28526
2021-11-28,10.81504
2021-11-29,32.91536
2021-11-30,36.83385
2021-12-01,35.26645
2021-12-02,32.44514
2021-12-03,30.25078
2021-12-04,11.442
2021-12-05,13.16614
2021-12-06,36.99059
2021-12-07,34.16927
2021-12-08,38.24451
2021-12-09,31.97492
2021-12-10,30.09404
2021-12-11,11.12852
2021-12-12,15.04702
2021-12-13,35.89341
2021-12-14,37.93103
2021-12-15,41.84952
2021-12-16,31.03448
2021-12-17,23.98119
2021-12-18,10.34482
2021-12-19,10.97178
2021-12-20,32.60188
2021-12-21,36.05015
2021-12-22,34.01253
2021-12-23,35.10971
2021-12-24,29.9373
2021-12-25,9.40438
2021-12-26,15.20376
2021-12-27,41.37931
2021-12-28,41.69278
2021-12-29,48.4326
2021-12-30,44.67084
2021-12-31,35.10971
2022-01-01,13.32288
2022-01-02,15.20376
2022-01-03,51.41065
2022-01-04,42.9467
2022-01-05,43.57366
2022-01-06,38.87147
2022-01-07,38.55799
2022-01-08,12.85266
2022-01-09,19.27899
2022-01-10,50.62695
2022-01-11,47.17868
2022-01-12,34.32601
2022-01-13,37.77429
2022-01-14,46.39498
2022-01-15,16.1442
2022-01-16,22.41379
2022-01-17,42.63322
2022-01-18,39.18495
2022-01-19,34.63949
2022-01-20,39.02821
2022-01-21,33.54231
2022-01-22,14.10658
2022-01-23,14.10658
2022-01-24,35.89341
2022-01-25,34.95297
2022-01-26,35.73667
2022-01-27,34.01253
2022-01-28,27.89968
2022-01-29,10.50156
2022-01-30,7.05329
2022-01-31,8.30721
2022-02-01,8.46394
2022-02-02,11.75548
2022-02-03,42.00626
2022-02-04,39.81191
2022-02-05,18.49529
2022-02-06,16.45768
2022-02-07,39.81191
2022-02-08,29.46708
2022-02-09,35.10971
2022-02-10,44.67084
2022-02-11,33.69905
2022-02-12,11.91222
2022-02-13,14.73354
2022-02-14,42.163
2022-02-15,44.20062
2022-02-16,37.61755
2022-02-17,37.61755
2022-02-18,39.02821
2022-02-19,14.26332
2022-02-20,17.24137
2022-02-21,43.10344
2022-02-22,38.87147
2022-02-23,45.14106
2022-02-24,49.52978
2022-02-25,43.10344
2022-02-26,18.02507
2022-02-27,16.45768
2022-02-28,56.89655
2022-03-01,24.92163
2022-03-02,59.40438
2022-03-03,50.78369
2022-03-04,53.60501
2022-03-05,19.27899
2022-03-06,14.42006
2022-03-07,53.91849
2022-03-08,47.17868
2022-03-09,19.43573
2022-03-10,58.77742
2022-03-11,49.84326
2022-03-12,15.67398
2022-03-13,19.43573
2022-03-14,59.40438
2022-03-15,58.62068
2022-03-16,45.61128
2022-03-17,44.82758
2022-03-18,38.40125
2022-03-19,14.89028
2022-03-20,14.42006
2022-03-21,43.7304
2022-03-22,44.98432
2022-03-23,39.49843
2022-03-24,41.37931
2022-03-25,50.0
2022-03-26,17.08463
2022-03-27,16.1442
2022-03-28,43.7304
2022-03-29,40.28213
2022-03-30,47.49216
2022-03-31,52.50783
2022-04-01,44.67084
2022-04-02,13.47962
2022-04-03,15.67398
2022-04-04,51.09717
2022-04-05,48.90282
2022-04-06,43.57366
2022-04-07,54.70219
2022-04-08,54.70219
2022-04-09,16.30094
2022-04-10,14.5768
2022-04-11,61.442
2022-04-12,58.77742
2022-04-13,72.25705
2022-04-14,100.0
2022-04-15,84.95297
2022-04-16,19.27899
2022-04-17,26.95924
2022-04-18,88.08777
2022-04-19,76.95924
2022-04-20,79.31034
2022-04-21,69.12225
2022-04-22,55.79937
2022-04-23,15.04702
2022-04-24,15.04702
2022-04-25,79.46708
2022-04-26,81.97492
2022-04-27,69.43573
2022-04-28,67.24137
2022-04-29,64.10658
2022-04-30,17.08463
2022-05-01,19.74921
2022-05-02,64.73354
2022-05-03,64.10658
2022-05-04,52.50783
2022-05-05,18.33855
2022-05-06,45.45454
2022-05-07,16.1442
2022-05-08,12.69592
2022-05-09,60.34482
2022-05-10,76.17554
2022-05-11,61.28526
2022-05-12,70.84639
2022-05-13,58.30721
2022-05-14,15.51724
2022-05-15,15.20376
2022-05-16,60.18808
2022-05-17,55.17241
2022-05-18,53.29153
2022-05-19,43.41692
2022-05-20,56.11285
2022-05-21,11.442
2022-05-22,14.89028
2022-05-23,53.13479
2022-05-24,52.50783
2022-05-25,54.07523
2022-05-26,49.52978
2022-05-27,45.76802
2022-05-28,16.45768
2022-05-29,14.89028
2022-05-30,58.15047
2022-05-31,49.68652
2022-06-01,19.43573
2022-06-02,48.58934
2022-06-03,46.55172
2022-06-04,11.59874
2022-06-05,9.24764
2022-06-06,14.42006
2022-06-07,47.96238
2022-06-08,60.50156
2022-06-09,53.13479
2022-06-10,51.56739
2022-06-11,15.04702
2022-06-12,12.06896
2022-06-13,60.34482
2022-06-14,53.91849
2022-06-15,56.89655
2022-06-16,45.45454
2022-06-17,36.36363
2022-06-18,13.47962
2022-06-19,13.32288
2022-06-20,43.57366
2022-06-21,43.41692
2022-06-22,42.31974
2022-06-23,42.78996
2022-06-24,44.82758
2022-06-25,11.75548
2022-06-26,11.59874
2022-06-27,43.57366
2022-06-28,43.57366
2022-06-29,42.47648
2022-06-30,48.27586
2022-07-01,48.4326
2022-07-02,11.91222
2022-07-03,13.47962
2022-07-04,48.27586
2022-07-05,52.97805
2022-07-06,52.82131
2022-07-07,43.41692
2022-07-08,46.70846
2022-07-09,13.94984
2022-07-10,11.442
2022-07-11,45.2978
2022-07-12,47.33542
2022-07-13,44.98432
2022-07-14,47.80564
2022-07-15,37.93103
2022-07-16,13.16614
2022-07-17,10.81504
2022-07-18,43.41692
2022-07-19,38.87147
2022-07-20,45.2978
2022-07-21,36.05015
2022-07-22,34.01253
2022-07-23,12.2257
2022-07-24,11.28526
2022-07-25,42.00626
2022-07-26,40.43887
2022-07-27,35.73667
2022-07-28,37.77429
2022-07-29,36.67711
2022-07-30,12.53918
2022-07-31,10.81504
2022-08-01,41.37931
2022-08-02,41.06583
2022-08-03,37.30407
2022-08-04,35.10971
2022-08-05,36.67711
2022-08-06,10.18808
2022-08-07,8.62068
2022-08-08,39.49843
2022-08-09,41.53605
2022-08-10,50.94043
2022-08-11,38.08777
2022-08-12,31.5047
2022-08-13,8.77742
2022-08-14,8.46394
2022-08-15,13.32288
2022-08-16,43.26018
2022-08-17,42.163
2022-08-18,38.87147
2022-08-19,38.40125
2022-08-20,11.91222
2022-08-21,10.81504
2022-08-22,40.12539
2022-08-23,37.61755
2022-08-24,36.20689
2022-08-25,37.61755
2022-08-26,29.78056
2022-08-27,10.97178
