date,VI발동
2020-03-20,33.0813
2020-03-21,4.04971
2020-03-22,3.37648
2020-03-23,37.0378
2020-03-24,22.4754
2020-03-25,26.35939
2020-03-26,38.83997
2020-03-27,100.0
2020-03-28,8.81408
2020-03-29,6.26618
2020-03-30,45.88296
2020-03-31,58.36354
2020-04-01,74.39668
2020-04-02,44.33972
2020-04-03,31.08234
2020-04-04,4.44329
2020-04-05,3.92542
2020-04-06,20.0
2020-04-07,25.03366
2020-04-08,27.66442
2020-04-09,21.23252
2020-04-10,28.93837
2020-04-11,4.03935
2020-04-12,3.90471
2020-04-13,22.41325
2020-04-14,19.68928
2020-04-15,2.84826
2020-04-16,16.50958
2020-04-17,21.86431
2020-04-18,3.21077
2020-04-19,3.2522
2020-04-20,18.57068
2020-04-21,24.38114
2020-04-22,23.85292
2020-04-23,21.20145
2020-04-24,16.86172
2020-04-25,2.67219
2020-04-26,2.20611
2020-04-27,11.55877
2020-04-28,16.95494
2020-04-29,14.60383
2020-04-30,2.01967
2020-05-01,1.61574
2020-05-02,1.41895
2020-05-03,1.41895
2020-05-04,11.62092
2020-05-05,1.81253
2020-05-06,12.19057
2020-05-07,11.55877
2020-05-08,9.64267
2020-05-09,1.78146
2020-05-10,1.57431
2020-05-11,9.22837
2020-05-12,13.41273
2020-05-13,17.51424
2020-05-14,21.55359
2020-05-15,15.72242
2020-05-16,2.38218
2020-05-17,2.36147
2020-05-18,13.90989
2020-05-19,16.3335
2020-05-20,13.67167
2020-05-21,13.66131
2020-05-22,12.10771
2020-05-23,1.96789
2020-05-24,2.22682
2020-05-25,13.56809
2020-05-26,16.64422
2020-05-27,15.49456
2020-05-28,15.10098
2020-05-29,14.8524
2020-05-30,2.42361
2020-05-31,1.8436
2020-06-01,15.01812
2020-06-02,17.26566
2020-06-03,20.0725
2020-06-04,18.96426
2020-06-05,17.77317
2020-06-06,3.13827
2020-06-07,2.53754
2020-06-08,15.98135
2020-06-09,17.30709
2020-06-10,19.86535
2020-06-11,22.01967
2020-06-12,24.52615
2020-06-13,3.40756
2020-06-14,2.45468
2020-06-15,24.8783
2020-06-16,21.01501
2020-06-17,17.26566
2020-06-18,21.65717
2020-06-19,29.55981
2020-06-20,2.73433
2020-06-21,2.19575
2020-06-22,20.44536
2020-06-23,17.23459
2020-06-24,20.64215
2020-06-25,18.74676
2020-06-26,14.97669
2020-06-27,1.40859
2020-06-28,1.83324
2020-06-29,11.49663
2020-06-30,15.90885
2020-07-01,14.58311
2020-07-02,18.63283
2020-07-03,17.41066
2020-07-04,2.29932
2020-07-05,1.88503
2020-07-06,14.06525
2020-07-07,18.77783
2020-07-08,12.19057
2020-07-09,13.97203
2020-07-10,14.54168
2020-07-11,2.24754
2020-07-12,2.05075
2020-07-13,12.59451
2020-07-14,17.99067
2020-07-15,14.79026
2020-07-16,12.47022
2020-07-17,9.16623
2020-07-18,1.64681
2020-07-19,1.72967
2020-07-20,10.44018
2020-07-21,16.261
2020-07-22,17.51424
2020-07-23,16.62351
2020-07-24,20.90108
2020-07-25,2.9104
2020-07-26,1.63645
2020-07-27,14.12739
2020-07-28,17.42102
2020-07-29,12.02485
2020-07-30,13.55774
2020-07-31,12.88451
2020-08-01,2.14396
2020-08-02,1.67788
2020-08-03,14.28275
2020-08-04,13.80631
2020-08-05,18.68461
2020-08-06,17.08959
2020-08-07,16.67529
2020-08-08,2.49611
2020-08-09,2.17503
2020-08-10,23.63542
2020-08-11,15.4842
2020-08-12,14.4899
2020-08-13,19.20248
2020-08-14,16.35422
2020-08-15,2.05075
2020-08-16,2.07146
