date,아파트증여세
2020-03-20,16.52097
2020-03-21,11.97552
2020-03-22,14.94755
2020-03-23,15.47202
2020-03-24,13.8986
2020-03-25,18.53146
2020-03-26,21.76573
2020-03-27,15.64685
2020-03-28,13.54895
2020-03-29,13.63636
2020-03-30,15.38461
2020-03-31,13.37412
2020-04-01,13.37412
2020-04-02,17.74475
2020-04-03,14.68531
2020-04-04,12.41258
2020-04-05,11.36363
2020-04-06,17.30769
2020-04-07,16.52097
2020-04-08,17.22027
2020-04-09,21.50349
2020-04-10,17.56993
2020-04-11,12.06293
2020-04-12,13.1993
2020-04-13,18.88111
2020-04-14,18.53146
2020-04-15,14.33566
2020-04-16,19.493
2020-04-17,18.7937
2020-04-18,14.5979
2020-04-19,14.77272
2020-04-20,23.86363
2020-04-21,28.05944
2020-04-22,24.12587
2020-04-23,20.1923
2020-04-24,18.26923
2020-04-25,17.91958
2020-04-26,16.34615
2020-04-27,22.2902
2020-04-28,24.21328
2020-04-29,20.45454
2020-04-30,14.24825
2020-05-01,13.63636
2020-05-02,12.58741
2020-05-03,16.78321
2020-05-04,17.48251
2020-05-05,18.44405
2020-05-06,22.63986
2020-05-07,19.75524
2020-05-08,16.95804
2020-05-09,13.63636
2020-05-10,15.82167
2020-05-11,15.12237
2020-05-12,17.30769
2020-05-13,16.25874
2020-05-14,16.17132
2020-05-15,12.76223
2020-05-16,15.64685
2020-05-17,18.44405
2020-05-18,19.84265
2020-05-19,16.34615
2020-05-20,15.38461
2020-05-21,17.3951
2020-05-22,14.33566
2020-05-23,13.8986
2020-05-24,12.06293
2020-05-25,16.43356
2020-05-26,14.5979
2020-05-27,13.8986
2020-05-28,15.55944
2020-05-29,10.57692
2020-05-30,11.27622
2020-05-31,13.37412
2020-06-01,16.08391
2020-06-02,16.6958
2020-06-03,15.90909
2020-06-04,14.51048
2020-06-05,12.06293
2020-06-06,11.27622
2020-06-07,12.84965
2020-06-08,19.31818
2020-06-09,14.86013
2020-06-10,18.35664
2020-06-11,15.12237
2020-06-12,15.73426
