date,평생교육원
2020-03-20,44.30569
2020-03-21,29.02097
2020-03-22,30.11988
2020-03-23,54.94505
2020-03-24,49.20079
2020-03-25,47.25274
2020-03-26,46.00399
2020-03-27,44.05594
2020-03-28,30.61938
2020-03-29,28.97102
2020-03-30,45.40459
2020-03-31,45.95404
2020-04-01,48.35164
2020-04-02,39.56043
2020-04-03,34.76523
2020-04-04,24.52547
2020-04-05,27.97202
2020-04-06,43.05694
2020-04-07,41.85814
2020-04-08,38.31168
2020-04-09,39.36063
2020-04-10,32.11788
2020-04-11,24.52547
2020-04-12,24.87512
2020-04-13,39.46053
2020-04-14,36.86313
2020-04-15,27.92207
2020-04-16,39.76023
2020-04-17,36.91308
2020-04-18,25.77422
2020-04-19,27.77222
2020-04-20,46.40359
2020-04-21,41.90809
2020-04-22,43.00699
2020-04-23,41.50849
2020-04-24,40.10989
2020-04-25,25.57442
2020-04-26,29.72027
2020-04-27,41.15884
2020-04-28,41.95804
2020-04-29,39.96003
2020-04-30,21.47852
2020-05-01,25.42457
2020-05-02,20.82917
2020-05-03,25.07492
2020-05-04,37.26273
2020-05-05,31.11888
2020-05-06,46.55344
2020-05-07,43.75624
2020-05-08,38.76123
2020-05-09,25.52447
2020-05-10,32.66733
2020-05-11,50.8991
2020-05-12,46.10389
2020-05-13,46.45354
2020-05-14,45.80419
2020-05-15,44.05594
2020-05-16,30.01998
2020-05-17,28.47152
2020-05-18,56.74325
2020-05-19,57.34265
2020-05-20,42.20779
2020-05-21,44.75524
2020-05-22,43.45654
2020-05-23,29.12087
2020-05-24,32.16783
2020-05-25,51.94805
2020-05-26,50.44955
2020-05-27,48.40159
2020-05-28,46.35364
2020-05-29,38.41158
2020-05-30,26.72327
2020-05-31,28.42157
2020-06-01,50.54945
2020-06-02,47.85214
2020-06-03,46.10389
2020-06-04,42.80719
2020-06-05,40.85914
2020-06-06,26.27372
2020-06-07,28.67132
2020-06-08,52.7972
2020-06-09,47.25274
2020-06-10,52.24775
2020-06-11,43.80619
2020-06-12,39.61038
2020-06-13,31.86813
2020-06-14,30.91908
2020-06-15,56.0939
2020-06-16,55.6943
2020-06-17,50.94905
2020-06-18,47.80219
2020-06-19,40.35964
2020-06-20,27.72227
2020-06-21,31.31868
2020-06-22,50.04995
2020-06-23,47.85214
2020-06-24,45.65434
2020-06-25,47.10289
2020-06-26,43.25674
2020-06-27,28.47152
2020-06-28,32.71728
2020-06-29,53.7962
2020-06-30,57.84215
2020-07-01,53.54645
2020-07-02,52.8971
2020-07-03,47.60239
2020-07-04,29.52047
2020-07-05,31.31868
2020-07-06,53.1968
2020-07-07,50.64935
2020-07-08,49.40059
2020-07-09,48.05194
2020-07-10,40.00999
2020-07-11,32.81718
2020-07-12,31.06893
2020-07-13,55.2947
2020-07-14,53.24675
2020-07-15,49.90009
2020-07-16,40.10989
2020-07-17,42.60739
2020-07-18,31.26873
2020-07-19,33.16683
2020-07-20,53.24675
2020-07-21,50.34965
2020-07-22,49.80019
2020-07-23,50.4995
2020-07-24,41.75824
2020-07-25,33.71628
2020-07-26,32.86713
2020-07-27,52.74725
2020-07-28,50.74925
2020-07-29,52.74725
2020-07-30,48.50149
2020-07-31,41.50849
2020-08-01,25.32467
2020-08-02,27.02297
2020-08-03,48.30169
2020-08-04,49.50049
2020-08-05,46.10389
2020-08-06,43.35664
2020-08-07,44.85514
2020-08-08,30.06993
2020-08-09,33.21678
2020-08-10,64.98501
2020-08-11,73.02697
2020-08-12,64.53546
2020-08-13,54.4955
2020-08-14,48.95104
2020-08-15,33.16683
2020-08-16,30.71928
2020-08-17,38.06193
2020-08-18,52.997
2020-08-19,46.50349
2020-08-20,46.85314
2020-08-21,42.05794
2020-08-22,31.21878
2020-08-23,31.41858
2020-08-24,53.74625
2020-08-25,52.04795
2020-08-26,47.30269
2020-08-27,48.50149
2020-08-28,47.05294
2020-08-29,27.17282
2020-08-30,31.06893
2020-08-31,52.14785
2020-09-01,50.0
2020-09-02,51.14885
2020-09-03,46.45354
2020-09-04,41.15884
2020-09-05,29.27072
2020-09-06,28.42157
