date,주택청약
2020-03-20,25.36572
2020-03-21,82.28566
2020-03-22,55.61219
2020-03-23,64.93483
2020-03-24,78.65945
2020-03-25,53.55084
2020-03-26,42.4816
2020-03-27,31.34586
2020-03-28,23.16251
2020-03-29,25.81345
2020-03-30,49.70298
2020-03-31,49.9601
2020-04-01,43.45686
2020-04-02,35.31784
2020-04-03,27.51573
2020-04-04,21.54446
2020-04-05,21.62869
2020-04-06,32.98164
2020-04-07,32.5871
2020-04-08,27.74182
2020-04-09,24.92685
2020-04-10,24.35942
2020-04-11,16.88092
2020-04-12,19.70919
2020-04-13,28.96976
2020-04-14,28.34914
2020-04-15,19.0664
2020-04-16,31.7404
2020-04-17,26.33655
2020-04-18,16.99618
2020-04-19,20.33868
2020-04-20,33.25206
2020-04-21,34.82578
2020-04-22,31.55864
2020-04-23,26.0617
2020-04-24,22.08085
2020-04-25,14.21668
2020-04-26,18.09114
2020-04-27,29.90956
2020-04-28,28.62399
2020-04-29,25.13077
2020-04-30,15.62638
2020-05-01,15.70617
2020-05-02,13.79554
2020-05-03,17.6434
2020-05-04,31.10204
2020-05-05,20.71548
2020-05-06,32.01968
2020-05-07,28.72151
2020-05-08,26.03954
2020-05-09,17.32423
2020-05-10,18.96888
2020-05-11,36.08475
2020-05-12,36.75414
2020-05-13,27.34728
2020-05-14,26.24346
2020-05-15,24.48355
2020-05-16,16.92525
2020-05-17,18.09557
2020-05-18,35.17155
2020-05-19,38.98395
2020-05-20,60.71016
2020-05-21,28.95646
2020-05-22,24.91355
2020-05-23,15.98102
2020-05-24,19.70919
2020-05-25,34.9765
2020-05-26,42.20675
2020-05-27,38.10178
2020-05-28,31.37689
2020-05-29,23.53932
2020-05-30,15.12988
2020-05-31,18.24186
2020-06-01,33.94804
2020-06-02,48.03174
2020-06-03,40.81922
2020-06-04,29.4175
2020-06-05,23.61911
2020-06-06,15.73277
2020-06-07,19.15949
2020-06-08,34.79031
2020-06-09,40.27396
2020-06-10,37.88899
2020-06-11,34.93217
2020-06-12,26.44738
2020-06-13,16.77453
2020-06-14,18.40588
2020-06-15,34.48444
2020-06-16,38.69137
2020-06-17,32.59154
2020-06-18,26.68232
2020-06-19,23.41519
2020-06-20,14.88163
2020-06-21,17.6567
2020-06-22,30.15338
2020-06-23,37.13981
2020-06-24,25.83119
2020-06-25,24.87809
2020-06-26,20.38744
2020-06-27,12.54987
2020-06-28,16.13174
2020-06-29,26.80645
2020-06-30,30.22874
