date,인덱스펀드
2020-03-20,63.13043
2020-03-21,35.77639
2020-03-22,32.72049
2020-03-23,53.68944
2020-03-24,46.60869
2020-03-25,42.63354
2020-03-26,42.68322
2020-03-27,35.08074
2020-03-28,21.21739
2020-03-29,21.6149
2020-03-30,31.57763
2020-03-31,41.49068
2020-04-01,46.13664
2020-04-02,35.35403
2020-04-03,26.83229
2020-04-04,28.27329
2020-04-05,21.91304
2020-04-06,24.4472
2020-04-07,28.81987
2020-04-08,25.14285
2020-04-09,24.02484
2020-04-10,32.09937
2020-04-11,24.37267
2020-04-12,19.92546
2020-04-13,23.2795
2020-04-14,25.01863
2020-04-15,17.36645
2020-04-16,18.18633
2020-04-17,22.53416
2020-04-18,15.82608
2020-04-19,18.559
2020-04-20,20.77018
2020-04-21,22.36024
2020-04-22,24.49689
2020-04-23,21.14285
2020-04-24,17.44099
2020-04-25,13.59006
2020-04-26,14.60869
2020-04-27,18.28571
2020-04-28,16.96894
2020-04-29,15.25465
2020-04-30,12.84472
2020-05-01,14.40993
2020-05-02,12.47204
2020-05-03,16.34782
2020-05-04,16.59627
2020-05-05,14.88198
2020-05-06,14.559
2020-05-07,13.68944
2020-05-08,11.7267
2020-05-09,10.26086
2020-05-10,10.70807
2020-05-11,9.98757
2020-05-12,11.87577
2020-05-13,10.80745
2020-05-14,11.08074
2020-05-15,10.50931
2020-05-16,9.01863
2020-05-17,9.76397
2020-05-18,14.28571
2020-05-19,16.64596
2020-05-20,15.87577
2020-05-21,15.00621
2020-05-22,12.72049
2020-05-23,12.99378
2020-05-24,11.40372
2020-05-25,15.03105
2020-05-26,14.38509
2020-05-27,12.4472
2020-05-28,13.46583
2020-05-29,23.0559
2020-05-30,12.86956
2020-05-31,12.49689
2020-06-01,14.16149
2020-06-02,16.29813
2020-06-03,17.36645
2020-06-04,17.88819
2020-06-05,18.80745
2020-06-06,14.73291
2020-06-07,35.20496
2020-06-08,24.24844
2020-06-09,20.62111
2020-06-10,17.26708
2020-06-11,16.32298
2020-06-12,15.40372
2020-06-13,11.47826
2020-06-14,9.88819
2020-06-15,14.28571
2020-06-16,15.32919
2020-06-17,15.03105
2020-06-18,14.21118
2020-06-19,12.12422
2020-06-20,11.10559
2020-06-21,9.14285
2020-06-22,11.75155
2020-06-23,13.04347
2020-06-24,12.62111
2020-06-25,14.68322
2020-06-26,16.24844
2020-06-27,9.44099
2020-06-28,10.559
2020-06-29,10.95652
2020-06-30,11.10559
2020-07-01,12.79503
2020-07-02,12.32298
2020-07-03,11.03105
2020-07-04,8.94409
2020-07-05,9.29192
2020-07-06,13.1677
2020-07-07,12.52173
2020-07-08,28.32298
2020-07-09,18.45962
2020-07-10,12.8944
2020-07-11,9.98757
2020-07-12,11.47826
2020-07-13,15.87577
2020-07-14,13.76397
2020-07-15,11.87577
2020-07-16,11.45341
2020-07-17,10.65838
2020-07-18,8.32298
2020-07-19,8.37267
2020-07-20,12.54658
2020-07-21,14.38509
2020-07-22,14.13664
2020-07-23,15.77639
2020-07-24,11.37888
2020-07-25,9.31677
2020-07-26,15.60248
2020-07-27,16.74534
2020-07-28,17.76397
2020-07-29,18.03726
2020-07-30,16.54658
2020-07-31,13.78881
2020-08-01,10.28571
2020-08-02,11.85093
2020-08-03,14.50931
2020-08-04,15.00621
2020-08-05,17.73913
2020-08-06,18.40993
2020-08-07,16.04968
2020-08-08,12.09937
2020-08-09,13.36645
2020-08-10,18.3354
2020-08-11,21.73913
2020-08-12,20.96894
2020-08-13,20.96894
2020-08-14,15.90062
2020-08-15,10.31055
2020-08-16,11.0559
2020-08-17,12.64596
2020-08-18,14.53416
2020-08-19,15.0559
2020-08-20,17.29192
2020-08-21,13.1677
2020-08-22,11.22981
2020-08-23,17.34161
2020-08-24,15.52795
2020-08-25,15.0559
2020-08-26,14.28571
2020-08-27,17.41614
2020-08-28,13.31677
2020-08-29,11.45341
2020-08-30,12.14906
2020-08-31,15.82608
2020-09-01,15.0559
2020-09-02,15.5031
2020-09-03,14.80745
2020-09-04,14.85714
2020-09-05,10.75776
2020-09-06,10.60869
2020-09-07,20.04968
2020-09-08,16.54658
2020-09-09,17.6149
2020-09-10,15.60248
2020-09-11,13.86335
2020-09-12,10.50931
2020-09-13,10.58385
2020-09-14,15.2795
2020-09-15,15.57763
2020-09-16,14.45962
2020-09-17,13.86335
2020-09-18,12.8944
2020-09-19,8.77018
2020-09-20,10.08695
2020-09-21,11.85093
2020-09-22,12.99378
2020-09-23,12.0
2020-09-24,15.40372
2020-09-25,11.57763
2020-09-26,9.93788
2020-09-27,13.78881
2020-09-28,13.34161
2020-09-29,9.71428
2020-09-30,13.36645
2020-10-01,7.97515
2020-10-02,9.04347
2020-10-03,9.96273
2020-10-04,10.7826
2020-10-05,11.40372
2020-10-06,11.77639
2020-10-07,11.85093
2020-10-08,10.40993
2020-10-09,7.70186
2020-10-10,9.46583
2020-10-11,11.57763
2020-10-12,11.77639
2020-10-13,11.97515
2020-10-14,13.88819
2020-10-15,12.39751
2020-10-16,10.73291
2020-10-17,8.07453
2020-10-18,8.99378
2020-10-19,10.28571
2020-10-20,10.48447
2020-10-21,10.75776
2020-10-22,11.92546
2020-10-23,8.99378
2020-10-24,7.60248
2020-10-25,7.70186
2020-10-26,9.88819
2020-10-27,10.43478
2020-10-28,9.34161
2020-10-29,10.63354
2020-10-30,9.81366
2020-10-31,7.40372
2020-11-01,7.87577
2020-11-02,9.19254
2020-11-03,10.70807
2020-11-04,9.8385
2020-11-05,10.40993
2020-11-06,10.95652
2020-11-07,8.12422
2020-11-08,8.14906
2020-11-09,11.92546
2020-11-10,12.27329
2020-11-11,11.95031
2020-11-12,11.82608
2020-11-13,10.70807
2020-11-14,6.68322
2020-11-15,9.36645
2020-11-16,13.63975
2020-11-17,15.67701
2020-11-18,17.59006
2020-11-19,16.32298
2020-11-20,13.81366
2020-11-21,11.87577
2020-11-22,12.59627
2020-11-23,17.01863
2020-11-24,19.70186
2020-11-25,18.90683
2020-11-26,17.31677
2020-11-27,17.44099
2020-11-28,13.44099
2020-11-29,14.08695
2020-11-30,17.93788
2020-12-01,18.90683
2020-12-02,19.0559
2020-12-03,20.91925
2020-12-04,20.47204
2020-12-05,17.21739
2020-12-06,18.7826
2020-12-07,20.34782
2020-12-08,27.32919
2020-12-09,31.00621
2020-12-10,22.60869
2020-12-11,23.65217
2020-12-12,16.47204
2020-12-13,42.31055
2020-12-14,24.69565
2020-12-15,22.73291
2020-12-16,22.65838
2020-12-17,20.94409
2020-12-18,25.34161
2020-12-19,16.52173
2020-12-20,16.47204
2020-12-21,21.1677
2020-12-22,20.72049
2020-12-23,18.83229
2020-12-24,19.20496
2020-12-25,14.53416
2020-12-26,17.66459
2020-12-27,21.06832
2020-12-28,23.40372
2020-12-29,22.31055
2020-12-30,27.32919
2020-12-31,20.07453
2021-01-01,20.94409
2021-01-02,30.48447
2021-01-03,25.73913
2021-01-04,32.69565
2021-01-05,33.76397
2021-01-06,40.91925
2021-01-07,37.96273
2021-01-08,38.31055
2021-01-09,38.85714
