date,블럭체인
2020-03-20,6.03378
2020-03-21,3.70072
2020-03-22,4.42477
2020-03-23,6.19469
2020-03-24,5.63153
2020-03-25,8.4473
2020-03-26,7.24054
2020-03-27,5.14883
2020-03-28,4.02252
2020-03-29,3.86162
2020-03-30,8.1255
2020-03-31,6.51649
2020-04-01,6.27514
2020-04-02,4.98793
2020-04-03,5.14883
2020-04-04,4.50522
2020-04-05,4.98793
2020-04-06,9.65406
2020-04-07,7.16009
2020-04-08,5.63153
2020-04-09,7.64279
2020-04-10,6.67739
2020-04-11,3.45937
2020-04-12,5.79243
2020-04-13,5.39018
2020-04-14,5.79243
2020-04-15,4.58567
2020-04-16,6.83829
2020-04-17,13.27433
2020-04-18,6.83829
2020-04-19,8.6082
2020-04-20,10.61946
2020-04-21,12.46983
2020-04-22,9.25181
2020-04-23,8.04505
2020-04-24,13.35478
2020-04-25,8.84955
2020-04-26,5.95333
2020-04-27,8.20595
2020-04-28,8.1255
2020-04-29,6.51649
2020-04-30,6.11423
2020-05-01,5.30973
2020-05-02,3.45937
2020-05-03,5.14883
2020-05-04,5.71198
2020-05-05,4.18342
2020-05-06,8.68865
2020-05-07,7.32099
2020-05-08,6.83829
2020-05-09,6.91874
2020-05-10,3.37892
2020-05-11,6.51649
2020-05-12,6.83829
2020-05-13,6.51649
2020-05-14,8.36685
2020-05-15,7.16009
2020-05-16,4.26387
2020-05-17,3.05711
2020-05-18,23.7329
2020-05-19,19.87127
2020-05-20,23.0893
2020-05-21,13.83748
2020-05-22,7.8037
2020-05-23,5.55108
2020-05-24,4.18342
2020-05-25,7.72325
2020-05-26,8.6082
2020-05-27,8.36685
2020-05-28,8.7691
2020-05-29,6.43604
2020-05-30,5.87288
2020-05-31,6.11423
2020-06-01,7.56234
2020-06-02,7.88415
2020-06-03,7.24054
2020-06-04,7.07964
2020-06-05,7.16009
2020-06-06,4.66613
2020-06-07,3.70072
2020-06-08,6.99919
2020-06-09,6.43604
2020-06-10,8.20595
2020-06-11,6.91874
2020-06-12,6.11423
2020-06-13,4.18342
2020-06-14,4.34432
2020-06-15,5.22928
2020-06-16,8.4473
2020-06-17,6.43604
2020-06-18,6.67739
