date,목돈굴리기
2020-03-20,39.39962
2020-03-21,31.51969
2020-03-22,21.95121
2020-03-23,36.39774
2020-03-24,44.46529
2020-03-25,46.34146
2020-03-26,43.90243
2020-03-27,34.33395
2020-03-28,16.88555
2020-03-29,17.4484
2020-03-30,34.33395
2020-03-31,47.8424
2020-04-01,39.77485
2020-04-02,39.96247
2020-04-03,31.33208
2020-04-04,19.51219
2020-04-05,20.45028
2020-04-06,34.52157
2020-04-07,33.7711
2020-04-08,30.39399
2020-04-09,29.08067
2020-04-10,31.70731
2020-04-11,21.95121
2020-04-12,19.13696
2020-04-13,33.02063
2020-04-14,31.33208
2020-04-15,25.32833
2020-04-16,28.51782
2020-04-17,24.76547
2020-04-18,15.38461
2020-04-19,18.94934
2020-04-20,29.64352
2020-04-21,24.57786
2020-04-22,31.14446
2020-04-23,24.57786
2020-04-24,22.13883
2020-04-25,22.32645
2020-04-26,20.26266
2020-04-27,33.20825
2020-04-28,27.57973
2020-04-29,23.07692
2020-04-30,17.82363
2020-05-01,13.88367
2020-05-02,8.81801
2020-05-03,6.19136
2020-05-04,9.38086
2020-05-05,7.6923
2020-05-06,9.75609
2020-05-07,9.94371
2020-05-08,10.13133
2020-05-09,6.19136
2020-05-10,5.25328
2020-05-11,9.94371
2020-05-12,7.31707
2020-05-13,12.75797
2020-05-14,13.50844
2020-05-15,9.00562
2020-05-16,3.37711
2020-05-17,6.19136
2020-05-18,11.44465
2020-05-19,12.0075
2020-05-20,11.63227
2020-05-21,12.57035
2020-05-22,8.81801
2020-05-23,5.25328
2020-05-24,6.00375
2020-05-25,10.13133
2020-05-26,9.75609
2020-05-27,10.69418
2020-05-28,9.75609
2020-05-29,6.5666
2020-05-30,4.87804
2020-05-31,3.75234
2020-06-01,7.6923
2020-06-02,9.75609
2020-06-03,11.06941
2020-06-04,8.63039
2020-06-05,8.06754
2020-06-06,8.25515
2020-06-07,11.63227
2020-06-08,19.32457
2020-06-09,18.38649
2020-06-10,14.82176
2020-06-11,16.88555
2020-06-12,20.07504
2020-06-13,16.69793
2020-06-14,9.19324
2020-06-15,15.19699
2020-06-16,15.38461
2020-06-17,11.81988
2020-06-18,12.75797
2020-06-19,12.57035
2020-06-20,9.19324
2020-06-21,9.75609
2020-06-22,12.0075
2020-06-23,19.32457
2020-06-24,14.63414
2020-06-25,15.38461
2020-06-26,17.07317
2020-06-27,13.1332
2020-06-28,17.63602
2020-06-29,17.4484
2020-06-30,19.51219
2020-07-01,16.3227
2020-07-02,15.57223
2020-07-03,17.4484
2020-07-04,9.75609
2020-07-05,12.0075
2020-07-06,20.07504
2020-07-07,15.38461
2020-07-08,19.32457
2020-07-09,20.45028
2020-07-10,19.88742
2020-07-11,12.57035
2020-07-12,12.75797
