date,엘지화학주가
2020-03-20,52.89298
2020-03-21,6.7601
2020-03-22,5.32295
2020-03-23,51.20474
2020-03-24,44.80437
2020-03-25,42.87215
2020-03-26,41.05746
2020-03-27,36.25808
2020-03-28,4.43787
2020-03-29,3.56347
2020-03-30,33.65269
2020-03-31,29.85058
2020-04-01,30.18538
2020-04-02,31.56732
2020-04-03,27.41794
2020-04-04,3.64183
2020-04-05,2.55729
2020-04-06,25.98614
2020-04-07,28.51673
2020-04-08,30.50593
2020-04-09,28.37248
2020-04-10,27.48918
2020-04-11,3.16278
2020-04-12,2.70154
2020-04-13,25.51778
2020-04-14,25.48038
2020-04-15,4.05677
2020-04-16,29.98593
2020-04-17,35.81464
2020-04-18,4.21704
2020-04-19,3.02388
2020-04-20,31.16841
2020-04-21,31.96623
2020-04-22,29.37688
2020-04-23,28.04658
2020-04-24,23.78323
2020-04-25,2.57866
2020-04-26,2.14592
2020-04-27,24.55968
2020-04-28,26.19806
2020-04-29,26.07518
2020-04-30,3.84485
2020-05-01,4.58034
2020-05-02,1.83427
2020-05-03,2.14236
2020-05-04,24.45639
2020-05-05,3.35333
2020-05-06,23.84734
2020-05-07,23.76364
2020-05-08,26.38149
2020-05-09,3.39429
2020-05-10,2.29017
2020-05-11,23.52501
2020-05-12,22.62568
2020-05-13,26.83204
2020-05-14,23.70843
2020-05-15,21.02113
2020-05-16,2.2866
2020-05-17,1.79331
2020-05-18,22.64171
2020-05-19,23.8509
2020-05-20,21.79936
2020-05-21,28.24604
2020-05-22,23.26322
2020-05-23,2.34181
2020-05-24,2.13345
2020-05-25,25.35216
2020-05-26,35.69177
2020-05-27,30.11771
2020-05-28,28.6681
2020-05-29,23.69419
2020-05-30,2.50921
2020-05-31,2.05331
2020-06-01,24.65763
2020-06-02,23.67994
2020-06-03,25.36819
2020-06-04,30.81758
2020-06-05,31.18622
2020-06-06,3.24114
2020-06-07,2.96155
2020-06-08,30.69648
2020-06-09,28.02165
2020-06-10,29.32167
