date,하나투어주가
2020-03-20,40.35352
2020-03-21,9.67731
2020-03-22,7.88499
2020-03-23,37.88561
2020-03-24,33.75185
2020-03-25,36.32156
2020-03-26,46.26419
2020-03-27,38.05836
2020-03-28,8.33538
2020-03-29,5.83353
2020-03-30,29.79392
2020-03-31,27.61907
2020-04-01,30.25666
2020-04-02,28.58773
2020-04-03,22.3223
2020-04-04,4.97593
2020-04-05,3.63709
2020-04-06,24.05602
2020-04-07,29.26024
2020-04-08,30.29985
2020-04-09,27.57897
2020-04-10,26.84785
2020-04-11,5.1672
2020-04-12,5.01295
2020-04-13,26.6134
2020-04-14,22.10945
2020-04-15,5.54047
2020-04-16,20.57625
2020-04-17,23.90486
2020-04-18,5.16411
2020-04-19,4.31268
2020-04-20,25.13573
2020-04-21,25.74654
2020-04-22,25.07095
2020-04-23,23.33415
2020-04-24,19.61068
2020-04-25,3.96409
2020-04-26,3.25148
2020-04-27,19.8112
2020-04-28,30.01912
2020-04-29,23.68274
2020-04-30,4.65819
2020-05-01,4.55022
2020-05-02,2.50185
2020-05-03,2.45557
2020-05-04,16.96384
2020-05-05,3.32551
2020-05-06,16.93916
2020-05-07,15.93657
2020-05-08,14.73654
2020-05-09,3.13733
2020-05-10,2.92756
2020-05-11,16.12166
2020-05-12,15.47075
2020-05-13,15.97667
2020-05-14,19.19422
2020-05-15,16.67386
2020-05-16,3.30392
2020-05-17,2.47717
2020-05-18,19.84822
2020-05-19,28.08489
2020-05-20,21.39067
2020-05-21,18.43534
2020-05-22,15.38746
2020-05-23,2.32909
2020-05-24,2.05454
2020-05-25,14.89079
2020-05-26,17.57156
2020-05-27,21.46162
2020-05-28,20.76135
2020-05-29,14.99876
2020-05-30,2.23654
2020-05-31,1.63191
2020-06-01,15.51702
2020-06-02,15.39671
2020-06-03,16.71396
2020-06-04,17.4019
2020-06-05,18.37055
2020-06-06,2.90905
2020-06-07,2.54195
2020-06-08,17.4204
2020-06-09,15.51085
2020-06-10,13.41929
2020-06-11,12.87944
2020-06-12,14.17818
2020-06-13,1.90338
2020-06-14,1.44681
2020-06-15,14.00542
2020-06-16,13.77714
2020-06-17,12.19151
2020-06-18,11.08711
2020-06-19,10.68916
2020-06-20,1.5918
2020-06-21,1.25863
2020-06-22,10.61204
2020-06-23,10.34982
2020-06-24,10.36833
2020-06-25,10.60895
2020-06-26,10.18941
2020-06-27,1.54244
2020-06-28,1.37586
2020-06-29,9.89943
2020-06-30,12.57095
2020-07-01,11.38943
2020-07-02,10.22951
2020-07-03,8.98321
2020-07-04,1.42213
2020-07-05,1.24321
2020-07-06,9.94879
2020-07-07,9.10661
2020-07-08,9.08193
2020-07-09,8.91535
2020-07-10,8.13178
2020-07-11,1.65041
2020-07-12,2.14708
2020-07-13,10.49481
2020-07-14,9.06651
2020-07-15,12.31799
2020-07-16,13.54577
2020-07-17,10.92053
2020-07-18,1.68743
2020-07-19,1.46224
2020-07-20,10.2326
2020-07-21,13.66609
2020-07-22,12.64807
2020-07-23,11.50357
2020-07-24,10.34057
2020-07-25,1.74296
2020-07-26,1.76147
2020-07-27,10.50098
2020-07-28,11.62388
2020-07-29,10.59661
2020-07-30,10.75086
2020-07-31,9.28862
2020-08-01,1.82934
2020-08-02,1.60414
2020-08-03,9.70508
2020-08-04,9.44286
2020-08-05,9.43052
2020-08-06,9.9673
2020-08-07,14.7057
2020-08-08,2.31984
2020-08-09,2.62833
2020-08-10,11.53751
2020-08-11,12.78072
2020-08-12,30.77184
2020-08-13,24.19792
2020-08-14,17.32786
2020-08-15,2.61907
2020-08-16,3.42731
2020-08-17,5.95693
2020-08-18,19.51196
2020-08-19,17.03788
2020-08-20,16.66152
2020-08-21,15.2764
2020-08-22,2.48642
2020-08-23,2.5111
2020-08-24,14.07329
2020-08-25,15.02961
2020-08-26,13.72778
2020-08-27,13.03985
2020-08-28,11.70718
2020-08-29,2.23346
2020-08-30,3.29466
2020-08-31,13.81108
2020-09-01,13.30207
2020-09-02,14.81675
2020-09-03,16.09698
2020-09-04,16.2574
