date,토지증여세
2020-03-20,28.73563
2020-03-21,21.45593
2020-03-22,20.30651
2020-03-23,34.09961
2020-03-24,31.03448
2020-03-25,40.61302
2020-03-26,32.95019
2020-03-27,29.11877
2020-03-28,20.68965
2020-03-29,28.73563
2020-03-30,34.48275
2020-03-31,24.52107
2020-04-01,36.01532
2020-04-02,32.1839
2020-04-03,31.03448
2020-04-04,23.37164
2020-04-05,19.15708
2020-04-06,39.4636
2020-04-07,31.41762
2020-04-08,36.39846
2020-04-09,28.73563
2020-04-10,28.35249
2020-04-11,30.26819
2020-04-12,24.52107
2020-04-13,42.14559
2020-04-14,32.1839
2020-04-15,16.47509
2020-04-16,32.1839
2020-04-17,31.80076
2020-04-18,19.15708
2020-04-19,21.83908
2020-04-20,42.52873
2020-04-21,42.52873
2020-04-22,42.14559
2020-04-23,36.39846
2020-04-24,26.81992
2020-04-25,19.92337
2020-04-26,29.11877
2020-04-27,40.61302
2020-04-28,37.93103
2020-04-29,29.11877
2020-04-30,26.81992
2020-05-01,25.28735
2020-05-02,24.52107
2020-05-03,35.24904
2020-05-04,47.89272
2020-05-05,31.41762
2020-05-06,35.63218
2020-05-07,40.22988
2020-05-08,30.26819
2020-05-09,31.41762
2020-05-10,36.39846
2020-05-11,37.54789
2020-05-12,41.76245
2020-05-13,26.43678
2020-05-14,40.61302
2020-05-15,37.16475
2020-05-16,23.75478
2020-05-17,27.20306
2020-05-18,49.42528
2020-05-19,44.82758
2020-05-20,33.33333
2020-05-21,37.16475
2020-05-22,33.71647
2020-05-23,29.88505
2020-05-24,33.71647
2020-05-25,48.27586
2020-05-26,35.63218
2020-05-27,28.73563
2020-05-28,32.95019
2020-05-29,24.90421
2020-05-30,19.15708
2020-05-31,25.67049
2020-06-01,28.73563
2020-06-02,17.62452
2020-06-03,26.81992
2020-06-04,24.90421
2020-06-05,26.43678
2020-06-06,13.7931
2020-06-07,28.73563
2020-06-08,49.42528
2020-06-09,34.48275
2020-06-10,34.8659
2020-06-11,27.20306
2020-06-12,25.28735
2020-06-13,23.75478
2020-06-14,25.67049
2020-06-15,38.69731
2020-06-16,25.67049
2020-06-17,27.96934
2020-06-18,30.26819
2020-06-19,28.73563
2020-06-20,21.45593
2020-06-21,29.88505
2020-06-22,39.08045
2020-06-23,33.33333
2020-06-24,33.71647
2020-06-25,29.88505
2020-06-26,26.81992
2020-06-27,23.75478
2020-06-28,31.80076
2020-06-29,36.39846
2020-06-30,29.11877
2020-07-01,34.8659
2020-07-02,32.1839
2020-07-03,25.67049
2020-07-04,11.87739
2020-07-05,23.37164
2020-07-06,43.29501
2020-07-07,32.95019
2020-07-08,40.99616
2020-07-09,33.71647
2020-07-10,39.84674
2020-07-11,49.04214
2020-07-12,69.7318
2020-07-13,100.0
2020-07-14,96.55172
2020-07-15,80.45977
2020-07-16,59.00383
2020-07-17,56.70498
2020-07-18,35.63218
2020-07-19,39.08045
2020-07-20,70.49808
2020-07-21,47.50957
2020-07-22,56.32183
2020-07-23,54.02298
2020-07-24,40.22988
2020-07-25,37.16475
2020-07-26,36.01532
2020-07-27,61.68582
2020-07-28,45.59386
2020-07-29,69.7318
2020-07-30,79.69348
2020-07-31,52.49042
2020-08-01,37.93103
2020-08-02,45.59386
2020-08-03,60.91954
2020-08-04,61.68582
2020-08-05,63.21839
2020-08-06,49.80842
2020-08-07,45.21072
2020-08-08,33.33333
2020-08-09,37.93103
2020-08-10,48.27586
2020-08-11,35.63218
2020-08-12,41.37931
2020-08-13,38.69731
2020-08-14,29.11877
2020-08-15,25.28735
2020-08-16,33.33333
2020-08-17,31.41762
2020-08-18,36.7816
2020-08-19,32.56704
2020-08-20,27.96934
2020-08-21,33.33333
2020-08-22,29.88505
2020-08-23,32.95019
2020-08-24,43.29501
2020-08-25,36.39846
2020-08-26,35.24904
2020-08-27,32.56704
2020-08-28,31.80076
2020-08-29,21.07279
2020-08-30,23.37164
2020-08-31,38.31417
2020-09-01,27.20306
2020-09-02,30.26819
