date,돈많이버는법
2020-03-20,44.32234
2020-03-21,34.79853
2020-03-22,28.20512
2020-03-23,35.53113
2020-03-24,33.33333
2020-03-25,27.10622
2020-03-26,38.82783
2020-03-27,35.53113
2020-03-28,22.34432
2020-03-29,20.51282
2020-03-30,20.87912
2020-03-31,28.93772
2020-04-01,29.30402
2020-04-02,34.06593
2020-04-03,43.58974
2020-04-04,28.93772
2020-04-05,28.57142
2020-04-06,36.63003
2020-04-07,37.36263
2020-04-08,28.20512
2020-04-09,25.27472
2020-04-10,28.57142
2020-04-11,21.24542
2020-04-12,27.83882
2020-04-13,42.12454
2020-04-14,42.49084
2020-04-15,26.37362
2020-04-16,21.97802
2020-04-17,24.54212
2020-04-18,17.21611
2020-04-19,26.00732
2020-04-20,37.72893
2020-04-21,24.54212
2020-04-22,34.79853
2020-04-23,26.73992
2020-04-24,25.64102
2020-04-25,20.87912
2020-04-26,28.57142
2020-04-27,33.69963
2020-04-28,31.86813
2020-04-29,19.41391
2020-04-30,20.14652
2020-05-01,24.90842
2020-05-02,20.14652
2020-05-03,26.00732
2020-05-04,27.83882
2020-05-05,23.07692
2020-05-06,24.17582
2020-05-07,9.8901
2020-05-08,11.72161
2020-05-09,8.0586
2020-05-10,16.11721
2020-05-11,16.48351
2020-05-12,16.11721
2020-05-13,18.68131
2020-05-14,15.01831
2020-05-15,16.48351
2020-05-16,17.21611
2020-05-17,31.50183
2020-05-18,27.47252
2020-05-19,19.41391
2020-05-20,17.58241
2020-05-21,20.87912
2020-05-22,20.14652
2020-05-23,18.68131
2020-05-24,28.20512
2020-05-25,19.04761
2020-05-26,23.44322
2020-05-27,17.94871
2020-05-28,16.84981
2020-05-29,15.75091
2020-05-30,15.01831
2020-05-31,13.91941
2020-06-01,15.75091
2020-06-02,15.01831
2020-06-03,20.87912
2020-06-04,20.87912
2020-06-05,21.24542
2020-06-06,21.61172
2020-06-07,28.93772
2020-06-08,20.51282
2020-06-09,18.31501
2020-06-10,23.44322
2020-06-11,21.24542
2020-06-12,20.51282
2020-06-13,15.01831
2020-06-14,20.87912
2020-06-15,23.07692
2020-06-16,27.47252
2020-06-17,18.31501
2020-06-18,19.41391
2020-06-19,14.65201
2020-06-20,17.58241
2020-06-21,28.57142
2020-06-22,27.47252
2020-06-23,22.34432
2020-06-24,20.87912
2020-06-25,20.87912
2020-06-26,16.11721
2020-06-27,15.38461
2020-06-28,20.14652
2020-06-29,21.97802
2020-06-30,19.04761
2020-07-01,16.11721
2020-07-02,20.14652
2020-07-03,20.14652
2020-07-04,16.11721
2020-07-05,23.80952
2020-07-06,27.10622
2020-07-07,14.65201
2020-07-08,21.24542
2020-07-09,23.07692
2020-07-10,21.97802
2020-07-11,23.07692
2020-07-12,26.00732
2020-07-13,26.00732
2020-07-14,19.04761
2020-07-15,16.84981
2020-07-16,16.48351
2020-07-17,19.41391
2020-07-18,12.08791
2020-07-19,15.01831
2020-07-20,21.61172
2020-07-21,20.14652
2020-07-22,21.61172
2020-07-23,28.20512
2020-07-24,32.23443
2020-07-25,23.44322
2020-07-26,32.96703
2020-07-27,28.57142
2020-07-28,28.93772
2020-07-29,30.76923
2020-07-30,27.83882
2020-07-31,23.07692
2020-08-01,19.78021
2020-08-02,28.93772
2020-08-03,30.76923
2020-08-04,36.99633
2020-08-05,36.26373
2020-08-06,28.93772
2020-08-07,21.61172
2020-08-08,14.28571
2020-08-09,22.34432
2020-08-10,27.10622
2020-08-11,26.37362
2020-08-12,19.04761
2020-08-13,24.54212
2020-08-14,31.86813
2020-08-15,34.79853
2020-08-16,35.53113
2020-08-17,45.78754
2020-08-18,45.78754
2020-08-19,40.65934
2020-08-20,42.12454
2020-08-21,43.95604
2020-08-22,43.22344
2020-08-23,46.52014
2020-08-24,58.97435
2020-08-25,51.28205
2020-08-26,49.81684
2020-08-27,51.64835
2020-08-28,50.54945
2020-08-29,48.35164
2020-08-30,61.17216
2020-08-31,55.31135
2020-09-01,73.26007
2020-09-02,72.16117
2020-09-03,74.72527
2020-09-04,64.83516
2020-09-05,50.91575
2020-09-06,71.42857
2020-09-07,68.86446
2020-09-08,65.93406
2020-09-09,58.97435
2020-09-10,63.73626
2020-09-11,50.18315
2020-09-12,53.11355
2020-09-13,63.73626
2020-09-14,63.73626
2020-09-15,56.77655
2020-09-16,45.78754
2020-09-17,53.84615
2020-09-18,48.71794
2020-09-19,45.05494
2020-09-20,46.88644
2020-09-21,64.10256
2020-09-22,43.58974
2020-09-23,37.36263
2020-09-24,46.88644
2020-09-25,34.79853
2020-09-26,32.60073
2020-09-27,40.29304
2020-09-28,43.58974
2020-09-29,35.16483
2020-09-30,32.96703
2020-10-01,36.63003
2020-10-02,41.02564
2020-10-03,50.54945
2020-10-04,53.47985
2020-10-05,56.04395
2020-10-06,64.83516
2020-10-07,49.08424
2020-10-08,55.67765
2020-10-09,41.39194
2020-10-10,53.47985
2020-10-11,54.21245
2020-10-12,60.43956
2020-10-13,50.54945
2020-10-14,46.52014
2020-10-15,55.31135
2020-10-16,48.71794
2020-10-17,42.12454
2020-10-18,65.20146
2020-10-19,64.83516
2020-10-20,49.08424
2020-10-21,61.53846
2020-10-22,47.98534
2020-10-23,41.75824
2020-10-24,48.71794
2020-10-25,52.01465
2020-10-26,49.81684
2020-10-27,54.21245
2020-10-28,50.18315
2020-10-29,43.95604
2020-10-30,31.50183
2020-10-31,36.63003
2020-11-01,45.78754
2020-11-02,52.01465
2020-11-03,42.85714
2020-11-04,46.52014
2020-11-05,52.01465
2020-11-06,40.65934
2020-11-07,43.22344
2020-11-08,57.50915
2020-11-09,60.07326
2020-11-10,67.76556
2020-11-11,55.31135
2020-11-12,48.35164
2020-11-13,43.95604
2020-11-14,42.85714
2020-11-15,59.70695
2020-11-16,59.34065
2020-11-17,52.01465
2020-11-18,53.11355
2020-11-19,50.18315
2020-11-20,45.78754
2020-11-21,47.98534
2020-11-22,58.24175
2020-11-23,58.24175
2020-11-24,59.70695
2020-11-25,65.20146
2020-11-26,60.07326
2020-11-27,47.98534
2020-11-28,43.58974
2020-11-29,71.06227
2020-11-30,76.92307
2020-12-01,65.56776
2020-12-02,62.27106
2020-12-03,67.03296
2020-12-04,45.78754
2020-12-05,43.95604
2020-12-06,65.56776
2020-12-07,51.64835
2020-12-08,65.56776
2020-12-09,64.46886
2020-12-10,75.82417
2020-12-11,73.62637
2020-12-12,53.84615
2020-12-13,75.09157
2020-12-14,55.67765
2020-12-15,52.38095
2020-12-16,56.77655
2020-12-17,64.10256
2020-12-18,71.79487
2020-12-19,73.26007
2020-12-20,83.88278
2020-12-21,76.92307
2020-12-22,100.0
2020-12-23,85.71428
2020-12-24,74.35897
2020-12-25,57.50915
2020-12-26,63.73626
2020-12-27,89.01098
2020-12-28,84.61538
2020-12-29,90.84249
2020-12-30,91.20879
2020-12-31,85.34798
2021-01-01,75.45787
2021-01-02,60.43956
2021-01-03,76.55677
2021-01-04,87.91208
2021-01-05,98.53479
2021-01-06,74.35897
2021-01-07,61.53846
2021-01-08,46.52014
2021-01-09,54.94505
2021-01-10,52.38095
2021-01-11,66.66666
2021-01-12,50.54945
2021-01-13,65.93406
2021-01-14,51.64835
2021-01-15,43.58974
2021-01-16,43.22344
2021-01-17,49.45054
2021-01-18,47.98534
2021-01-19,47.25274
2021-01-20,63.00366
2021-01-21,67.76556
2021-01-22,67.39926
2021-01-23,59.70695
2021-01-24,58.24175
2021-01-25,60.43956
2021-01-26,61.53846
2021-01-27,72.52747
2021-01-28,60.43956
2021-01-29,55.67765
2021-01-30,47.98534
2021-01-31,50.54945
2021-02-01,55.31135
2021-02-02,51.64835
2021-02-03,45.05494
2021-02-04,49.08424
2021-02-05,38.46153
2021-02-06,42.85714
2021-02-07,50.54945
2021-02-08,40.65934
2021-02-09,41.75824
2021-02-10,36.63003
2021-02-11,36.63003
2021-02-12,45.78754
2021-02-13,44.32234
2021-02-14,47.61904
2021-02-15,52.74725
2021-02-16,58.97435
2021-02-17,48.71794
2021-02-18,49.08424
2021-02-19,37.36263
2021-02-20,39.56043
2021-02-21,48.71794
2021-02-22,49.08424
2021-02-23,50.54945
2021-02-24,50.91575
2021-02-25,46.88644
2021-02-26,45.42124
2021-02-27,37.36263
2021-02-28,47.61904
2021-03-01,45.42124
2021-03-02,41.75824
2021-03-03,54.94505
2021-03-04,37.36263
2021-03-05,41.02564
2021-03-06,36.26373
2021-03-07,43.58974
2021-03-08,36.63003
2021-03-09,41.75824
2021-03-10,38.46153
2021-03-11,44.68864
2021-03-12,36.26373
2021-03-13,40.29304
2021-03-14,42.85714
2021-03-15,42.85714
2021-03-16,40.65934
2021-03-17,58.97435
2021-03-18,46.52014
2021-03-19,37.36263
2021-03-20,34.79853
2021-03-21,50.18315
2021-03-22,49.45054
2021-03-23,55.67765
2021-03-24,53.11355
2021-03-25,37.72893
2021-03-26,43.58974
2021-03-27,36.63003
2021-03-28,50.91575
2021-03-29,63.73626
2021-03-30,73.62637
2021-03-31,43.22344
2021-04-01,56.41025
2021-04-02,51.64835
2021-04-03,35.89743
2021-04-04,56.41025
2021-04-05,54.94505
2021-04-06,53.47985
2021-04-07,46.52014
2021-04-08,43.22344
2021-04-09,43.22344
2021-04-10,36.26373
2021-04-11,47.98534
2021-04-12,57.14285
2021-04-13,47.98534
2021-04-14,46.88644
2021-04-15,60.80586
2021-04-16,38.82783
2021-04-17,35.16483
2021-04-18,46.15384
2021-04-19,49.08424
2021-04-20,56.41025
2021-04-21,66.30036
2021-04-22,46.52014
2021-04-23,40.65934
2021-04-24,41.75824
2021-04-25,43.22344
2021-04-26,57.87545
2021-04-27,56.04395
2021-04-28,58.97435
2021-04-29,48.71794
2021-04-30,39.56043
2021-05-01,32.96703
2021-05-02,42.85714
2021-05-03,47.25274
2021-05-04,46.15384
2021-05-05,35.53113
2021-05-06,39.56043
2021-05-07,40.29304
2021-05-08,36.26373
2021-05-09,45.05494
2021-05-10,50.18315
2021-05-11,48.71794
2021-05-12,46.15384
2021-05-13,44.32234
2021-05-14,47.98534
2021-05-15,35.16483
2021-05-16,50.54945
2021-05-17,48.71794
2021-05-18,45.78754
2021-05-19,42.12454
2021-05-20,48.71794
2021-05-21,47.25274
2021-05-22,42.85714
2021-05-23,63.00366
2021-05-24,66.66666
2021-05-25,67.76556
2021-05-26,43.58974
2021-05-27,43.22344
2021-05-28,49.08424
2021-05-29,53.84615
2021-05-30,66.66666
2021-05-31,60.80586
2021-06-01,49.08424
2021-06-02,53.11355
2021-06-03,46.52014
2021-06-04,40.29304
2021-06-05,46.88644
2021-06-06,71.79487
2021-06-07,56.41025
2021-06-08,60.80586
2021-06-09,54.94505
2021-06-10,41.75824
2021-06-11,42.85714
2021-06-12,53.11355
2021-06-13,63.73626
2021-06-14,78.75457
2021-06-15,68.13186
2021-06-16,66.66666
2021-06-17,68.49816
2021-06-18,52.01465
2021-06-19,44.32234
2021-06-20,54.57875
2021-06-21,60.07326
