date,실손의료보험
2020-03-20,13.63636
2020-03-21,7.10627
2020-03-22,6.59411
2020-03-23,17.79769
2020-03-24,18.62996
2020-03-25,17.73367
2020-03-26,20.55057
2020-03-27,16.13316
2020-03-28,8.1306
2020-03-29,8.64276
2020-03-30,23.04737
2020-03-31,20.16645
2020-04-01,16.96542
2020-04-02,14.91677
2020-04-03,11.65172
2020-04-04,4.86555
2020-04-05,5.88988
2020-04-06,13.31626
2020-04-07,12.80409
2020-04-08,14.85275
2020-04-09,13.63636
2020-04-10,13.25224
2020-04-11,6.20998
2020-04-12,5.37772
2020-04-13,12.22791
2020-04-14,11.13956
2020-04-15,5.44174
2020-04-16,10.24327
2020-04-17,9.66709
2020-04-18,6.01792
2020-04-19,4.41741
2020-04-20,12.09987
2020-04-21,13.38028
2020-04-22,11.13956
2020-04-23,10.17925
2020-04-24,10.69142
2020-04-25,6.46606
2020-04-26,7.17029
2020-04-27,11.20358
2020-04-28,10.6274
2020-04-29,11.65172
2020-04-30,5.18565
2020-05-01,4.73751
2020-05-02,4.48143
2020-05-03,5.3137
2020-05-04,10.17925
2020-05-05,7.81049
2020-05-06,12.03585
2020-05-07,10.81946
2020-05-08,9.79513
2020-05-09,5.37772
2020-05-10,5.6338
2020-05-11,10.88348
2020-05-12,11.01152
2020-05-13,10.9475
2020-05-14,9.28297
2020-05-15,9.47503
2020-05-16,5.76184
2020-05-17,4.54545
2020-05-18,10.11523
2020-05-19,11.71574
2020-05-20,9.47503
2020-05-21,8.83482
2020-05-22,10.88348
2020-05-23,4.67349
2020-05-24,4.28937
2020-05-25,10.81946
2020-05-26,10.88348
2020-05-27,9.41101
2020-05-28,9.21895
2020-05-29,8.70678
2020-05-30,4.92957
2020-05-31,2.8169
2020-06-01,8.4507
2020-06-02,9.02688
2020-06-03,7.49039
2020-06-04,6.85019
2020-06-05,7.81049
2020-06-06,5.44174
2020-06-07,5.12163
2020-06-08,8.89884
2020-06-09,8.38668
2020-06-10,9.28297
2020-06-11,8.25864
2020-06-12,8.06658
2020-06-13,4.41741
2020-06-14,5.18565
2020-06-15,9.73111
2020-06-16,9.79513
2020-06-17,10.9475
2020-06-18,9.0909
2020-06-19,7.93854
2020-06-20,4.16133
2020-06-21,4.03329
2020-06-22,10.11523
2020-06-23,11.65172
2020-06-24,8.89884
2020-06-25,11.77976
2020-06-26,8.57874
2020-06-27,5.37772
2020-06-28,4.99359
2020-06-29,7.36235
2020-06-30,8.83482
2020-07-01,7.36235
2020-07-02,6.01792
2020-07-03,8.06658
2020-07-04,3.96927
2020-07-05,4.35339
2020-07-06,8.38668
2020-07-07,7.10627
2020-07-08,7.42637
2020-07-09,7.36235
2020-07-10,5.82586
2020-07-11,3.52112
2020-07-12,3.90524
2020-07-13,5.24967
2020-07-14,7.55441
2020-07-15,6.72215
2020-07-16,7.17029
2020-07-17,8.1306
2020-07-18,3.39308
2020-07-19,3.26504
2020-07-20,8.51472
2020-07-21,9.15492
2020-07-22,7.93854
2020-07-23,7.17029
2020-07-24,5.50576
2020-07-25,3.71318
2020-07-26,5.69782
2020-07-27,11.2676
2020-07-28,11.01152
2020-07-29,9.02688
2020-07-30,8.00256
2020-07-31,6.46606
2020-08-01,4.35339
2020-08-02,3.00896
2020-08-03,6.72215
2020-08-04,6.72215
2020-08-05,7.04225
2020-08-06,8.32266
2020-08-07,6.33802
2020-08-08,4.99359
2020-08-09,3.84122
2020-08-10,8.25864
2020-08-11,8.96286
2020-08-12,7.42637
2020-08-13,8.25864
2020-08-14,8.89884
2020-08-15,4.09731
2020-08-16,3.58514
2020-08-17,5.82586
2020-08-18,10.24327
2020-08-19,9.34699
2020-08-20,9.34699
2020-08-21,10.11523
2020-08-22,4.35339
2020-08-23,4.35339
2020-08-24,7.49039
2020-08-25,10.17925
2020-08-26,7.61843
2020-08-27,9.79513
2020-08-28,8.7708
2020-08-29,5.76184
2020-08-30,5.24967
2020-08-31,9.85915
2020-09-01,10.49935
2020-09-02,9.02688
2020-09-03,8.25864
2020-09-04,8.1306
2020-09-05,4.22535
2020-09-06,4.92957
2020-09-07,12.16389
