date,스케줄표
2020-03-20,32.85714
2020-03-21,23.33333
2020-03-22,23.80952
2020-03-23,43.33333
2020-03-24,37.14285
2020-03-25,37.14285
2020-03-26,39.5238
2020-03-27,23.80952
2020-03-28,15.71428
2020-03-29,27.61904
2020-03-30,40.95238
2020-03-31,44.7619
2020-04-01,39.04761
2020-04-02,31.42857
2020-04-03,29.5238
2020-04-04,20.0
2020-04-05,16.19047
2020-04-06,45.71428
2020-04-07,31.42857
2020-04-08,36.66666
2020-04-09,38.57142
2020-04-10,35.71428
2020-04-11,15.23809
2020-04-12,19.04761
2020-04-13,44.28571
2020-04-14,31.42857
2020-04-15,28.09523
2020-04-16,36.19047
2020-04-17,34.28571
2020-04-18,17.61904
2020-04-19,24.28571
2020-04-20,45.23809
2020-04-21,42.38095
2020-04-22,40.47619
2020-04-23,45.23809
2020-04-24,23.80952
2020-04-25,29.5238
2020-04-26,22.85714
2020-04-27,47.61904
2020-04-28,32.38095
2020-04-29,34.7619
2020-04-30,23.33333
2020-05-01,27.14285
2020-05-02,15.71428
2020-05-03,33.33333
2020-05-04,29.5238
2020-05-05,27.14285
2020-05-06,37.14285
2020-05-07,33.80952
2020-05-08,20.0
2020-05-09,18.09523
2020-05-10,22.85714
2020-05-11,46.19047
2020-05-12,33.80952
2020-05-13,37.61904
2020-05-14,29.04761
2020-05-15,34.7619
2020-05-16,15.71428
2020-05-17,23.80952
2020-05-18,48.57142
2020-05-19,35.71428
2020-05-20,33.33333
2020-05-21,36.66666
2020-05-22,36.66666
2020-05-23,15.71428
2020-05-24,26.19047
2020-05-25,44.28571
2020-05-26,43.80952
2020-05-27,37.61904
2020-05-28,46.19047
2020-05-29,33.33333
2020-05-30,18.09523
2020-05-31,20.95238
2020-06-01,47.61904
2020-06-02,36.66666
2020-06-03,35.71428
2020-06-04,30.95238
2020-06-05,26.19047
2020-06-06,19.5238
2020-06-07,21.42857
2020-06-08,35.23809
2020-06-09,27.14285
2020-06-10,27.61904
2020-06-11,30.47619
2020-06-12,27.61904
2020-06-13,19.04761
2020-06-14,17.61904
2020-06-15,42.85714
2020-06-16,37.14285
2020-06-17,31.42857
2020-06-18,25.23809
2020-06-19,29.5238
2020-06-20,16.19047
2020-06-21,24.7619
2020-06-22,30.47619
2020-06-23,26.19047
2020-06-24,22.38095
2020-06-25,31.90476
2020-06-26,35.71428
2020-06-27,20.0
2020-06-28,23.33333
2020-06-29,40.47619
2020-06-30,43.33333
2020-07-01,30.47619
2020-07-02,33.80952
2020-07-03,33.80952
2020-07-04,17.61904
2020-07-05,21.42857
2020-07-06,40.47619
2020-07-07,33.33333
2020-07-08,36.19047
2020-07-09,37.61904
2020-07-10,22.85714
2020-07-11,19.04761
2020-07-12,22.85714
2020-07-13,47.14285
2020-07-14,31.90476
2020-07-15,28.57142
2020-07-16,26.19047
2020-07-17,23.80952
2020-07-18,20.0
2020-07-19,20.95238
2020-07-20,43.33333
