date,삼성전자주가전망
2020-03-20,19.87111
2020-03-21,8.58901
2020-03-22,7.88689
2020-03-23,20.73675
2020-03-24,16.48552
2020-03-25,15.1005
2020-03-26,13.35
2020-03-27,10.67615
2020-03-28,5.83822
2020-03-29,4.47244
2020-03-30,9.62777
2020-03-31,8.52168
2020-04-01,9.85861
2020-04-02,7.53101
2020-04-03,5.75165
2020-04-04,3.42406
2020-04-05,3.77993
2020-04-06,7.39636
2020-04-07,9.00259
2020-04-08,6.43454
2020-04-09,5.96325
2020-04-10,5.98249
2020-04-11,2.96239
2020-04-12,2.64499
2020-04-13,5.67471
2020-04-14,4.74175
2020-04-15,2.90468
2020-04-16,4.68404
2020-04-17,6.8866
2020-04-18,3.84726
2020-04-19,3.52986
2020-04-20,6.24218
2020-04-21,6.29027
2020-04-22,6.23256
2020-04-23,4.75137
2020-04-24,3.86649
2020-04-25,2.02943
2020-04-26,2.39492
2020-04-27,4.05886
2020-04-28,3.72222
2020-04-29,3.98191
2020-04-30,1.92363
2020-05-01,2.0679
2020-05-02,1.8563
2020-05-03,1.57737
2020-05-04,4.15504
2020-05-05,2.69308
2020-05-06,4.46282
2020-05-07,3.95306
2020-05-08,3.22208
2020-05-09,2.20255
2020-05-10,1.7505
2020-05-11,3.31826
2020-05-12,4.4532
2020-05-13,4.1358
2020-05-14,3.97229
2020-05-15,3.56833
2020-05-16,2.33721
2020-05-17,2.68346
2020-05-18,3.77031
2020-05-19,4.26084
2020-05-20,3.28941
2020-05-21,3.35673
2020-05-22,3.72222
2020-05-23,2.04866
2020-05-24,2.08714
2020-05-25,3.45291
2020-05-26,2.4911
2020-05-27,1.8563
2020-05-28,1.81783
2020-05-29,1.41386
2020-05-30,1.19265
2020-05-31,1.12532
2020-06-01,1.89477
2020-06-02,1.9621
2020-06-03,4.29931
2020-06-04,3.97229
2020-06-05,2.89506
2020-06-06,1.88515
2020-06-07,2.04866
2020-06-08,3.04895
2020-06-09,2.51995
2020-06-10,2.10637
2020-06-11,2.4911
2020-06-12,3.56833
2020-06-13,2.35644
2020-06-14,1.52928
2020-06-15,2.51995
2020-06-16,1.67355
2020-06-17,1.33692
2020-06-18,1.6447
2020-06-19,1.31768
2020-06-20,1.2215
2020-06-21,0.86563
2020-06-22,1.46196
2020-06-23,1.65432
2020-06-24,1.79859
2020-06-25,2.21217
2020-06-26,1.88515
2020-06-27,1.29845
2020-06-28,1.23112
2020-06-29,1.23112
2020-06-30,1.24074
2020-07-01,1.03876
2020-07-02,1.28883
2020-07-03,1.20226
2020-07-04,0.62518
2020-07-05,0.82716
2020-07-06,2.20255
2020-07-07,2.36606
2020-07-08,1.6447
2020-07-09,1.21188
2020-07-10,1.33692
2020-07-11,0.59632
2020-07-12,1.00028
2020-07-13,0.94257
2020-07-14,1.02914
2020-07-15,1.38501
2020-07-16,1.06761
2020-07-17,0.92334
2020-07-18,0.74059
2020-07-19,0.52899
2020-07-20,0.98105
2020-07-21,1.39463
2020-07-22,1.13494
2020-07-23,1.21188
2020-07-24,0.78868
2020-07-25,0.72136
2020-07-26,1.48119
2020-07-27,2.20255
2020-07-28,6.12676
2020-07-29,3.56833
2020-07-30,2.4911
2020-07-31,2.16408
2020-08-01,1.21188
2020-08-02,1.51966
2020-08-03,3.05857
2020-08-04,1.91401
2020-08-05,2.54881
2020-08-06,2.09675
2020-08-07,1.88515
2020-08-08,1.25997
2020-08-09,1.28883
2020-08-10,2.26026
2020-08-11,2.55843
2020-08-12,3.27017
2020-08-13,4.65518
2020-08-14,4.21275
2020-08-15,2.71232
2020-08-16,2.69308
2020-08-17,3.45291
2020-08-18,4.71289
2020-08-19,4.52053
2020-08-20,6.82889
2020-08-21,4.57824
2020-08-22,2.51033
2020-08-23,2.45263
2020-08-24,4.36664
2020-08-25,3.61642
2020-08-26,4.37626
2020-08-27,6.60767
2020-08-28,5.43425
2020-08-29,2.98162
2020-08-30,5.1938
2020-08-31,13.4558
2020-09-01,10.74348
2020-09-02,8.20428
2020-09-03,7.66567
2020-09-04,6.61729
2020-09-05,3.64528
2020-09-06,3.55871
2020-09-07,7.73299
2020-09-08,11.12821
2020-09-09,8.29085
2020-09-10,8.64672
2020-09-11,6.55958
2020-09-12,4.08771
2020-09-13,4.58786
2020-09-14,10.10868
2020-09-15,12.17658
2020-09-16,10.95508
2020-09-17,11.91689
2020-09-18,8.69481
2020-09-19,4.09733
2020-09-20,3.8184
2020-09-21,7.12705
2020-09-22,8.28123
2020-09-23,7.11743
2020-09-24,6.74232
2020-09-25,5.21304
2020-09-26,3.09704
2020-09-27,2.96239
2020-09-28,4.69366
2020-09-29,4.74175
2020-09-30,2.79888
2020-10-01,2.39492
2020-10-02,2.67384
2020-10-03,1.73126
2020-10-04,1.66394
2020-10-05,4.63595
2020-10-06,5.48235
2020-10-07,6.44416
2020-10-08,7.03087
2020-10-09,3.63566
2020-10-10,2.84697
2020-10-11,2.68346
2020-10-12,6.5692
2020-10-13,7.26171
2020-10-14,6.29027
2020-10-15,6.4634
2020-10-16,5.79013
2020-10-17,2.87582
2020-10-18,2.65461
2020-10-19,4.559
2020-10-20,5.09762
2020-10-21,5.50158
2020-10-22,5.47273
2020-10-23,4.42435
2020-10-24,2.62575
2020-10-25,23.91074
2020-10-26,9.43541
2020-10-27,11.54179
2020-10-28,13.63854
2020-10-29,18.20717
2020-10-30,18.70731
2020-10-31,9.07954
2020-11-01,9.04106
2020-11-02,9.94517
2020-11-03,8.18505
2020-11-04,7.01163
2020-11-05,6.83851
2020-11-06,5.67471
2020-11-07,3.01048
2020-11-08,3.16437
2020-11-09,6.04982
2020-11-10,4.99182
2020-11-11,7.55987
2020-11-12,6.01134
2020-11-13,9.68548
2020-11-14,5.43425
2020-11-15,4.83793
2020-11-16,19.76531
2020-11-17,13.68664
2020-11-18,11.1763
2020-11-19,8.99297
2020-11-20,7.48292
2020-11-21,4.1358
2020-11-22,3.8184
2020-11-23,13.27305
2020-11-24,15.34096
2020-11-25,12.42666
2020-11-26,11.83995
2020-11-27,9.59892
2020-11-28,6.03058
2020-11-29,6.97316
2020-11-30,12.97489
2020-12-01,11.18591
2020-12-02,15.83148
2020-12-03,17.23574
2020-12-04,24.23776
2020-12-05,11.91689
2020-12-06,10.35875
2020-12-07,23.24709
2020-12-08,18.13984
2020-12-09,19.80378
2020-12-10,20.51553
2020-12-11,17.25497
2020-12-12,9.38732
2020-12-13,9.08916
2020-12-14,18.31297
2020-12-15,13.09993
2020-12-16,13.35
2020-12-17,14.48494
2020-12-18,11.53217
2020-12-19,7.78109
2020-12-20,8.96412
2020-12-21,15.38905
2020-12-22,15.61989
2020-12-23,13.94633
2020-12-24,20.28469
2020-12-25,11.67644
2020-12-26,11.00317
2020-12-27,12.56131
2020-12-28,25.17072
2020-12-29,19.00548
2020-12-30,30.11445
2020-12-31,16.39896
2021-01-01,13.5616
2021-01-02,12.81138
2021-01-03,14.38876
2021-01-04,37.97249
2021-01-05,29.1334
2021-01-06,37.1838
2021-01-07,30.89352
2021-01-08,52.51514
2021-01-09,29.71049
2021-01-10,38.16485
2021-01-11,93.42117
2021-01-12,69.2315
2021-01-13,52.15927
2021-01-14,45.32076
2021-01-15,48.61979
2021-01-16,27.13282
2021-01-17,25.55544
2021-01-18,100.0
2021-01-19,49.25459
2021-01-20,28.41204
2021-01-21,34.68308
2021-01-22,33.44233
2021-01-23,18.11099
2021-01-24,19.38059
2021-01-25,31.38405
2021-01-26,32.9999
2021-01-27,35.56795
2021-01-28,53.8136
2021-01-29,44.14735
2021-01-30,20.025
2021-01-31,16.99528
2021-02-01,22.22756
2021-02-02,18.4861
2021-02-03,18.81311
2021-02-04,28.0754
2021-02-05,18.50533
2021-02-06,10.61844
2021-02-07,11.00317
2021-02-08,16.37972
2021-02-09,16.28354
2021-02-10,23.00663
2021-02-11,12.96527
2021-02-12,11.4937
2021-02-13,13.61931
2021-02-14,18.65922
2021-02-15,24.18005
2021-02-16,21.083
2021-02-17,24.77637
2021-02-18,27.02702
2021-02-19,23.85303
2021-02-20,12.73444
2021-02-21,12.13811
2021-02-22,18.45724
2021-02-23,19.56333
2021-02-24,16.4759
2021-02-25,16.25468
2021-02-26,15.35058
2021-02-27,10.12792
2021-02-28,10.40684
2021-03-01,10.74348
2021-03-02,13.34038
2021-03-03,11.74377
2021-03-04,13.2442
2021-03-05,11.78224
2021-03-06,7.86765
2021-03-07,8.48321
2021-03-08,15.11012
2021-03-09,18.50533
2021-03-10,20.47706
2021-03-11,14.13869
2021-03-12,11.64759
2021-03-13,7.59834
2021-03-14,9.08916
2021-03-15,18.55342
2021-03-16,13.51351
2021-03-17,13.23458
2021-03-18,11.30133
2021-03-19,10.48379
2021-03-20,7.94459
2021-03-21,9.3777
2021-03-22,12.90756
2021-03-23,12.37857
2021-03-24,14.27334
2021-03-25,11.42637
2021-03-26,11.05126
2021-03-27,7.34827
2021-03-28,8.23314
2021-03-29,12.34009
2021-03-30,11.21477
2021-03-31,11.98422
