date,최근상장주
2020-03-27,3.24675
2020-03-31,3.8961
2020-04-01,3.24675
2020-04-04,3.24675
2020-04-06,3.8961
2020-04-07,5.84415
2020-04-08,11.03896
2020-04-15,3.24675
2020-04-20,4.54545
2020-04-29,7.14285
2020-05-06,4.54545
2020-05-14,3.8961
2020-05-21,6.4935
2020-05-23,3.24675
2020-05-24,3.8961
2020-05-25,3.24675
2020-05-26,3.8961
2020-05-27,3.24675
2020-05-28,5.84415
2020-05-29,3.8961
2020-06-03,12.33766
2020-06-10,4.54545
2020-06-11,7.14285
2020-06-17,7.7922
2020-06-18,7.7922
2020-06-19,3.8961
2020-06-22,10.38961
2020-06-23,7.7922
2020-06-24,11.68831
2020-06-25,5.1948
2020-06-30,3.24675
2020-07-01,3.8961
2020-07-02,11.68831
2020-07-03,7.14285
2020-07-04,3.24675
2020-07-06,5.1948
2020-07-07,7.7922
2020-07-08,7.7922
2020-07-09,3.24675
2020-07-10,5.1948
2020-07-13,3.24675
2020-07-15,5.1948
2020-07-16,7.14285
2020-07-17,5.1948
2020-07-18,4.54545
2020-07-19,3.8961
2020-07-20,5.84415
2020-07-21,3.24675
2020-07-22,3.24675
2020-07-23,4.54545
2020-07-24,5.84415
2020-07-27,3.8961
2020-07-28,4.54545
2020-07-30,3.24675
2020-07-31,7.14285
2020-08-01,5.1948
2020-08-04,11.68831
2020-08-05,5.1948
2020-08-06,6.4935
2020-08-07,5.84415
2020-08-08,5.1948
2020-08-09,3.8961
2020-08-10,6.4935
2020-08-11,6.4935
2020-08-12,8.44155
2020-08-13,3.24675
2020-08-14,3.24675
2020-08-19,4.54545
2020-08-24,5.1948
2020-08-25,10.38961
2020-08-26,7.7922
2020-08-27,5.84415
2020-08-28,6.4935
2020-08-30,3.8961
2020-08-31,9.74025
2020-09-01,6.4935
2020-09-02,11.68831
2020-09-04,7.14285
2020-09-05,9.74025
2020-09-07,9.74025
2020-09-08,7.14285
2020-09-10,13.63636
2020-09-11,12.33766
