date,유럽증시
2020-11-08,1.76269
2020-11-09,39.64887
2020-11-10,52.87061
2020-11-11,36.04222
2020-11-12,31.47847
2020-11-13,26.31936
2020-11-14,9.58593
2020-11-15,2.00428
2020-11-16,20.8025
2020-11-17,28.45571
2020-11-18,27.76803
2020-11-19,28.68891
2020-11-20,22.47377
2020-11-21,9.16988
2020-11-22,1.82629
2020-11-23,16.50685
2020-11-24,24.07967
2020-11-25,25.32385
2020-11-26,23.68924
2020-11-27,20.86169
2020-11-28,7.30649
2020-11-29,1.59309
2020-11-30,15.76662
2020-12-01,21.9579
2020-12-02,21.86206
2020-12-03,21.87973
2020-12-04,17.88618
2020-12-05,6.98805
2020-12-06,1.5105
2020-12-07,14.79186
2020-12-08,23.585
2020-12-09,21.43144
2020-12-10,23.56513
2020-12-11,21.78433
2020-12-12,8.80507
2020-12-13,1.65315
2020-12-14,15.04273
2020-12-15,21.8603
2020-12-16,20.72035
2020-12-17,20.16518
2020-12-18,17.89457
2020-12-19,7.43192
2020-12-20,1.5688
2020-12-21,91.3685
2020-12-22,80.22922
2020-12-23,52.87856
2020-12-24,22.8218
2020-12-25,10.23783
2020-12-26,2.54355
2020-12-27,1.69776
2020-12-28,14.17618
2020-12-29,20.83563
2020-12-30,19.33926
2020-12-31,11.45109
2021-01-01,5.26246
2021-01-02,1.80685
2021-01-03,1.48046
2021-01-04,15.00872
2021-01-05,30.80405
2021-01-06,29.04887
2021-01-07,27.47786
2021-01-08,21.69202
2021-01-09,9.25468
2021-01-10,2.08643
2021-01-11,21.43144
2021-01-12,31.94178
2021-01-13,27.97164
2021-01-14,24.43168
2021-01-15,24.50588
2021-01-16,11.5328
2021-01-17,2.2706
2021-01-18,20.89128
2021-01-19,34.18148
2021-01-20,24.04522
2021-01-21,23.08725
2021-01-22,22.78073
2021-01-23,9.30857
2021-01-24,1.83733
2021-01-25,18.73683
2021-01-26,33.0115
2021-01-27,35.95698
2021-01-28,59.03849
2021-01-29,45.59503
2021-01-30,18.75891
2021-01-31,3.3253
2021-02-01,23.43925
2021-02-02,30.26698
2021-02-03,29.68001
2021-02-04,30.33632
2021-02-05,23.54525
2021-02-06,9.18402
2021-02-07,1.85146
2021-02-08,15.89603
2021-02-09,23.66495
2021-02-10,18.61272
2021-02-11,13.92708
2021-02-12,14.46149
2021-02-13,7.94337
2021-02-14,2.2631
2021-02-15,14.12494
2021-02-16,25.24391
2021-02-17,24.65031
2021-02-18,28.82317
2021-02-19,24.75896
2021-02-20,9.2008
2021-02-21,2.07362
2021-02-22,23.08195
2021-02-23,35.63412
2021-02-24,40.26632
2021-02-25,34.13687
2021-02-26,38.51246
2021-02-27,14.51493
2021-02-28,2.66766
2021-03-01,23.7842
2021-03-02,35.29845
2021-03-03,36.80939
2021-03-04,41.07678
2021-03-05,37.4582
2021-03-06,13.99068
2021-03-07,2.51308
2021-03-08,28.84128
2021-03-09,39.20411
2021-03-10,33.79855
2021-03-11,30.75856
2021-03-12,27.00616
2021-03-13,11.50365
2021-03-14,2.2706
2021-03-15,18.53896
2021-03-16,26.31804
2021-03-17,27.9659
2021-03-18,28.26093
2021-03-19,25.88962
2021-03-20,9.96974
2021-03-21,1.98529
2021-03-22,17.58761
2021-03-23,26.1321
2021-03-24,27.01234
2021-03-25,28.30775
2021-03-26,21.83998
2021-03-27,8.1779
2021-03-28,1.65934
2021-03-29,16.86195
2021-03-30,23.45339
2021-03-31,23.10712
2021-04-01,21.0251
2021-04-02,18.26689
2021-04-03,7.85327
2021-04-04,1.74237
2021-04-05,12.08488
2021-04-06,18.04032
2021-04-07,18.53587
2021-04-08,17.6225
2021-04-09,14.37272
2021-04-10,5.74387
2021-04-11,1.25212
2021-04-12,11.25411
2021-04-13,17.26343
2021-04-14,16.41101
2021-04-15,16.20652
2021-04-16,13.59406
2021-04-17,5.37906
2021-04-18,1.19426
2021-04-19,10.67862
2021-04-20,19.41523
2021-04-21,24.39016
2021-04-22,19.94214
2021-04-23,17.72364
2021-04-24,6.2169
2021-04-25,1.1713
2021-04-26,11.07302
2021-04-27,17.25813
2021-04-28,18.78497
2021-04-29,18.41132
2021-04-30,15.38281
2021-05-01,6.20056
2021-05-02,1.25168
2021-05-03,11.65161
2021-05-04,15.89514
2021-05-05,18.98769
2021-05-06,19.52299
2021-05-07,15.35278
2021-05-08,5.90066
2021-05-09,1.2031
2021-05-10,12.58794
2021-05-11,27.38643
2021-05-12,32.54731
2021-05-13,39.83614
2021-05-14,23.06251
2021-05-15,7.40366
2021-05-16,1.54097
2021-05-17,17.172
2021-05-18,19.43819
2021-05-19,24.47231
2021-05-20,26.79548
2021-05-21,19.05748
2021-05-22,7.14837
2021-05-23,1.51226
2021-05-24,14.03838
2021-05-25,19.09149
2021-05-26,21.12271
2021-05-27,20.6466
2021-05-28,16.10803
2021-05-29,6.16434
2021-05-30,1.31705
2021-05-31,12.80745
2021-06-01,20.96371
2021-06-02,19.30172
2021-06-03,21.80111
2021-06-04,17.97584
2021-06-05,6.27741
2021-06-06,1.30689
2021-06-07,12.61798
2021-06-08,18.60168
2021-06-09,18.74964
2021-06-10,18.44842
2021-06-11,14.70441
2021-06-12,5.67321
2021-06-13,1.13375
2021-06-14,10.50548
2021-06-15,16.46048
2021-06-16,18.15383
2021-06-17,19.2125
2021-06-18,17.56067
2021-06-19,8.70437
2021-06-20,1.54274
2021-06-21,16.19769
2021-06-22,20.34229
2021-06-23,19.08795
2021-06-24,18.66219
2021-06-25,14.99768
2021-06-26,5.83
2021-06-27,1.1607
2021-06-28,11.44579
2021-06-29,17.0819
2021-06-30,19.69259
2021-07-01,18.20329
2021-07-02,14.34445
2021-07-03,5.36625
2021-07-04,1.0759
2021-07-05,11.35569
2021-07-06,17.52887
2021-07-07,19.10739
2021-07-08,29.96621
2021-07-09,24.56683
2021-07-10,7.8652
2021-07-11,1.40405
2021-07-12,14.66598
2021-07-13,19.89444
2021-07-14,20.66912
2021-07-15,21.87708
2021-07-16,19.0217
2021-07-17,7.70885
2021-07-18,1.4151
2021-07-19,29.80102
2021-07-20,37.32747
2021-07-21,28.21323
2021-07-22,24.09292
2021-07-23,18.6613
2021-07-24,6.57244
2021-07-25,1.20089
2021-07-26,16.49449
2021-07-27,24.66576
2021-07-28,24.982
2021-07-29,20.82105
2021-07-30,19.769
2021-07-31,7.44341
2021-08-01,1.4703
2021-08-02,12.92847
2021-08-03,20.26809
2021-08-04,20.68635
2021-08-05,20.00397
2021-08-06,16.18267
2021-08-07,5.73901
2021-08-08,1.19294
2021-08-09,12.63608
2021-08-10,18.50274
2021-08-11,19.87368
2021-08-12,19.87103
2021-08-13,17.40653
2021-08-14,6.37634
2021-08-15,1.25124
2021-08-16,15.02506
2021-08-17,25.74299
2021-08-18,24.49219
2021-08-19,35.98966
2021-08-20,30.21133
2021-08-21,9.70209
2021-08-22,1.84307
2021-08-23,16.81204
2021-08-24,24.44935
2021-08-25,23.53112
2021-08-26,23.23123
2021-08-27,20.72035
2021-08-28,7.13336
2021-08-29,1.18057
2021-08-30,13.59318
2021-08-31,21.33074
2021-09-01,22.03785
2021-09-02,20.9699
2021-09-03,17.72011
2021-09-04,6.52474
2021-09-05,1.27111
2021-09-06,13.30344
2021-09-07,21.2636
2021-09-08,24.611
2021-09-09,26.40284
2021-09-10,19.72528
2021-09-11,7.7645
2021-09-12,1.3621
2021-09-13,15.58333
2021-09-14,21.47781
2021-09-15,21.77859
2021-09-16,20.74376
2021-09-17,15.99363
2021-09-18,6.97524
2021-09-19,1.44071
2021-09-20,19.82024
2021-09-21,38.50142
2021-09-22,40.86036
2021-09-23,31.09511
2021-09-24,26.43596
2021-09-25,9.38851
2021-09-26,1.8307
2021-09-27,17.48338
2021-09-28,31.9303
2021-09-29,39.65594
2021-09-30,31.95768
2021-10-01,31.42636
2021-10-02,10.38491
2021-10-03,1.97645
2021-10-04,29.45917
2021-10-05,44.80356
2021-10-06,51.70417
2021-10-07,38.70238
2021-10-08,27.73226
2021-10-09,9.73433
2021-10-10,2.03564
2021-10-11,22.98743
2021-10-12,35.92032
2021-10-13,32.33354
2021-10-14,28.09707
2021-10-15,23.14555
2021-10-16,8.05865
2021-10-17,1.76755
2021-10-18,19.64048
2021-10-19,24.8601
2021-10-20,23.87695
2021-10-21,23.36196
2021-10-22,19.33749
2021-10-23,7.24112
2021-10-24,1.51491
