date,증권계좌개설
2020-03-20,90.30862
2020-03-21,29.40829
2020-03-22,28.85787
2020-03-23,69.53017
2020-03-24,63.80971
2020-03-25,70.10025
2020-03-26,63.16099
2020-03-27,52.44741
2020-03-28,22.68527
2020-03-29,22.42972
2020-03-30,36.89797
2020-03-31,34.14586
2020-04-01,31.80656
2020-04-02,28.38608
2020-04-03,20.40495
2020-04-04,9.59308
2020-04-05,11.14605
2020-04-06,22.54767
2020-04-07,23.35364
2020-04-08,20.99469
2020-04-09,17.27933
2020-04-10,17.02378
2020-04-11,8.51189
2020-04-12,8.02044
2020-04-13,14.60585
2020-04-14,12.60074
2020-04-15,8.09907
2020-04-16,12.06998
2020-04-17,13.48535
2020-04-18,6.25122
2020-04-19,7.76489
2020-04-20,12.48279
2020-04-21,14.3503
2020-04-22,17.10241
2020-04-23,14.40927
2020-04-24,10.39905
2020-04-25,5.36662
2020-04-26,5.42559
2020-04-27,9.75034
2020-04-28,9.55376
2020-04-29,9.59308
2020-04-30,5.18969
2020-05-01,5.28798
2020-05-02,3.32219
2020-05-03,4.12816
2020-05-04,11.91271
2020-05-05,5.58285
2020-05-06,7.39138
2020-05-07,7.92215
2020-05-08,6.8213
2020-05-09,4.38372
2020-05-10,4.14782
2020-05-11,8.13839
2020-05-12,8.72813
2020-05-13,8.72813
2020-05-14,9.61273
2020-05-15,7.8042
2020-05-16,3.18458
2020-05-17,3.89227
2020-05-18,8.49223
2020-05-19,9.33752
2020-05-20,9.25889
2020-05-21,10.61529
2020-05-22,9.06231
2020-05-23,4.14782
2020-05-24,4.75722
2020-05-25,10.94947
2020-05-26,12.2469
2020-05-27,11.81442
2020-05-28,10.2811
2020-05-29,8.49223
2020-05-30,4.50167
2020-05-31,4.77688
2020-06-01,10.30076
2020-06-02,11.67682
2020-06-03,14.31098
2020-06-04,12.73835
2020-06-05,11.32298
2020-06-06,6.21191
2020-06-07,6.70336
2020-06-08,12.16827
2020-06-09,12.8563
2020-06-10,11.93237
2020-06-11,11.81442
2020-06-12,12.03066
2020-06-13,6.0743
2020-06-14,6.54609
2020-06-15,13.13151
2020-06-16,13.42638
2020-06-17,12.08964
2020-06-18,11.48024
2020-06-19,9.84863
2020-06-20,4.46235
2020-06-21,6.11362
2020-06-22,11.79477
2020-06-23,11.40161
2020-06-24,12.14861
2020-06-25,10.22213
2020-06-26,9.23923
2020-06-27,4.67859
2020-06-28,5.24867
2020-06-29,9.18026
2020-06-30,8.72813
2020-07-01,8.80676
2020-07-02,9.47513
2020-07-03,9.19992
2020-07-04,4.12816
2020-07-05,6.29054
2020-07-06,11.81442
2020-07-07,13.17082
2020-07-08,11.264
2020-07-09,12.69903
2020-07-10,10.59563
2020-07-11,5.7008
2020-07-12,8.45291
2020-07-13,12.60074
2020-07-14,12.10929
2020-07-15,11.97169
2020-07-16,11.22469
2020-07-17,10.00589
2020-07-18,5.95635
2020-07-19,5.89738
2020-07-20,13.21014
2020-07-21,14.66483
2020-07-22,14.88106
2020-07-23,16.72891
2020-07-24,12.79732
2020-07-25,6.50678
2020-07-26,11.14605
2020-07-27,18.83231
2020-07-28,16.90583
2020-07-29,16.96481
2020-07-30,15.58875
2020-07-31,15.82465
2020-08-01,9.25889
2020-08-02,10.57597
2020-08-03,18.06565
2020-08-04,20.83742
2020-08-05,21.50579
2020-08-06,21.034
2020-08-07,19.97247
2020-08-08,11.20503
2020-08-09,12.46314
2020-08-10,25.53567
2020-08-11,24.98525
2020-08-12,20.48358
2020-08-13,21.34853
2020-08-14,17.37762
2020-08-15,8.7871
2020-08-16,7.92215
2020-08-17,11.38195
2020-08-18,19.24513
2020-08-19,18.85197
2020-08-20,21.13229
2020-08-21,18.14428
2020-08-22,8.45291
2020-08-23,8.82642
2020-08-24,16.6896
2020-08-25,18.26223
2020-08-26,19.63829
2020-08-27,21.60408
2020-08-28,17.51523
2020-08-29,9.21957
2020-08-30,12.60074
2020-08-31,27.36386
2020-09-01,29.62453
2020-09-02,26.8331
2020-09-03,25.59465
2020-09-04,20.69982
2020-09-05,10.517
2020-09-06,11.85374
2020-09-07,23.86475
2020-09-08,24.00235
2020-09-09,25.83054
2020-09-10,25.63396
2020-09-11,22.23314
2020-09-12,12.05032
2020-09-13,13.9768
2020-09-14,24.08099
2020-09-15,26.57755
2020-09-16,24.65107
2020-09-17,21.78101
2020-09-18,16.66994
2020-09-19,9.29821
2020-09-20,9.92726
2020-09-21,17.79044
2020-09-22,16.23746
2020-09-23,14.76312
2020-09-24,15.96225
2020-09-25,13.38706
2020-09-26,6.72301
2020-09-27,7.21446
2020-09-28,14.60585
2020-09-29,12.34519
2020-09-30,7.25378
2020-10-01,9.57342
2020-10-02,8.53155
2020-10-03,8.45291
2020-10-04,11.00845
2020-10-05,20.5229
2020-10-06,18.49813
2020-10-07,14.82209
2020-10-08,14.1144
2020-10-09,9.02299
2020-10-10,7.48967
2020-10-11,8.23668
2020-10-12,16.84686
2020-10-13,15.23491
2020-10-14,14.88106
2020-10-15,15.80499
2020-10-16,13.81954
2020-10-17,5.99567
2020-10-18,7.11617
2020-10-19,13.52467
2020-10-20,12.95459
2020-10-21,13.68193
2020-10-22,12.89561
2020-10-23,10.61529
2020-10-24,5.44525
2020-10-25,8.84607
2020-10-26,13.7409
2020-10-27,12.36485
2020-10-28,11.81442
2020-10-29,14.48791
2020-10-30,11.95203
2020-10-31,6.38883
2020-11-01,7.90249
2020-11-02,14.82209
2020-11-03,11.40161
2020-11-04,12.56143
2020-11-05,13.2298
2020-11-06,11.81442
2020-11-07,5.97601
2020-11-08,6.8213
2020-11-09,15.80499
2020-11-10,17.92805
2020-11-11,16.96481
2020-11-12,16.8272
2020-11-13,14.07509
2020-11-14,8.49223
2020-11-15,8.72813
2020-11-16,23.53056
2020-11-17,22.41006
2020-11-18,19.20581
2020-11-19,17.82976
2020-11-20,16.80754
2020-11-21,10.34008
2020-11-22,11.34263
2020-11-23,23.51091
2020-11-24,24.63141
2020-11-25,28.48437
2020-11-26,26.99036
2020-11-27,22.21348
2020-11-28,15.56909
2020-11-29,17.49557
2020-11-30,27.02968
2020-12-01,29.23137
2020-12-02,32.51425
2020-12-03,34.8732
2020-12-04,37.29113
2020-12-05,18.95026
2020-12-06,21.58443
2020-12-07,35.71849
2020-12-08,33.30057
2020-12-09,32.86809
2020-12-10,31.6493
2020-12-11,25.81089
2020-12-12,15.15628
2020-12-13,15.35286
2020-12-14,26.79378
2020-12-15,24.45449
2020-12-16,23.64851
