date,다세대주택
2020-03-20,26.38036
2020-03-21,23.72188
2020-03-22,25.35787
2020-03-23,36.09406
2020-03-24,36.29856
2020-03-25,34.35582
2020-03-26,41.20654
2020-03-27,32.61758
2020-03-28,25.56237
2020-03-29,25.46012
2020-03-30,34.76482
2020-03-31,37.52556
2020-04-01,34.45807
2020-04-02,32.51533
2020-04-03,30.47034
2020-04-04,25.76687
2020-04-05,26.27811
2020-04-06,37.62781
2020-04-07,36.40081
2020-04-08,30.26584
2020-04-09,35.78732
2020-04-10,32.00408
2020-04-11,22.80163
2020-04-12,30.67484
2020-04-13,32.31083
2020-04-14,36.19631
2020-04-15,28.5276
2020-04-16,36.40081
2020-04-17,29.9591
2020-04-18,23.00613
2020-04-19,27.60736
2020-04-20,35.58282
2020-04-21,36.29856
2020-04-22,37.11656
2020-04-23,35.68507
2020-04-24,31.90184
2020-04-25,25.05112
2020-04-26,27.09611
2020-04-27,35.88957
2020-04-28,40.18404
2020-04-29,33.74233
2020-04-30,27.91411
2020-05-01,28.1186
2020-05-02,27.30061
2020-05-03,24.74437
2020-05-04,31.39059
2020-05-05,26.99386
2020-05-06,39.36605
2020-05-07,38.13905
2020-05-08,37.11656
2020-05-09,26.38036
2020-05-10,40.28629
2020-05-11,53.37423
2020-05-12,43.45603
2020-05-13,33.94683
2020-05-14,34.76482
2020-05-15,32.00408
2020-05-16,25.46012
2020-05-17,22.69938
2020-05-18,34.04907
2020-05-19,38.95705
2020-05-20,35.07157
2020-05-21,40.89979
2020-05-22,30.16359
2020-05-23,21.77914
2020-05-24,22.69938
2020-05-25,40.28629
2020-05-26,30.47034
2020-05-27,30.57259
2020-05-28,30.36809
2020-05-29,28.3231
2020-05-30,20.24539
2020-05-31,20.04089
2020-06-01,32.00408
2020-06-02,28.83435
2020-06-03,33.23108
2020-06-04,27.19836
2020-06-05,29.24335
2020-06-06,19.73415
2020-06-07,22.18813
2020-06-08,34.66257
2020-06-09,33.12883
2020-06-10,29.03885
2020-06-11,26.99386
2020-06-12,26.07361
2020-06-13,22.18813
2020-06-14,21.26789
2020-06-15,32.41308
2020-06-16,39.16155
2020-06-17,54.49897
2020-06-18,46.52351
2020-06-19,35.48057
2020-06-20,22.08588
2020-06-21,28.42535
2020-06-22,41.51329
2020-06-23,46.83026
2020-06-24,39.8773
2020-06-25,40.38854
2020-06-26,43.25153
2020-06-27,37.42331
2020-06-28,37.32106
2020-06-29,58.17995
2020-06-30,40.59304
2020-07-01,37.21881
2020-07-02,38.2413
2020-07-03,38.8548
2020-07-04,25.97137
2020-07-05,27.09611
2020-07-06,42.33128
2020-07-07,39.77505
2020-07-08,44.27402
2020-07-09,47.85276
2020-07-10,62.16768
2020-07-11,45.80777
2020-07-12,42.63803
2020-07-13,52.55623
2020-07-14,45.91002
2020-07-15,39.8773
2020-07-16,35.58282
2020-07-17,33.43558
2020-07-18,23.00613
2020-07-19,63.59918
2020-07-20,61.04294
2020-07-21,46.11451
2020-07-22,40.69529
2020-07-23,39.2638
2020-07-24,32.10633
2020-07-25,27.30061
2020-07-26,25.76687
2020-07-27,34.86707
2020-07-28,36.19631
2020-07-29,34.66257
2020-07-30,32.61758
2020-07-31,31.90184
2020-08-01,23.82413
2020-08-02,24.13087
2020-08-03,37.32106
2020-08-04,39.8773
2020-08-05,35.68507
2020-08-06,36.60531
2020-08-07,35.88957
2020-08-08,24.94887
2020-08-09,23.61963
2020-08-10,37.42331
2020-08-11,41.10429
2020-08-12,37.01431
2020-08-13,45.19427
2020-08-14,32.61758
2020-08-15,19.93865
2020-08-16,23.00613
2020-08-17,26.17586
2020-08-18,65.03067
2020-08-19,57.25971
2020-08-20,40.89979
2020-08-21,34.76482
2020-08-22,25.05112
2020-08-23,25.76687
2020-08-24,35.48057
2020-08-25,36.60531
2020-08-26,43.55828
2020-08-27,35.68507
2020-08-28,38.34355
2020-08-29,25.15337
2020-08-30,26.89161
2020-08-31,35.17382
2020-09-01,40.18404
2020-09-02,38.4458
2020-09-03,35.68507
2020-09-04,34.66257
2020-09-05,25.35787
2020-09-06,27.09611
2020-09-07,42.02453
2020-09-08,38.6503
2020-09-09,36.80981
2020-09-10,47.75051
2020-09-11,33.84458
2020-09-12,24.94887
2020-09-13,26.78936
2020-09-14,37.83231
2020-09-15,36.09406
2020-09-16,38.8548
2020-09-17,38.75255
2020-09-18,34.76482
2020-09-19,19.73415
2020-09-20,24.43762
2020-09-21,33.53783
2020-09-22,33.94683
2020-09-23,37.11656
2020-09-24,36.91206
2020-09-25,33.02658
2020-09-26,24.43762
2020-09-27,20.96114
2020-09-28,28.22085
2020-09-29,26.17586
2020-09-30,16.87116
2020-10-01,22.08588
2020-10-02,21.98364
2020-10-03,18.2004
2020-10-04,24.53987
2020-10-05,41.41104
2020-10-06,35.48057
2020-10-07,35.88957
2020-10-08,27.91411
2020-10-09,24.53987
2020-10-10,24.74437
2020-10-11,32.00408
2020-10-12,37.73006
2020-10-13,33.74233
2020-10-14,33.74233
2020-10-15,30.98159
2020-10-16,31.59509
2020-10-17,22.80163
2020-10-18,23.21063
2020-10-19,32.51533
2020-10-20,38.0368
2020-10-21,43.35378
2020-10-22,33.94683
2020-10-23,22.29038
2020-10-24,19.93865
2020-10-25,22.69938
2020-10-26,35.07157
2020-10-27,36.60531
2020-10-28,37.01431
2020-10-29,32.10633
2020-10-30,30.06134
2020-10-31,24.53987
2020-11-01,24.84662
2020-11-02,36.50306
2020-11-03,33.33333
2020-11-04,34.25357
2020-11-05,28.3231
2020-11-06,25.86912
2020-11-07,18.8139
2020-11-08,19.4274
2020-11-09,36.09406
2020-11-10,32.41308
2020-11-11,32.61758
2020-11-12,32.51533
2020-11-13,26.99386
2020-11-14,17.07566
2020-11-15,23.51738
2020-11-16,34.66257
2020-11-17,34.15132
2020-11-18,34.35582
2020-11-19,33.12883
2020-11-20,38.8548
2020-11-21,22.29038
2020-11-22,29.44785
2020-11-23,44.37627
2020-11-24,36.40081
2020-11-25,33.94683
2020-11-26,32.61758
2020-11-27,26.78936
2020-11-28,24.64212
2020-11-29,25.15337
2020-11-30,45.19427
2020-12-01,37.11656
2020-12-02,30.87934
2020-12-03,32.31083
2020-12-04,26.38036
2020-12-05,21.47239
2020-12-06,26.27811
2020-12-07,33.53783
2020-12-08,36.29856
2020-12-09,41.71779
2020-12-10,39.57055
2020-12-11,32.92433
2020-12-12,28.83435
2020-12-13,25.66462
2020-12-14,40.18404
2020-12-15,37.21881
2020-12-16,37.83231
2020-12-17,34.56032
2020-12-18,32.41308
2020-12-19,25.76687
2020-12-20,28.3231
2020-12-21,36.09406
2020-12-22,35.88957
2020-12-23,30.67484
2020-12-24,25.46012
2020-12-25,18.2004
2020-12-26,19.73415
2020-12-27,23.41513
2020-12-28,32.20858
2020-12-29,34.56032
2020-12-30,27.91411
2020-12-31,23.51738
2021-01-01,18.6094
2021-01-02,27.19836
2021-01-03,26.78936
2021-01-04,36.09406
2021-01-05,35.48057
2021-01-06,36.40081
2021-01-07,35.27607
2021-01-08,39.0593
2021-01-09,26.58486
2021-01-10,29.9591
2021-01-11,39.77505
2021-01-12,35.27607
2021-01-13,33.02658
2021-01-14,31.69734
2021-01-15,45.39877
2021-01-16,32.51533
2021-01-17,38.0368
2021-01-18,63.19018
2021-01-19,56.74846
2021-01-20,62.78118
2021-01-21,64.00817
2021-01-22,52.76073
2021-01-23,30.87934
2021-01-24,32.00408
2021-01-25,58.58895
2021-01-26,57.66871
2021-01-27,53.88548
2021-01-28,45.39877
2021-01-29,41.20654
2021-01-30,27.70961
2021-01-31,30.77709
