date,발행어음
2020-03-20,13.24362
2020-03-21,8.28611
2020-03-22,8.28611
2020-03-23,21.31728
2020-03-24,23.15864
2020-03-25,19.61756
2020-03-26,19.54674
2020-03-27,18.48441
2020-03-28,11.82719
2020-03-29,9.77337
2020-03-30,18.62606
2020-03-31,15.72237
2020-04-01,14.44759
2020-04-02,15.22662
2020-04-03,11.96883
2020-04-04,5.52407
2020-04-05,7.01133
2020-04-06,12.53541
2020-04-07,11.82719
2020-04-08,12.74787
2020-04-09,11.82719
2020-04-10,11.61473
2020-04-11,5.45325
2020-04-12,7.08215
2020-04-13,13.1728
2020-04-14,12.39376
2020-04-15,12.03966
2020-04-16,20.53824
2020-04-17,15.08498
2020-04-18,7.64872
2020-04-19,7.71954
2020-04-20,14.73087
2020-04-21,13.1728
2020-04-22,14.80169
2020-04-23,12.74787
2020-04-24,12.67705
2020-04-25,8.42776
2020-04-26,7.15297
2020-04-27,11.5439
2020-04-28,13.45609
2020-04-29,10.62322
2020-04-30,6.09065
2020-05-01,4.53257
2020-05-02,4.03682
2020-05-03,4.46175
2020-05-04,9.34844
2020-05-05,5.80736
2020-05-06,9.63172
2020-05-07,8.21529
2020-05-08,8.35694
2020-05-09,4.17847
2020-05-10,5.31161
2020-05-11,8.64022
2020-05-12,7.71954
2020-05-13,8.99433
2020-05-14,8.42776
2020-05-15,9.91501
2020-05-16,3.04532
2020-05-17,4.60339
2020-05-18,8.92351
2020-05-19,10.5524
2020-05-20,14.94334
2020-05-21,14.51841
2020-05-22,9.34844
2020-05-23,4.67422
2020-05-24,5.09915
2020-05-25,10.48158
2020-05-26,9.34844
2020-05-27,18.98016
2020-05-28,15.36827
2020-05-29,10.69405
2020-05-30,5.24079
2020-05-31,5.09915
2020-06-01,12.96033
2020-06-02,12.03966
2020-06-03,11.1898
2020-06-04,8.64022
2020-06-05,9.77337
2020-06-06,4.67422
2020-06-07,4.46175
2020-06-08,8.14447
2020-06-09,7.93201
2020-06-10,7.71954
2020-06-11,8.21529
2020-06-12,7.29461
2020-06-13,3.54107
2020-06-14,4.67422
2020-06-15,8.28611
2020-06-16,7.79036
2020-06-17,7.50708
2020-06-18,5.73654
2020-06-19,5.31161
2020-06-20,2.76203
2020-06-21,3.18696
2020-06-22,4.60339
2020-06-23,7.22379
2020-06-24,6.72804
2020-06-25,7.22379
2020-06-26,6.51558
2020-06-27,1.77053
2020-06-28,3.47025
2020-06-29,11.04815
2020-06-30,9.84419
2020-07-01,6.30311
2020-07-02,6.44475
2020-07-03,9.20679
2020-07-04,3.68271
2020-07-05,3.04532
2020-07-06,6.16147
2020-07-07,7.22379
2020-07-08,6.30311
2020-07-09,5.45325
2020-07-10,4.53257
2020-07-11,3.18696
2020-07-12,4.24929
2020-07-13,4.24929
2020-07-14,6.5864
2020-07-15,4.81586
2020-07-16,5.02832
2020-07-17,5.52407
2020-07-18,1.983
2020-07-19,2.47875
2020-07-20,5.949
2020-07-21,7.01133
2020-07-22,7.01133
2020-07-23,4.88668
2020-07-24,5.5949
2020-07-25,3.75354
2020-07-26,3.32861
2020-07-27,6.5864
2020-07-28,6.65722
2020-07-29,8.00283
2020-07-30,7.36543
2020-07-31,6.30311
2020-08-01,2.62039
2020-08-02,3.61189
2020-08-03,5.5949
2020-08-04,5.73654
2020-08-05,6.23229
2020-08-06,6.44475
2020-08-07,6.30311
2020-08-08,2.62039
2020-08-09,3.75354
2020-08-10,8.49858
2020-08-11,6.30311
2020-08-12,6.65722
2020-08-13,5.02832
2020-08-14,3.82436
2020-08-15,2.19546
2020-08-16,1.41643
2020-08-17,2.69121
2020-08-18,4.67422
2020-08-19,5.02832
2020-08-20,4.46175
2020-08-21,5.31161
2020-08-22,3.32861
2020-08-23,3.75354
2020-08-24,6.5864
2020-08-25,6.5864
2020-08-26,7.08215
2020-08-27,5.16997
2020-08-28,5.24079
2020-08-29,3.82436
2020-08-30,3.75354
2020-08-31,6.30311
2020-09-01,5.73654
2020-09-02,5.24079
2020-09-03,6.86968
2020-09-04,7.15297
2020-09-05,3.25779
2020-09-06,2.9745
2020-09-07,6.37393
2020-09-08,6.09065
2020-09-09,3.68271
2020-09-10,5.66572
2020-09-11,4.81586
2020-09-12,3.32861
2020-09-13,2.05382
2020-09-14,6.30311
2020-09-15,6.30311
2020-09-16,5.52407
2020-09-17,5.66572
2020-09-18,4.03682
2020-09-19,2.69121
2020-09-20,2.33711
2020-09-21,3.75354
2020-09-22,5.949
2020-09-23,4.46175
2020-09-24,3.75354
2020-09-25,3.32861
2020-09-26,1.983
2020-09-27,2.26628
2020-09-28,5.31161
2020-09-29,3.39943
2020-09-30,1.983
2020-10-01,1.91218
2020-10-02,2.26628
2020-10-03,2.12464
2020-10-04,2.69121
2020-10-05,4.46175
2020-10-06,3.61189
2020-10-07,4.39093
2020-10-08,4.39093
2020-10-09,2.12464
2020-10-10,2.40793
2020-10-11,2.47875
2020-10-12,3.966
2020-10-13,6.09065
2020-10-14,6.01983
2020-10-15,4.74504
2020-10-16,4.81586
2020-10-17,2.83286
2020-10-18,2.05382
2020-10-19,4.60339
2020-10-20,6.44475
2020-10-21,5.02832
2020-10-22,5.24079
2020-10-23,3.61189
2020-10-24,1.13314
2020-10-25,2.19546
2020-10-26,2.9745
2020-10-27,4.10764
2020-10-28,2.76203
2020-10-29,3.68271
