date,퇴사통보기간
2020-03-20,50.44345
2020-03-21,29.49002
2020-03-22,31.37472
2020-03-23,69.29046
2020-03-24,61.52993
2020-03-25,51.99556
2020-03-26,56.65188
2020-03-27,54.21286
2020-03-28,27.27272
2020-03-29,31.59645
2020-03-30,70.50997
2020-03-31,67.62749
2020-04-01,59.64523
2020-04-02,51.99556
2020-04-03,48.55875
2020-04-04,24.16851
2020-04-05,26.7184
2020-04-06,65.96452
2020-04-07,57.31707
2020-04-08,60.42128
2020-04-09,58.53658
2020-04-10,47.67184
2020-04-11,25.38802
2020-04-12,27.27272
2020-04-13,67.96008
2020-04-14,50.88691
2020-04-15,31.48558
2020-04-16,59.64523
2020-04-17,46.45232
2020-04-18,22.50554
2020-04-19,27.38359
2020-04-20,66.40798
2020-04-21,54.21286
2020-04-22,56.98447
2020-04-23,60.64301
2020-04-24,59.75609
2020-04-25,24.8337
2020-04-26,27.16186
2020-04-27,67.18403
2020-04-28,54.21286
2020-04-29,50.11086
2020-04-30,27.93791
2020-05-01,29.15742
2020-05-02,25.16629
2020-05-03,28.2705
2020-05-04,43.90243
2020-05-05,32.59423
2020-05-06,65.0776
2020-05-07,56.43015
2020-05-08,56.09756
2020-05-09,31.48558
2020-05-10,30.37694
2020-05-11,80.04434
2020-05-12,62.08425
2020-05-13,61.3082
2020-05-14,59.97782
2020-05-15,50.88691
2020-05-16,26.16407
2020-05-17,35.47671
2020-05-18,72.72727
2020-05-19,64.85587
2020-05-20,59.75609
2020-05-21,65.63192
2020-05-22,57.5388
2020-05-23,28.04878
2020-05-24,36.58536
2020-05-25,85.47671
2020-05-26,68.07095
2020-05-27,64.85587
2020-05-28,66.40798
2020-05-29,57.2062
2020-05-30,25.94235
2020-05-31,32.59423
2020-06-01,70.7317
2020-06-02,73.94678
2020-06-03,72.50554
2020-06-04,61.41906
2020-06-05,53.7694
2020-06-06,28.49223
2020-06-07,28.49223
2020-06-08,78.2705
2020-06-09,73.83592
2020-06-10,67.51662
2020-06-11,65.96452
2020-06-12,58.86917
2020-06-13,25.16629
2020-06-14,27.38359
2020-06-15,74.39024
2020-06-16,73.83592
2020-06-17,66.18625
2020-06-18,58.98004
2020-06-19,58.31485
2020-06-20,27.16186
2020-06-21,26.16407
2020-06-22,71.72949
2020-06-23,68.847
2020-06-24,66.85144
2020-06-25,63.41463
2020-06-26,56.54101
2020-06-27,28.6031
2020-06-28,29.60088
2020-06-29,71.0643
2020-06-30,70.39911
2020-07-01,70.50997
2020-07-02,62.74944
2020-07-03,52.10643
2020-07-04,27.16186
2020-07-05,27.71618
2020-07-06,66.62971
2020-07-07,63.30376
2020-07-08,65.29933
2020-07-09,64.52328
2020-07-10,50.88691
2020-07-11,22.949
2020-07-12,29.60088
2020-07-13,67.40576
2020-07-14,64.41241
2020-07-15,60.75388
2020-07-16,53.65853
2020-07-17,51.99556
2020-07-18,24.16851
2020-07-19,27.49445
2020-07-20,74.05764
2020-07-21,64.07982
2020-07-22,72.6164
2020-07-23,61.52993
2020-07-24,48.55875
2020-07-25,27.16186
2020-07-26,31.81818
2020-07-27,72.17294
2020-07-28,70.17738
2020-07-29,68.18181
2020-07-30,57.42793
2020-07-31,58.98004
2020-08-01,29.82261
2020-08-02,30.04434
2020-08-03,59.86696
2020-08-04,61.97339
2020-08-05,58.53658
2020-08-06,60.31042
2020-08-07,50.88691
2020-08-08,26.60753
2020-08-09,31.37472
2020-08-10,74.8337
2020-08-11,73.83592
2020-08-12,71.95121
2020-08-13,67.96008
2020-08-14,57.87139
2020-08-15,27.82705
2020-08-16,26.60753
2020-08-17,45.45454
2020-08-18,71.28603
2020-08-19,67.84922
2020-08-20,65.41019
2020-08-21,56.31929
2020-08-22,28.6031
2020-08-23,28.04878
2020-08-24,64.07982
2020-08-25,64.74501
2020-08-26,62.52771
2020-08-27,66.9623
2020-08-28,56.43015
2020-08-29,27.38359
2020-08-30,27.93791
2020-08-31,63.52549
2020-09-01,59.20177
2020-09-02,59.86696
2020-09-03,53.21507
2020-09-04,47.22838
2020-09-05,24.94456
2020-09-06,23.83592
2020-09-07,59.20177
2020-09-08,58.53658
2020-09-09,56.98447
2020-09-10,63.1929
2020-09-11,55.43237
2020-09-12,25.94235
2020-09-13,26.16407
2020-09-14,60.64301
2020-09-15,58.42572
2020-09-16,61.86252
2020-09-17,57.2062
2020-09-18,50.33259
2020-09-19,24.8337
2020-09-20,23.50332
2020-09-21,57.2062
2020-09-22,60.08869
2020-09-23,56.98447
2020-09-24,55.76496
2020-09-25,45.56541
2020-09-26,24.05764
2020-09-27,24.05764
2020-09-28,48.33702
2020-09-29,37.36141
2020-09-30,21.28603
2020-10-01,11.52993
2020-10-02,14.74501
2020-10-03,15.85365
2020-10-04,29.04656
2020-10-05,59.53436
2020-10-06,61.75166
2020-10-07,62.63858
2020-10-08,52.32815
2020-10-09,29.71175
2020-10-10,23.72505
2020-10-11,33.25942
2020-10-12,80.4878
2020-10-13,72.39467
2020-10-14,63.96895
2020-10-15,68.51441
2020-10-16,58.31485
2020-10-17,25.94235
2020-10-18,28.2705
2020-10-19,71.28603
2020-10-20,71.0643
2020-10-21,70.62084
2020-10-22,69.73392
2020-10-23,58.75831
2020-10-24,23.28159
2020-10-25,30.37694
2020-10-26,72.72727
2020-10-27,63.1929
2020-10-28,58.98004
2020-10-29,61.52993
2020-10-30,46.89578
2020-10-31,24.5011
