date,대습상속
2020-03-20,20.74626
2020-03-21,10.0
2020-03-22,14.92537
2020-03-23,24.1791
2020-03-24,21.19402
2020-03-25,22.38805
2020-03-26,19.85074
2020-03-27,21.94029
2020-03-28,12.68656
2020-03-29,13.28358
2020-03-30,22.53731
2020-03-31,19.25373
2020-04-01,20.59701
2020-04-02,19.70149
2020-04-03,20.2985
2020-04-04,10.74626
2020-04-05,11.79104
2020-04-06,25.97014
2020-04-07,27.61194
2020-04-08,22.68656
2020-04-09,22.68656
2020-04-10,19.85074
2020-04-11,13.13432
2020-04-12,15.37313
2020-04-13,23.43283
2020-04-14,21.94029
2020-04-15,12.83582
2020-04-16,19.85074
2020-04-17,21.34328
2020-04-18,11.34328
2020-04-19,18.65671
2020-04-20,20.2985
2020-04-21,26.71641
2020-04-22,20.74626
2020-04-23,26.71641
2020-04-24,19.70149
2020-04-25,13.13432
2020-04-26,17.31343
2020-04-27,25.52238
2020-04-28,22.08955
2020-04-29,23.73134
2020-04-30,11.49253
2020-05-01,16.86567
2020-05-02,13.13432
2020-05-03,17.01492
2020-05-04,22.38805
2020-05-05,15.52238
2020-05-06,24.92537
2020-05-07,27.31343
2020-05-08,20.14925
2020-05-09,14.32835
2020-05-10,16.86567
2020-05-11,42.38805
2020-05-12,21.94029
2020-05-13,24.62686
2020-05-14,20.74626
2020-05-15,26.56716
2020-05-16,10.2985
2020-05-17,13.58208
2020-05-18,24.77611
2020-05-19,30.44776
2020-05-20,24.92537
2020-05-21,26.71641
2020-05-22,27.91044
2020-05-23,14.62686
2020-05-24,20.59701
2020-05-25,26.26865
2020-05-26,30.59701
2020-05-27,22.83582
2020-05-28,21.04477
2020-05-29,24.92537
2020-05-30,13.28358
2020-05-31,11.34328
2020-06-01,23.28358
2020-06-02,26.86567
2020-06-03,26.1194
2020-06-04,29.70149
2020-06-05,21.79104
2020-06-06,12.53731
2020-06-07,12.2388
2020-06-08,27.46268
2020-06-09,28.80597
2020-06-10,26.26865
2020-06-11,31.19402
2020-06-12,22.53731
2020-06-13,16.56716
2020-06-14,16.26865
2020-06-15,26.1194
2020-06-16,36.26865
2020-06-17,27.31343
2020-06-18,27.31343
2020-06-19,24.62686
2020-06-20,15.97014
2020-06-21,16.71641
2020-06-22,31.64179
2020-06-23,32.2388
2020-06-24,33.13432
2020-06-25,29.40298
2020-06-26,24.02985
2020-06-27,13.13432
2020-06-28,14.32835
2020-06-29,26.71641
2020-06-30,26.26865
2020-07-01,25.67164
2020-07-02,22.38805
2020-07-03,23.28358
2020-07-04,13.88059
2020-07-05,14.47761
2020-07-06,25.52238
2020-07-07,26.26865
2020-07-08,27.46268
2020-07-09,22.2388
2020-07-10,20.14925
2020-07-11,14.77611
2020-07-12,13.73134
2020-07-13,23.58208
2020-07-14,21.34328
2020-07-15,22.83582
2020-07-16,22.2388
2020-07-17,20.0
2020-07-18,10.89552
2020-07-19,11.19402
2020-07-20,22.38805
2020-07-21,22.2388
2020-07-22,28.3582
2020-07-23,17.16417
2020-07-24,21.19402
2020-07-25,10.59701
2020-07-26,11.64179
2020-07-27,19.40298
2020-07-28,22.68656
2020-07-29,23.73134
2020-07-30,28.95522
2020-07-31,24.32835
2020-08-01,15.07462
2020-08-02,12.83582
2020-08-03,24.32835
2020-08-04,25.07462
2020-08-05,24.02985
2020-08-06,22.08955
2020-08-07,22.38805
2020-08-08,10.0
2020-08-09,8.20895
2020-08-10,23.13432
2020-08-11,20.89552
2020-08-12,19.85074
2020-08-13,21.79104
2020-08-14,22.2388
2020-08-15,14.62686
2020-08-16,12.08955
2020-08-17,12.98507
2020-08-18,18.65671
2020-08-19,18.50746
2020-08-20,21.94029
2020-08-21,18.50746
2020-08-22,10.2985
2020-08-23,9.25373
2020-08-24,22.83582
2020-08-25,28.65671
2020-08-26,16.56716
2020-08-27,25.07462
2020-08-28,23.28358
2020-08-29,13.58208
2020-08-30,9.25373
2020-08-31,18.0597
2020-09-01,20.74626
2020-09-02,17.01492
2020-09-03,19.40298
2020-09-04,27.46268
2020-09-05,16.26865
2020-09-06,13.58208
2020-09-07,30.44776
2020-09-08,26.71641
2020-09-09,25.97014
2020-09-10,29.70149
2020-09-11,22.68656
2020-09-12,16.26865
2020-09-13,14.47761
2020-09-14,31.34328
2020-09-15,29.25373
2020-09-16,28.80597
2020-09-17,29.55223
2020-09-18,21.34328
2020-09-19,11.94029
2020-09-20,12.08955
2020-09-21,24.47761
2020-09-22,25.07462
2020-09-23,24.62686
2020-09-24,20.59701
2020-09-25,22.38805
2020-09-26,13.13432
2020-09-27,16.71641
2020-09-28,22.08955
2020-09-29,17.31343
2020-09-30,11.79104
2020-10-01,14.62686
2020-10-02,17.01492
2020-10-03,18.65671
2020-10-04,21.19402
2020-10-05,38.80597
2020-10-06,35.07462
2020-10-07,27.16417
2020-10-08,23.28358
2020-10-09,20.0
2020-10-10,15.67164
2020-10-11,25.07462
2020-10-12,35.07462
2020-10-13,33.58208
2020-10-14,34.77611
2020-10-15,37.01492
2020-10-16,28.50746
2020-10-17,17.61194
2020-10-18,18.95522
2020-10-19,33.58208
2020-10-20,33.43283
2020-10-21,35.67164
2020-10-22,32.68656
2020-10-23,27.16417
2020-10-24,11.19402
2020-10-25,19.85074
