date,부동산실거래가조회
2020-03-20,62.5293
2020-03-21,51.44568
2020-03-22,49.19249
2020-03-23,66.12399
2020-03-24,63.40192
2020-03-25,60.84917
2020-03-26,59.87236
2020-03-27,53.29512
2020-03-28,46.49648
2020-03-29,47.3691
2020-03-30,62.26882
2020-03-31,61.47434
2020-04-01,66.03282
2020-04-02,63.05027
2020-04-03,54.64964
2020-04-04,45.48059
2020-04-05,43.57905
2020-04-06,60.44542
2020-04-07,60.71893
2020-04-08,58.06199
2020-04-09,57.74941
2020-04-10,51.19822
2020-04-11,43.73534
2020-04-12,48.72362
2020-04-13,62.84188
2020-04-14,58.41364
2020-04-15,41.71659
2020-04-16,57.22844
2020-04-17,55.379
2020-04-18,49.0883
2020-04-19,52.40948
2020-04-20,65.8114
2020-04-21,65.4337
2020-04-22,62.34696
2020-04-23,59.0909
2020-04-24,51.01588
2020-04-25,45.702
2020-04-26,44.69914
2020-04-27,62.78978
2020-04-28,64.78249
2020-04-29,61.40922
2020-04-30,49.49205
2020-05-01,53.30815
2020-05-02,46.86116
2020-05-03,48.76269
2020-05-04,63.75358
2020-05-05,55.11852
2020-05-06,64.92576
2020-05-07,60.22401
2020-05-08,52.69601
2020-05-09,46.17087
2020-05-10,43.35764
2020-05-11,63.2847
2020-05-12,60.10679
2020-05-13,57.35868
2020-05-14,56.30372
2020-05-15,56.2907
2020-05-16,47.33003
2020-05-17,46.97837
2020-05-18,68.7679
2020-05-19,68.12972
2020-05-20,63.23261
2020-05-21,62.00833
2020-05-22,58.64808
2020-05-23,50.31258
2020-05-24,49.67439
2020-05-25,67.1529
2020-05-26,67.5306
2020-05-27,66.82729
2020-05-28,63.2847
2020-05-29,54.91013
2020-05-30,45.42849
2020-05-31,42.43292
2020-06-01,69.69262
2020-06-02,66.95754
2020-06-03,65.49882
2020-06-04,65.51185
2020-06-05,62.98515
2020-06-06,50.67725
2020-06-07,50.40375
2020-06-08,76.69966
2020-06-09,70.69549
2020-06-10,68.54649
2020-06-11,74.40739
2020-06-12,72.81844
2020-06-13,57.25449
2020-06-14,57.37171
2020-06-15,82.13076
2020-06-16,77.44204
2020-06-17,85.75149
2020-06-18,84.90492
2020-06-19,77.93696
2020-06-20,59.18207
2020-06-21,57.81453
2020-06-22,83.4462
2020-06-23,81.19301
2020-06-24,76.53034
2020-06-25,71.98489
2020-06-26,70.69549
2020-06-27,55.49622
2020-06-28,62.1516
2020-06-29,87.45767
2020-06-30,79.31753
2020-07-01,83.26387
2020-07-02,87.99166
2020-07-03,81.54467
2020-07-04,61.38317
2020-07-05,60.01562
2020-07-06,92.52409
2020-07-07,88.99452
2020-07-08,89.28106
2020-07-09,91.31284
2020-07-10,81.94842
2020-07-11,60.66684
2020-07-12,57.07215
2020-07-13,83.39411
2020-07-14,78.34071
2020-07-15,80.29434
2020-07-16,77.94998
2020-07-17,79.7343
2020-07-18,66.89241
2020-07-19,63.80567
2020-07-20,89.95832
2020-07-21,83.66762
2020-07-22,83.31596
2020-07-23,83.0685
2020-07-24,74.12086
2020-07-25,59.72909
2020-07-26,55.47017
2020-07-27,85.82964
2020-07-28,82.37822
2020-07-29,86.14222
2020-07-30,80.15108
2020-07-31,69.06746
2020-08-01,59.42953
2020-08-02,49.38786
2020-08-03,81.0237
2020-08-04,74.22505
2020-08-05,70.34383
2020-08-06,69.58843
2020-08-07,67.79109
2020-08-08,52.8002
2020-08-09,48.39802
2020-08-10,75.90518
2020-08-11,78.21047
2020-08-12,79.20031
2020-08-13,74.95441
2020-08-14,67.1008
2020-08-15,48.21568
2020-08-16,50.29955
2020-08-17,63.16749
2020-08-18,72.46678
2020-08-19,72.92263
2020-08-20,72.44073
2020-08-21,74.3032
2020-08-22,60.9143
2020-08-23,56.53816
2020-08-24,76.84292
2020-08-25,73.86038
2020-08-26,72.36259
2020-08-27,67.51758
2020-08-28,63.68846
2020-08-29,56.05626
2020-08-30,50.16931
2020-08-31,73.57384
2020-09-01,71.42485
2020-09-02,68.59859
2020-09-03,67.80411
2020-09-04,62.06043
2020-09-05,53.46444
2020-09-06,63.10237
2020-09-07,79.36962
2020-09-08,72.67517
2020-09-09,67.5827
2020-09-10,67.33524
2020-09-11,64.10523
2020-09-12,54.72779
2020-09-13,50.8075
2020-09-14,71.55509
2020-09-15,71.55509
2020-09-16,71.88069
2020-09-17,67.27012
2020-09-18,62.64652
2020-09-19,52.01875
2020-09-20,46.96535
2020-09-21,64.99088
2020-09-22,62.60744
2020-09-23,60.57567
2020-09-24,56.27767
2020-09-25,51.49778
2020-09-26,42.51107
2020-09-27,44.82938
2020-09-28,60.31518
2020-09-29,51.10705
2020-09-30,37.28835
2020-10-01,35.33472
2020-10-02,43.91768
2020-10-03,43.72232
2020-10-04,46.39228
2020-10-05,70.40896
2020-10-06,68.07762
2020-10-07,63.06329
2020-10-08,63.45402
2020-10-09,53.39932
2020-10-10,53.32117
2020-10-11,49.64834
2020-10-12,80.07293
2020-10-13,75.26699
2020-10-14,74.733
2020-10-15,74.98046
2020-10-16,65.57697
2020-10-17,51.39359
2020-10-18,49.70044
2020-10-19,74.06876
2020-10-20,72.42771
2020-10-21,71.81557
2020-10-22,70.99505
2020-10-23,66.17608
2020-10-24,53.73795
2020-10-25,49.30971
2020-10-26,78.39281
2020-10-27,81.25814
2020-10-28,79.18728
2020-10-29,72.93566
2020-10-30,67.02266
2020-10-31,56.08231
2020-11-01,52.50065
2020-11-02,72.77936
2020-11-03,71.84162
2020-11-04,60.25006
2020-11-05,71.65928
2020-11-06,64.41781
2020-11-07,55.71763
2020-11-08,52.89137
2020-11-09,70.1615
2020-11-10,70.55222
2020-11-11,76.81687
2020-11-12,80.26829
2020-11-13,77.2076
2020-11-14,61.40922
2020-11-15,63.32378
2020-11-16,80.02083
2020-11-17,86.55899
2020-11-18,90.6486
2020-11-19,93.27949
2020-11-20,76.81687
2020-11-21,63.441
2020-11-22,61.37014
2020-11-23,83.1206
2020-11-24,82.01354
2020-11-25,76.54337
2020-11-26,71.19041
2020-11-27,69.75774
2020-11-28,62.35998
2020-11-29,57.72336
2020-11-30,77.03829
2020-12-01,74.23808
2020-12-02,73.74316
