date,한국조선해양주가
2020-11-07,1.40418
2020-11-08,0.99728
2020-11-09,30.78027
2020-11-10,33.34928
2020-11-11,29.06893
2020-11-12,24.23408
2020-11-13,24.38966
2020-11-14,2.88814
2020-11-15,3.12749
2020-11-16,39.72395
2020-11-17,41.16403
2020-11-18,32.18844
2020-11-19,31.48236
2020-11-20,28.24317
2020-11-21,3.59821
2020-11-22,2.97191
2020-11-23,41.21988
2020-11-24,36.97542
2020-11-25,42.88335
2020-11-26,35.06063
2020-11-27,30.3295
2020-11-28,3.47056
2020-11-29,3.75378
2020-11-30,29.72714
2020-12-01,28.64608
2020-12-02,26.9108
2020-12-03,27.86022
2020-12-04,30.81219
2020-12-05,3.57028
2020-12-06,2.85623
2020-12-07,25.67416
2020-12-08,25.17951
2020-12-09,28.98117
2020-12-10,27.04643
2020-12-11,39.19339
2020-12-12,4.68326
2020-12-13,3.71788
2020-12-14,37.82511
2020-12-15,31.10738
2020-12-16,40.16674
2020-12-17,34.56598
2020-12-18,29.54763
2020-12-19,3.44263
2020-12-20,2.71661
2020-12-21,31.62597
2020-12-22,44.3354
2020-12-23,36.78793
2020-12-24,36.32519
2020-12-25,4.51172
2020-12-26,3.18334
2020-12-27,3.41471
2020-12-28,31.63395
2020-12-29,29.77102
2020-12-30,31.18318
2020-12-31,7.4238
2021-01-01,3.38279
2021-01-02,2.94798
2021-01-03,2.72857
2021-01-04,35.41168
2021-01-05,54.1886
2021-01-06,59.38646
2021-01-07,50.27126
2021-01-08,45.92308
2021-01-09,6.17121
2021-01-10,5.86803
2021-01-11,49.03462
2021-01-12,45.91511
2021-01-13,43.20647
2021-01-14,47.85782
2021-01-15,37.7573
2021-01-16,3.95324
2021-01-17,3.52241
2021-01-18,38.84633
2021-01-19,38.76256
2021-01-20,39.95133
2021-01-21,39.75985
2021-01-22,36.44088
2021-01-23,5.86404
2021-01-24,3.87346
2021-01-25,43.52959
2021-01-26,36.69618
2021-01-27,38.67081
2021-01-28,37.63762
2021-01-29,37.41024
2021-01-30,4.1527
2021-01-31,3.26312
2021-02-01,43.54555
2021-02-02,38.02058
2021-02-03,34.03143
2021-02-04,31.59007
2021-02-05,31.08345
2021-02-06,3.86947
2021-02-07,4.11281
2021-02-08,39.62821
2021-02-09,35.16435
2021-02-10,29.10882
2021-02-11,3.4905
2021-02-12,3.70193
2021-02-13,3.29902
2021-02-14,3.33492
2021-02-15,40.84091
2021-02-16,37.82511
2021-02-17,30.6606
2021-02-18,33.10595
2021-02-19,29.8867
2021-02-20,3.92931
2021-02-21,3.50247
2021-02-22,37.23472
2021-02-23,54.74708
2021-02-24,47.72618
2021-02-25,45.97893
2021-02-26,36.70815
