date,채권투자
2020-11-07,9.52045
2020-11-08,14.45698
2020-11-09,19.39351
2020-11-10,18.89985
2020-11-11,18.33568
2020-11-12,22.70803
2020-11-13,21.93229
2020-11-14,27.15091
2020-11-15,41.60789
2020-11-16,43.2299
2020-11-17,43.44146
2020-11-18,35.96614
2020-11-19,30.95909
2020-11-20,30.95909
2020-11-21,20.38081
2020-11-22,25.59943
2020-11-23,31.66431
2020-11-24,33.21579
2020-11-25,29.40761
2020-11-26,28.98448
2020-11-27,36.38928
2020-11-28,31.10014
2020-11-29,31.02961
2020-11-30,30.677
2020-12-01,31.59379
2020-12-02,26.93935
2020-12-03,31.17066
2020-12-04,27.71509
2020-12-05,36.74188
2020-12-06,43.01833
2020-12-07,42.38363
2020-12-08,42.10155
2020-12-09,39.49224
2020-12-10,34.06205
2020-12-11,33.42736
2020-12-12,25.45839
2020-12-13,26.93935
2020-12-14,35.61354
2020-12-15,30.81805
2020-12-16,29.90126
2020-12-17,29.40761
2020-12-18,32.44005
2020-12-19,22.00282
2020-12-20,27.71509
2020-12-21,31.87588
2020-12-22,34.97884
2020-12-23,36.60084
2020-12-24,31.66431
2020-12-25,35.61354
2020-12-26,34.62623
2020-12-27,35.8251
2020-12-28,37.51763
2020-12-29,41.67842
2020-12-30,45.4866
2020-12-31,42.66572
2021-01-01,41.67842
2021-01-02,43.44146
2021-01-03,73.97743
2021-01-04,58.60366
2021-01-05,57.26375
2021-01-06,65.79689
2021-01-07,66.50211
2021-01-08,64.45698
2021-01-09,57.19322
2021-01-10,67.98307
2021-01-11,95.4866
2021-01-12,100.0
2021-01-13,85.1904
2021-01-14,68.4062
2021-01-15,61.35401
2021-01-16,52.53878
2021-01-17,51.48095
2021-01-18,53.38504
2021-01-19,53.31452
2021-01-20,52.89139
2021-01-21,57.05218
2021-01-22,51.33991
2021-01-23,47.03808
2021-01-24,48.02538
2021-01-25,57.96897
2021-01-26,59.94358
2021-01-27,47.88434
2021-01-28,52.46826
2021-01-29,46.61495
2021-01-30,42.66572
2021-01-31,43.58251
2021-02-01,47.17912
2021-02-02,48.7306
2021-02-03,49.3653
2021-02-04,46.75599
2021-02-05,42.03102
2021-02-06,38.36389
2021-02-07,43.01833
2021-02-08,47.67277
2021-02-09,49.15373
2021-02-10,45.90973
2021-02-11,36.81241
2021-02-12,35.61354
2021-02-13,43.2299
2021-02-14,42.17207
2021-02-15,56.98166
2021-02-16,69.25246
2021-02-17,66.50211
2021-02-18,59.52045
2021-02-19,49.43582
2021-02-20,40.3385
2021-02-21,40.83215
2021-02-22,55.28913
2021-02-23,66.36107
2021-02-24,62.97602
2021-02-25,63.68124
2021-02-26,90.62059
2021-02-27,49.22425
2021-02-28,85.11988
2021-03-01,73.48377
2021-03-02,57.1227
2021-03-03,54.866
