date,일자리사이트
2020-03-20,49.31129
2020-03-21,32.78236
2020-03-22,39.9449
2020-03-23,64.18732
2020-03-24,62.25895
2020-03-25,65.84022
2020-03-26,63.63636
2020-03-27,55.09641
2020-03-28,30.57851
2020-03-29,42.69972
2020-03-30,69.97245
2020-03-31,67.49311
2020-04-01,62.80991
2020-04-02,68.59504
2020-04-03,63.36088
2020-04-04,30.02754
2020-04-05,43.80165
2020-04-06,62.53443
2020-04-07,71.07438
2020-04-08,65.84022
2020-04-09,66.66666
2020-04-10,57.85123
2020-04-11,34.43526
2020-04-12,34.98622
2020-04-13,71.90082
2020-04-14,71.34986
2020-04-15,41.32231
2020-04-16,66.1157
2020-04-17,62.53443
2020-04-18,41.87327
2020-04-19,48.48484
2020-04-20,90.6336
2020-04-21,78.51239
2020-04-22,71.62534
2020-04-23,67.49311
2020-04-24,58.95316
2020-04-25,36.9146
2020-04-26,47.93388
2020-04-27,71.90082
2020-04-28,65.56473
2020-04-29,61.70798
2020-04-30,46.28099
2020-05-01,43.52617
2020-05-02,31.95592
2020-05-03,45.45454
2020-05-04,63.63636
2020-05-05,51.23966
2020-05-06,73.55371
2020-05-07,54.26997
2020-05-08,46.83195
2020-05-09,39.9449
2020-05-10,39.11845
2020-05-11,71.07438
2020-05-12,62.80991
2020-05-13,65.84022
2020-05-14,60.60606
2020-05-15,56.47382
2020-05-16,36.36363
2020-05-17,39.11845
2020-05-18,69.42148
2020-05-19,69.146
2020-05-20,62.80991
2020-05-21,55.64738
2020-05-22,51.51515
2020-05-23,36.08815
2020-05-24,41.59779
2020-05-25,69.42148
2020-05-26,70.79889
2020-05-27,63.91184
2020-05-28,56.47382
2020-05-29,47.10743
2020-05-30,30.30303
2020-05-31,35.2617
2020-06-01,77.41046
2020-06-02,72.45179
2020-06-03,64.73829
2020-06-04,57.02479
2020-06-05,48.48484
2020-06-06,38.01652
2020-06-07,41.04683
2020-06-08,74.38016
2020-06-09,58.12672
2020-06-10,71.34986
2020-06-11,67.21763
2020-06-12,60.05509
2020-06-13,35.2617
2020-06-14,41.59779
2020-06-15,67.21763
2020-06-16,57.30027
2020-06-17,63.63636
2020-06-18,58.4022
2020-06-19,44.90358
2020-06-20,40.49586
2020-06-21,40.22038
2020-06-22,73.8292
2020-06-23,77.13498
2020-06-24,77.96143
2020-06-25,72.1763
2020-06-26,53.719
2020-06-27,39.66942
2020-06-28,49.58677
2020-06-29,82.09366
2020-06-30,77.13498
2020-07-01,70.79889
2020-07-02,57.57575
2020-07-03,51.51515
2020-07-04,34.15977
2020-07-05,36.63911
2020-07-06,76.30853
2020-07-07,68.31955
2020-07-08,53.719
2020-07-09,55.09641
2020-07-10,42.42424
2020-07-11,38.29201
2020-07-12,41.32231
2020-07-13,62.53443
2020-07-14,81.81818
2020-07-15,71.62534
2020-07-16,65.01377
2020-07-17,58.12672
2020-07-18,37.19008
2020-07-19,38.01652
2020-07-20,79.33884
2020-07-21,56.19834
2020-07-22,68.31955
2020-07-23,57.85123
2020-07-24,51.51515
2020-07-25,32.2314
2020-07-26,34.71074
2020-07-27,66.1157
2020-07-28,63.08539
2020-07-29,60.33057
2020-07-30,48.76033
2020-07-31,50.13774
2020-08-01,23.69146
2020-08-02,37.46556
2020-08-03,53.44352
2020-08-04,59.77961
2020-08-05,55.64738
2020-08-06,57.30027
2020-08-07,47.93388
2020-08-08,29.75206
2020-08-09,37.19008
2020-08-10,66.66666
2020-08-11,69.97245
2020-08-12,53.99449
2020-08-13,55.3719
2020-08-14,51.23966
2020-08-15,31.68044
2020-08-16,34.98622
2020-08-17,53.16804
2020-08-18,57.57575
2020-08-19,65.28925
2020-08-20,57.85123
2020-08-21,47.10743
2020-08-22,27.5482
2020-08-23,43.52617
2020-08-24,68.04407
2020-08-25,61.15702
2020-08-26,67.21763
2020-08-27,65.01377
2020-08-28,52.61707
2020-08-29,38.56749
2020-08-30,36.9146
2020-08-31,70.52341
2020-09-01,68.04407
2020-09-02,65.56473
2020-09-03,61.15702
2020-09-04,57.85123
2020-09-05,31.12947
2020-09-06,47.38292
2020-09-07,63.91184
2020-09-08,60.33057
2020-09-09,63.36088
2020-09-10,60.60606
2020-09-11,61.98347
2020-09-12,33.05785
2020-09-13,34.71074
2020-09-14,66.94214
2020-09-15,65.28925
2020-09-16,58.4022
2020-09-17,57.30027
2020-09-18,52.61707
2020-09-19,34.71074
2020-09-20,34.43526
2020-09-21,60.88154
2020-09-22,60.05509
2020-09-23,63.91184
2020-09-24,54.54545
2020-09-25,49.31129
2020-09-26,32.2314
2020-09-27,28.65013
2020-09-28,48.20936
2020-09-29,33.05785
2020-09-30,19.83471
2020-10-01,25.89531
2020-10-02,33.05785
2020-10-03,33.05785
2020-10-04,47.93388
2020-10-05,84.02203
2020-10-06,78.78787
2020-10-07,71.62534
2020-10-08,65.28925
2020-10-09,43.52617
2020-10-10,40.49586
2020-10-11,50.13774
2020-10-12,84.573
2020-10-13,66.66666
2020-10-14,65.28925
2020-10-15,64.18732
2020-10-16,57.57575
2020-10-17,42.14876
2020-10-18,45.17906
2020-10-19,79.61432
2020-10-20,74.93112
2020-10-21,78.23691
2020-10-22,51.51515
2020-10-23,61.98347
2020-10-24,36.9146
2020-10-25,49.86225
2020-10-26,66.94214
2020-10-27,61.4325
2020-10-28,76.03305
2020-10-29,70.79889
2020-10-30,57.02479
2020-10-31,34.15977
2020-11-01,50.13774
2020-11-02,86.50137
2020-11-03,76.03305
2020-11-04,74.93112
2020-11-05,62.25895
2020-11-06,56.19834
2020-11-07,39.39393
2020-11-08,42.9752
2020-11-09,68.04407
2020-11-10,73.27823
2020-11-11,72.72727
2020-11-12,62.80991
2020-11-13,57.57575
2020-11-14,33.60881
2020-11-15,38.01652
2020-11-16,68.04407
2020-11-17,78.78787
2020-11-18,68.87052
2020-11-19,72.45179
2020-11-20,48.76033
2020-11-21,38.56749
2020-11-22,50.13774
2020-11-23,67.21763
2020-11-24,67.49311
2020-11-25,64.73829
2020-11-26,75.48209
2020-11-27,60.88154
2020-11-28,38.56749
2020-11-29,42.42424
2020-11-30,76.8595
2020-12-01,74.38016
2020-12-02,68.04407
2020-12-03,61.4325
2020-12-04,54.54545
2020-12-05,34.71074
2020-12-06,48.20936
2020-12-07,74.38016
2020-12-08,80.44077
2020-12-09,79.06336
2020-12-10,86.22589
2020-12-11,63.91184
2020-12-12,44.35261
2020-12-13,49.03581
2020-12-14,81.26721
2020-12-15,71.62534
2020-12-16,63.36088
2020-12-17,78.78787
2020-12-18,60.33057
2020-12-19,39.39393
2020-12-20,43.25068
2020-12-21,76.03305
2020-12-22,74.65564
2020-12-23,65.28925
2020-12-24,56.19834
2020-12-25,40.22038
2020-12-26,42.9752
2020-12-27,52.34159
2020-12-28,90.35812
2020-12-29,80.16528
2020-12-30,70.24793
2020-12-31,54.26997
2021-01-01,42.69972
2021-01-02,57.02479
2021-01-03,58.67768
2021-01-04,99.72451
2021-01-05,99.72451
2021-01-06,87.87878
2021-01-07,76.03305
2021-01-08,61.70798
2021-01-09,41.32231
2021-01-10,50.41322
2021-01-11,94.76584
2021-01-12,87.05234
2021-01-13,80.71625
2021-01-14,82.64462
2021-01-15,77.68595
2021-01-16,48.76033
2021-01-17,52.61707
2021-01-18,80.16528
2021-01-19,83.19559
2021-01-20,77.13498
2021-01-21,76.58402
2021-01-22,68.59504
2021-01-23,61.70798
2021-01-24,48.48484
2021-01-25,88.98071
2021-01-26,82.64462
2021-01-27,73.8292
2021-01-28,73.00275
2021-01-29,66.94214
2021-01-30,46.83195
2021-01-31,49.58677
2021-02-01,80.44077
2021-02-02,70.79889
2021-02-03,69.42148
2021-02-04,66.94214
2021-02-05,61.70798
2021-02-06,41.87327
2021-02-07,51.23966
2021-02-08,67.49311
2021-02-09,52.89256
2021-02-10,37.46556
2021-02-11,25.89531
2021-02-12,26.99724
2021-02-13,35.53719
2021-02-14,51.23966
2021-02-15,84.84848
2021-02-16,93.38842
