date,환율계산기
2020-11-07,28.44843
2020-11-08,27.37146
2020-11-09,50.78742
2020-11-10,51.14283
2020-11-11,53.88657
2020-11-12,50.67252
2020-11-13,45.6569
2020-11-14,27.7713
2020-11-15,25.67099
2020-11-16,48.93988
2020-11-17,48.9169
2020-11-18,50.80734
2020-11-19,52.23512
2020-11-20,48.59979
2020-11-21,32.01942
2020-11-22,31.49855
2020-11-23,54.46565
2020-11-24,56.7406
2020-11-25,57.50352
2020-11-26,59.43378
2020-11-27,59.08756
2020-11-28,39.63018
2020-11-29,36.5295
2020-11-30,53.98155
2020-12-01,50.91764
2020-12-02,51.99001
2020-12-03,55.12592
2020-12-04,55.36797
2020-12-05,34.34493
2020-12-06,30.41087
2020-12-07,51.59017
2020-12-08,52.06201
2020-12-09,48.71162
2020-12-10,47.1046
2020-12-11,46.30951
2020-12-12,30.93479
2020-12-13,29.65714
2020-12-14,48.48949
2020-12-15,47.19345
2020-12-16,45.70898
2020-12-17,47.01881
2020-12-18,45.60941
2020-12-19,31.20289
2020-12-20,29.39058
2020-12-21,49.23402
2020-12-22,49.30908
2020-12-23,47.41252
2020-12-24,41.41031
2020-12-25,32.47594
2020-12-26,29.89306
2020-12-27,32.06997
2020-12-28,50.17923
2020-12-29,50.35235
2020-12-30,44.97365
2020-12-31,37.93737
2021-01-01,30.14124
2021-01-02,31.35302
2021-01-03,31.75746
2021-01-04,51.60549
2021-01-05,52.33929
2021-01-06,50.09191
2021-01-07,47.96556
2021-01-08,50.48256
2021-01-09,34.67736
2021-01-10,31.47864
2021-01-11,53.0685
2021-01-12,47.85372
2021-01-13,46.2467
2021-01-14,49.96782
2021-01-15,47.98241
2021-01-16,32.83136
2021-01-17,31.01292
2021-01-18,48.22293
2021-01-19,45.93571
2021-01-20,48.91997
2021-01-21,48.44659
2021-01-22,47.00962
2021-01-23,32.01636
2021-01-24,30.39555
2021-01-25,52.55836
2021-01-26,51.21943
2021-01-27,49.29989
2021-01-28,54.31092
2021-01-29,51.37416
2021-01-30,33.57895
2021-01-31,29.45646
2021-02-01,52.86475
2021-02-02,51.13364
2021-02-03,49.75488
2021-02-04,46.99583
2021-02-05,48.92916
2021-02-06,33.53759
2021-02-07,30.21171
2021-02-08,50.05515
2021-02-09,48.72847
2021-02-10,44.82658
2021-02-11,32.17108
2021-02-12,30.45376
2021-02-13,32.90949
2021-02-14,35.34836
2021-02-15,54.92064
2021-02-16,56.03897
2021-02-17,54.80268
2021-02-18,54.15619
2021-02-19,50.18077
2021-02-20,35.42496
2021-02-21,31.93823
2021-02-22,53.48673
2021-02-23,57.84668
2021-02-24,54.12555
2021-02-25,54.07806
2021-02-26,53.71805
2021-02-27,33.40737
2021-02-28,31.43574
2021-03-01,40.95992
2021-03-02,56.8892
