date,POLY
2020-03-20,60.64516
2020-03-21,45.16129
2020-03-22,44.8387
2020-03-23,63.54838
2020-03-24,76.12903
2020-03-25,81.29032
2020-03-26,70.96774
2020-03-27,72.25806
2020-03-28,47.74193
2020-03-29,32.58064
2020-03-30,69.67741
2020-03-31,69.35483
2020-04-01,77.74193
2020-04-02,71.29032
2020-04-03,53.2258
2020-04-04,34.19354
2020-04-05,42.90322
2020-04-06,65.48387
2020-04-07,67.41935
2020-04-08,70.96774
2020-04-09,67.74193
2020-04-10,58.38709
2020-04-11,38.38709
2020-04-12,43.54838
2020-04-13,67.74193
2020-04-14,66.12903
2020-04-15,46.12903
2020-04-16,67.74193
2020-04-17,60.64516
2020-04-18,38.38709
2020-04-19,37.74193
2020-04-20,86.45161
2020-04-21,66.77419
2020-04-22,70.96774
2020-04-23,64.8387
2020-04-24,58.38709
2020-04-25,41.6129
2020-04-26,40.96774
2020-04-27,64.19354
2020-04-28,71.6129
2020-04-29,55.80645
2020-04-30,48.06451
2020-05-01,45.80645
2020-05-02,34.19354
2020-05-03,32.90322
2020-05-04,52.58064
2020-05-05,42.90322
2020-05-06,65.80645
2020-05-07,69.35483
2020-05-08,63.87096
2020-05-09,41.29032
2020-05-10,43.87096
2020-05-11,64.8387
2020-05-12,71.29032
2020-05-13,71.29032
2020-05-14,70.96774
2020-05-15,63.54838
2020-05-16,35.48387
2020-05-17,34.19354
2020-05-18,74.8387
2020-05-19,69.67741
2020-05-20,59.67741
2020-05-21,71.93548
2020-05-22,63.54838
2020-05-23,36.12903
2020-05-24,35.80645
2020-05-25,76.12903
2020-05-26,68.38709
2020-05-27,65.80645
2020-05-28,59.35483
2020-05-29,60.32258
2020-05-30,38.06451
2020-05-31,41.29032
2020-06-01,62.25806
2020-06-02,67.41935
2020-06-03,59.35483
2020-06-04,58.06451
2020-06-05,63.87096
2020-06-06,44.8387
2020-06-07,42.25806
2020-06-08,62.58064
2020-06-09,65.48387
2020-06-10,66.12903
2020-06-11,58.38709
2020-06-12,63.87096
2020-06-13,48.06451
2020-06-14,57.41935
2020-06-15,56.45161
2020-06-16,72.90322
2020-06-17,66.12903
2020-06-18,59.35483
2020-06-19,61.6129
2020-06-20,43.2258
2020-06-21,41.93548
2020-06-22,64.8387
2020-06-23,77.09677
2020-06-24,66.12903
2020-06-25,56.45161
2020-06-26,54.51612
2020-06-27,50.32258
2020-06-28,33.54838
2020-06-29,52.25806
2020-06-30,57.09677
