date,소득공제용연금저축
2020-03-20,16.56441
2020-03-21,10.30029
2020-03-22,10.49402
2020-03-23,14.07814
2020-03-24,17.2102
2020-03-25,16.88731
2020-03-26,16.88731
2020-03-27,14.85308
2020-03-28,10.268
2020-03-29,10.97836
2020-03-30,17.75912
2020-03-31,16.08007
2020-04-01,15.85405
2020-04-02,12.88343
2020-04-03,12.78656
2020-04-04,8.97642
2020-04-05,10.78463
2020-04-06,12.94801
2020-04-07,11.23668
2020-04-08,13.30319
2020-04-09,10.8492
2020-04-10,10.72005
2020-04-11,8.00774
2020-04-12,8.29835
2020-04-13,11.72102
2020-04-14,9.97739
2020-04-15,8.52437
2020-04-16,10.33257
2020-04-17,11.20439
2020-04-18,7.58798
2020-04-19,8.45979
2020-04-20,12.30222
2020-04-21,11.23668
2020-04-22,13.04488
2020-04-23,11.10752
2020-04-24,10.88149
2020-04-25,7.39425
2020-04-26,7.42654
2020-04-27,11.72102
2020-04-28,11.91475
2020-04-29,14.43332
2020-04-30,7.62027
2020-05-01,6.45786
2020-05-02,6.68388
2020-05-03,8.7504
2020-05-04,11.81788
2020-05-05,8.68582
2020-05-06,11.20439
2020-05-07,11.33354
2020-05-08,10.17113
2020-05-09,9.58992
2020-05-10,8.42751
2020-05-11,12.33451
2020-05-12,13.2709
2020-05-13,12.52825
2020-05-14,12.72198
2020-05-15,9.97739
2020-05-16,7.65256
2020-05-17,7.65256
2020-05-18,12.78656
2020-05-19,13.98127
2020-05-20,11.43041
2020-05-21,12.75427
2020-05-22,10.78463
2020-05-23,6.13496
2020-05-24,8.33064
2020-05-25,12.04391
2020-05-26,13.98127
2020-05-27,12.04391
2020-05-28,11.55957
2020-05-29,8.87956
2020-05-30,6.6193
2020-05-31,6.39328
2020-06-01,10.52631
2020-06-02,11.72102
2020-06-03,11.39812
2020-06-04,10.39715
2020-06-05,8.65353
2020-06-06,5.87665
2020-06-07,6.16725
2020-06-08,11.26896
2020-06-09,9.75137
2020-06-10,10.39715
2020-06-11,8.42751
2020-06-12,8.00774
2020-06-13,4.03616
2020-06-14,6.45786
2020-06-15,9.81595
