date,마린애시앙
2020-03-20,4.09745
2020-03-21,4.87264
2020-03-22,5.86932
2020-03-23,5.53709
2020-03-24,4.42967
2020-03-25,5.42635
2020-03-26,6.20155
2020-03-27,4.09745
2020-03-28,5.31561
2020-03-29,4.98338
2020-03-30,5.31561
2020-03-31,3.433
2020-04-01,3.76522
2020-04-02,5.98006
2020-04-03,4.42967
2020-04-04,3.10077
2020-04-05,4.20819
2020-04-06,6.31229
2020-04-07,5.09413
2020-04-08,5.09413
2020-04-09,5.53709
2020-04-10,5.31561
2020-04-11,4.54042
2020-04-12,5.98006
2020-04-13,4.7619
2020-04-14,4.09745
2020-04-15,3.65448
2020-04-16,5.20487
2020-04-17,5.31561
2020-04-18,5.64784
2020-04-19,7.41971
2020-04-20,7.53045
2020-04-21,5.53709
2020-04-22,5.75858
2020-04-23,4.87264
2020-04-24,4.7619
2020-04-25,3.87596
2020-04-26,6.75526
2020-04-27,6.64451
2020-04-28,4.42967
2020-04-29,6.97674
2020-04-30,4.98338
2020-05-01,5.31561
2020-05-02,3.32225
2020-05-03,3.98671
2020-05-04,6.20155
2020-05-05,5.20487
2020-05-06,4.54042
2020-05-07,6.866
2020-05-08,4.87264
2020-05-09,4.31893
2020-05-10,7.53045
2020-05-11,7.19822
2020-05-12,6.866
2020-05-13,3.98671
2020-05-14,5.31561
2020-05-15,6.31229
2020-05-16,6.0908
2020-05-17,5.86932
2020-05-18,7.75193
2020-05-19,6.20155
2020-05-20,6.64451
2020-05-21,5.31561
2020-05-22,5.86932
2020-05-23,5.42635
2020-05-24,4.42967
2020-05-25,9.30232
2020-05-26,8.1949
2020-05-27,5.09413
2020-05-28,5.42635
2020-05-29,7.30897
2020-05-30,6.20155
2020-05-31,3.87596
2020-06-01,4.98338
2020-06-02,6.0908
2020-06-03,22.59136
2020-06-04,13.51052
2020-06-05,10.40974
2020-06-06,16.05758
2020-06-07,12.84606
2020-06-08,9.63455
2020-06-09,13.06755
2020-06-10,11.84939
2020-06-11,11.84939
2020-06-12,11.84939
2020-06-13,8.74861
2020-06-14,7.97342
2020-06-15,16.05758
2020-06-16,11.73864
2020-06-17,14.83942
2020-06-18,31.45071
2020-06-19,50.27685
2020-06-20,27.24252
2020-06-21,27.35326
2020-06-22,30.897
2020-06-23,31.6722
2020-06-24,53.26688
2020-06-25,34.10852
2020-06-26,30.45404
2020-06-27,25.02768
2020-06-28,29.45736
2020-06-29,38.42746
2020-06-30,31.6722
2020-07-01,32.44739
2020-07-02,26.35658
2020-07-03,28.68217
2020-07-04,23.25581
2020-07-05,22.14839
2020-07-06,41.86046
2020-07-07,34.99446
2020-07-08,26.46733
2020-07-09,25.35991
2020-07-10,26.02436
2020-07-11,22.36987
2020-07-12,31.22923
2020-07-13,32.44739
2020-07-14,26.24584
2020-07-15,25.24916
2020-07-16,25.13842
2020-07-17,21.3732
2020-07-18,22.36987
2020-07-19,25.35991
2020-07-20,27.90697
2020-07-21,24.91694
2020-07-22,26.79955
2020-07-23,30.897
2020-07-24,25.02768
2020-07-25,21.26245
2020-07-26,20.70874
2020-07-27,24.031
2020-07-28,22.59136
2020-07-29,23.14507
2020-07-30,19.93355
2020-07-31,20.26578
2020-08-01,18.4939
2020-08-02,22.25913
2020-08-03,23.69878
2020-08-04,23.14507
2020-08-05,20.93023
2020-08-06,19.82281
2020-08-07,20.598
2020-08-08,19.15836
2020-08-09,17.165
2020-08-10,23.69878
2020-08-11,21.92691
2020-08-12,17.05426
2020-08-13,25.13842
2020-08-14,21.3732
2020-08-15,14.06423
2020-08-16,16.72203
2020-08-17,18.4939
2020-08-18,28.12846
2020-08-19,24.47397
2020-08-20,25.24916
2020-08-21,23.69878
2020-08-22,20.70874
2020-08-23,17.71871
2020-08-24,25.24916
2020-08-25,26.1351
2020-08-26,25.02768
2020-08-27,29.23588
2020-08-28,25.69213
2020-08-29,18.60465
2020-08-30,19.93355
2020-08-31,26.57807
2020-09-01,27.68549
2020-09-02,27.464
2020-09-03,29.34662
2020-09-04,20.93023
2020-09-05,16.50055
2020-09-06,26.46733
2020-09-07,26.24584
2020-09-08,24.25249
2020-09-09,22.81284
2020-09-10,24.25249
2020-09-11,20.26578
2020-09-12,18.60465
2020-09-13,20.598
2020-09-14,27.68549
2020-09-15,22.03765
2020-09-16,23.92026
2020-09-17,22.92358
2020-09-18,22.48062
2020-09-19,18.27242
2020-09-20,23.80952
2020-09-21,21.81616
2020-09-22,24.58471
2020-09-23,22.48062
2020-09-24,18.71539
2020-09-25,21.15171
2020-09-26,19.2691
2020-09-27,16.72203
2020-09-28,29.45736
2020-09-29,26.79955
2020-09-30,16.27906
2020-10-01,18.38316
2020-10-02,26.91029
2020-10-03,34.33001
2020-10-04,35.88039
2020-10-05,38.5382
2020-10-06,32.66888
2020-10-07,30.56478
2020-10-08,28.68217
2020-10-09,22.25913
2020-10-10,25.13842
2020-10-11,20.37652
2020-10-12,33.22259
2020-10-13,30.01107
2020-10-14,31.33997
2020-10-15,26.79955
2020-10-16,28.01771
2020-10-17,20.93023
2020-10-18,18.82613
2020-10-19,28.46068
2020-10-20,27.464
2020-10-21,27.13178
2020-10-22,27.79623
2020-10-23,25.58139
2020-10-24,22.92358
2020-10-25,22.7021
2020-10-26,31.22923
2020-10-27,34.88372
2020-10-28,34.77297
2020-10-29,38.31672
2020-10-30,35.88039
2020-10-31,27.35326
2020-11-01,29.23588
2020-11-02,42.85714
2020-11-03,35.1052
2020-11-04,30.78626
2020-11-05,35.99114
2020-11-06,26.24584
2020-11-07,23.03433
2020-11-08,23.14507
2020-11-09,37.76301
2020-11-10,41.41749
2020-11-11,34.88372
2020-11-12,36.54485
2020-11-13,31.33997
2020-11-14,36.87707
2020-11-15,41.19601
2020-11-16,54.59579
2020-11-17,42.96788
2020-11-18,46.51162
2020-11-19,51.82724
2020-11-20,56.58914
2020-11-21,66.33444
2020-11-22,68.10631
2020-11-23,76.74418
2020-11-24,71.87153
2020-11-25,69.65669
2020-11-26,77.29789
2020-11-27,86.60022
2020-11-28,72.75747
2020-11-29,69.65669
2020-11-30,80.73089
2020-12-01,71.98228
2020-12-02,72.3145
2020-12-03,63.45514
2020-12-04,56.14617
2020-12-05,53.0454
2020-12-06,68.8815
2020-12-07,74.52934
2020-12-08,70.9856
2020-12-09,66.44518
2020-12-10,57.03211
2020-12-11,55.48172
2020-12-12,52.27021
2020-12-13,49.94462
2020-12-14,72.3145
2020-12-15,65.22702
2020-12-16,62.90143
2020-12-17,61.57253
2020-12-18,63.01218
2020-12-19,44.85049
2020-12-20,53.93133
2020-12-21,60.02214
2020-12-22,59.24695
2020-12-23,79.62347
2020-12-24,51.16279
2020-12-25,48.17275
2020-12-26,52.04872
2020-12-27,50.9413
2020-12-28,63.01218
2020-12-29,57.8073
2020-12-30,57.14285
2020-12-31,51.49501
2021-01-01,50.05537
