date,천보주가
2020-11-08,5.40216
2020-11-09,48.66882
2020-11-10,43.33004
2020-11-11,38.55824
2020-11-12,34.71615
2020-11-13,33.04338
2020-11-14,4.81757
2020-11-15,4.31046
2020-11-16,34.70207
2020-11-17,32.81448
2020-11-18,37.11086
2020-11-19,38.86815
2020-11-20,30.36695
2020-11-21,4.36681
2020-11-22,3.4371
2020-11-23,31.97985
2020-11-24,33.14903
2020-11-25,36.66713
2020-11-26,30.55007
2020-11-27,40.11832
2020-11-28,5.56768
2020-11-29,4.83518
2020-11-30,33.90618
2020-12-01,32.75109
2020-12-02,31.9552
2020-12-03,30.81419
2020-12-04,30.6522
2020-12-05,4.76475
2020-12-06,4.0076
2020-12-07,30.63107
2020-12-08,32.26862
2020-12-09,30.74728
2020-12-10,28.53218
2020-12-11,29.85279
2020-12-12,5.29652
2020-12-13,3.70474
2020-12-14,26.18326
2020-12-15,24.43301
2020-12-16,30.90576
2020-12-17,51.13044
2020-12-18,41.79461
2020-12-19,5.85293
2020-12-20,4.87392
2020-12-21,32.75813
2020-12-22,28.22228
2020-12-23,29.14847
2020-12-24,26.86293
2020-12-25,4.14847
2020-12-26,3.62022
2020-12-27,4.55697
2020-12-28,26.29595
2020-12-29,27.53204
2020-12-30,26.88054
2020-12-31,5.4726
2021-01-01,4.72249
2021-01-02,4.42667
2021-01-03,4.36681
2021-01-04,39.97393
2021-01-05,40.9459
2021-01-06,34.3323
2021-01-07,33.15959
2021-01-08,41.81222
2021-01-09,8.00464
2021-01-10,7.59966
2021-01-11,53.99352
2021-01-12,40.94942
2021-01-13,34.11395
2021-01-14,33.92731
2021-01-15,31.15579
2021-01-16,4.99366
2021-01-17,5.04296
2021-01-18,27.58487
2021-01-19,32.2158
2021-01-20,33.53289
2021-01-21,28.60614
2021-01-22,28.25397
2021-01-23,6.34244
2021-01-24,4.73658
2021-01-25,27.72221
2021-01-26,25.01056
2021-01-27,27.54965
2021-01-28,22.72855
2021-01-29,21.11565
2021-01-30,3.24341
2021-01-31,3.17298
2021-02-01,23.1441
2021-02-02,21.87279
2021-02-03,29.00408
2021-02-04,23.46809
2021-02-05,20.84448
2021-02-06,3.42301
2021-02-07,3.1272
2021-02-08,18.61529
2021-02-09,17.18551
2021-02-10,15.05493
2021-02-11,3.62022
2021-02-12,2.59543
2021-02-13,2.62713
2021-02-14,2.53909
2021-02-15,20.26341
2021-02-16,23.535
2021-02-17,18.41456
2021-02-18,17.51303
2021-02-19,17.56585
2021-02-20,2.97577
2021-02-21,2.83138
2021-02-22,16.68544
2021-02-23,15.98816
2021-02-24,18.34413
2021-02-25,18.39343
2021-02-26,17.02352
2021-02-27,2.90533
2021-02-28,2.64826
2021-03-01,3.37371
2021-03-02,19.464
2021-03-03,17.60811
2021-03-04,14.47034
2021-03-05,14.64995
2021-03-06,2.77151
2021-03-07,2.32074
2021-03-08,14.42808
2021-03-09,15.38244
2021-03-10,16.19594
2021-03-11,17.6222
2021-03-12,17.81236
2021-03-13,2.50739
2021-03-14,2.43344
2021-03-15,14.81898
2021-03-16,15.28736
2021-03-17,15.00915
2021-03-18,15.3261
2021-03-19,13.07226
2021-03-20,2.45809
2021-03-21,2.08127
2021-03-22,13.3716
2021-03-23,12.28694
2021-03-24,12.03338
2021-03-25,12.02634
2021-03-26,12.09677
2021-03-27,2.07071
2021-03-28,1.76433
2021-03-29,12.3468
2021-03-30,12.48415
2021-03-31,11.41005
2021-04-01,14.32948
2021-04-02,14.53373
2021-04-03,2.19749
2021-04-04,2.10593
2021-04-05,15.22045
2021-04-06,12.50176
2021-04-07,11.88195
2021-04-08,12.01929
2021-04-09,12.39611
2021-04-10,1.88406
2021-04-11,2.444
2021-04-12,20.42893
2021-04-13,23.90125
2021-04-14,23.454
2021-04-15,19.40766
2021-04-16,16.19594
2021-04-17,2.77503
2021-04-18,2.46161
2021-04-19,16.01281
2021-04-20,19.1858
2021-04-21,16.49175
2021-04-22,19.99929
2021-04-23,18.43921
2021-04-24,2.94055
2021-04-25,2.77856
2021-04-26,18.71038
2021-04-27,16.57979
2021-04-28,13.87871
2021-04-29,13.86462
2021-04-30,12.2482
2021-05-01,1.86293
2021-05-02,1.48964
2021-05-03,14.30835
2021-05-04,13.9104
2021-05-05,1.89463
2021-05-06,12.72362
2021-05-07,12.33272
2021-05-08,2.07071
2021-05-09,1.82067
2021-05-10,14.09705
2021-05-11,13.36103
2021-05-12,11.55444
2021-05-13,10.92407
2021-05-14,12.40315
2021-05-15,1.9228
2021-05-16,1.5636
2021-05-17,10.75855
2021-05-18,10.44865
2021-05-19,1.85589
2021-05-20,13.14621
2021-05-21,14.30835
2021-05-22,1.95802
2021-05-23,1.69742
2021-05-24,10.36413
2021-05-25,10.23383
2021-05-26,9.73376
2021-05-27,9.80067
2021-05-28,12.53345
2021-05-29,2.20453
2021-05-30,1.6622
2021-05-31,11.54387
2021-06-01,10.52965
2021-06-02,9.14565
2021-06-03,11.84673
2021-06-04,10.76912
2021-06-05,1.29595
2021-06-06,1.15157
2021-06-07,12.7694
2021-06-08,11.31145
2021-06-09,9.8218
2021-06-10,10.46626
2021-06-11,17.03056
2021-06-12,3.1272
2021-06-13,2.56021
2021-06-14,15.39301
2021-06-15,12.98774
2021-06-16,12.30102
2021-06-17,15.00915
2021-06-18,14.28722
2021-06-19,4.47246
2021-06-20,3.9583
2021-06-21,21.56641
2021-06-22,16.07268
2021-06-23,17.66798
2021-06-24,16.06916
2021-06-25,14.13227
2021-06-26,2.19397
2021-06-27,2.80321
2021-06-28,13.10043
2021-06-29,11.76574
2021-06-30,12.90674
2021-07-01,13.34695
2021-07-02,13.3399
2021-07-03,4.30342
2021-07-04,2.58487
2021-07-05,20.97126
2021-07-06,17.5412
2021-07-07,43.83716
2021-07-08,39.0231
2021-07-09,44.78095
2021-07-10,9.12452
2021-07-11,8.71953
2021-07-12,36.75517
2021-07-13,57.34962
2021-07-14,54.73658
2021-07-15,52.17284
2021-07-16,46.91505
2021-07-17,6.08888
2021-07-18,6.45865
2021-07-19,39.96689
2021-07-20,40.72052
2021-07-21,34.00831
2021-07-22,31.86012
2021-07-23,27.06719
2021-07-24,4.58867
2021-07-25,3.1765
2021-07-26,29.52528
2021-07-27,25.07747
2021-07-28,21.99253
2021-07-29,22.98563
2021-07-30,24.90843
2021-07-31,2.93351
2021-08-01,2.27144
2021-08-02,20.67544
2021-08-03,28.49697
2021-08-04,27.19044
2021-08-05,27.26792
2021-08-06,29.85279
2021-08-07,3.99352
2021-08-08,4.33511
2021-08-09,41.9707
2021-08-10,30.28595
2021-08-11,28.05324
2021-08-12,32.80743
2021-08-13,37.27989
2021-08-14,5.07818
2021-08-15,3.72939
2021-08-16,5.0817
2021-08-17,34.25482
2021-08-18,34.37808
2021-08-19,58.07508
2021-08-20,44.21749
2021-08-21,6.13114
2021-08-22,4.96548
2021-08-23,43.83011
2021-08-24,44.8549
2021-08-25,41.61853
2021-08-26,36.8256
2021-08-27,31.91294
2021-08-28,4.82814
2021-08-29,3.91252
2021-08-30,30.24721
2021-08-31,35.35357
2021-09-01,34.33582
2021-09-02,31.71221
2021-09-03,30.55359
2021-09-04,3.13072
2021-09-05,2.72573
2021-09-06,31.46217
2021-09-07,65.16058
2021-09-08,51.15509
2021-09-09,43.43569
2021-09-10,38.2906
2021-09-11,4.78236
2021-09-12,3.69418
2021-09-13,55.6522
2021-09-14,46.34807
2021-09-15,40.26271
2021-09-16,38.97732
2021-09-17,34.84645
2021-09-18,3.93717
2021-09-19,2.41583
2021-09-20,2.1341
2021-09-21,2.02493
2021-09-22,2.91238
2021-09-23,31.95872
2021-09-24,37.01577
2021-09-25,4.13086
2021-09-26,3.34554
2021-09-27,33.39202
2021-09-28,33.79701
2021-09-29,33.45541
2021-09-30,33.98365
2021-10-01,26.55303
2021-10-02,2.83842
2021-10-03,2.13762
2021-10-04,3.19763
2021-10-05,27.28905
2021-10-06,32.18763
2021-10-07,31.86012
2021-10-08,27.3947
2021-10-09,2.30666
2021-10-10,1.75728
2021-10-11,3.36667
2021-10-12,28.30328
2021-10-13,43.13987
2021-10-14,37.868
2021-10-15,31.32835
2021-10-16,3.19059
2021-10-17,2.71869
2021-10-18,41.57275
2021-10-19,41.61501
2021-10-20,34.76193
2021-10-21,37.75179
2021-10-22,32.28271
2021-10-23,3.55331
2021-10-24,2.52852
2021-10-25,31.41287
2021-10-26,29.49006
2021-10-27,26.84533
2021-10-28,25.69023
2021-10-29,23.55261
2021-10-30,2.23975
2021-10-31,1.8242
2021-11-01,24.90491
2021-11-02,24.04916
2021-11-03,24.838
2021-11-04,27.11297
2021-11-05,27.23623
2021-11-06,3.70474
2021-11-07,2.97224
2021-11-08,26.89815
2021-11-09,43.17861
2021-11-10,34.80419
2021-11-11,39.68868
2021-11-12,53.44414
2021-11-13,6.97633
2021-11-14,6.06423
2021-11-15,39.57247
2021-11-16,43.03775
2021-11-17,38.60755
2021-11-18,39.95281
2021-11-19,41.22763
2021-11-20,5.14509
2021-11-21,4.1379
2021-11-22,40.23101
2021-11-23,32.00802
2021-11-24,33.56458
2021-11-25,33.37794
2021-11-26,33.00817
2021-11-27,3.37723
2021-11-28,2.6236
2021-11-29,30.41977
2021-11-30,34.68446
2021-12-01,33.31102
2021-12-02,32.7863
2021-12-03,34.62811
2021-12-04,5.66629
2021-12-05,5.12043
2021-12-06,31.97985
2021-12-07,32.03972
2021-12-08,37.00521
2021-12-09,34.46964
2021-12-10,30.64516
2021-12-11,3.37019
2021-12-12,3.04972
2021-12-13,34.14917
2021-12-14,27.39822
2021-12-15,28.19059
2021-12-16,27.45104
2021-12-17,23.99633
2021-12-18,2.9969
2021-12-19,2.62008
2021-12-20,23.42583
2021-12-21,28.04268
2021-12-22,24.37667
2021-12-23,26.24313
2021-12-24,23.38005
2021-12-25,2.77503
2021-12-26,3.84209
2021-12-27,24.08085
2021-12-28,34.51894
2021-12-29,27.80673
2021-12-30,26.79954
2021-12-31,6.40935
2022-01-01,3.33849
2022-01-02,3.41245
2022-01-03,26.01774
2022-01-04,24.7887
2022-01-05,24.03507
2022-01-06,24.43301
2022-01-07,24.63375
2022-01-08,3.56036
2022-01-09,3.38075
2022-01-10,24.59149
2022-01-11,25.47541
2022-01-12,27.88068
2022-01-13,24.22172
2022-01-14,19.63656
2022-01-15,2.71517
2022-01-16,2.69756
2022-01-17,19.97464
2022-01-18,19.67882
