date,블루밍테일
2021-05-10,0.78369
2021-05-30,0.94043
2021-06-03,0.94043
2021-06-09,0.78369
2021-06-12,0.78369
2021-06-16,2.66457
2021-06-22,1.09717
2021-06-25,0.78369
2021-06-26,0.94043
2021-06-28,1.25391
2021-07-02,0.78369
2021-07-04,1.72413
2021-07-13,0.94043
2021-07-17,0.78369
2021-07-21,0.78369
2021-07-27,1.41065
2021-08-01,0.94043
2021-08-02,0.94043
2021-08-04,3.60501
2021-08-05,3.13479
2021-08-07,1.25391
2021-08-08,2.19435
2021-08-09,1.41065
2021-08-10,1.25391
2021-08-11,0.94043
2021-08-12,2.03761
2021-08-15,1.25391
2021-08-16,0.78369
2021-08-24,0.94043
2021-08-27,1.56739
2021-08-28,4.85893
2021-08-29,3.44827
2021-08-30,0.94043
2021-08-31,1.56739
2021-09-01,1.41065
2021-09-02,1.88087
2021-09-03,1.09717
2021-09-04,2.03761
2021-09-07,0.78369
2021-09-10,0.94043
2021-09-12,0.78369
2021-09-13,1.41065
2021-09-14,1.25391
2021-09-15,1.25391
2021-09-16,1.25391
2021-09-19,0.78369
2021-09-20,2.19435
2021-09-21,4.07523
2021-09-22,1.88087
2021-09-25,0.78369
2021-09-26,2.19435
2021-09-27,1.25391
2021-09-28,1.56739
2021-09-29,1.88087
2021-09-30,1.09717
2021-10-01,1.09717
2021-10-02,9.40438
2021-10-03,2.66457
2021-10-04,6.11285
2021-10-05,3.29153
2021-10-06,3.29153
2021-10-07,2.19435
2021-10-08,1.56739
2021-10-09,2.19435
2021-10-10,2.66457
2021-10-11,0.78369
2021-10-12,0.94043
2021-10-13,2.19435
2021-10-14,2.19435
2021-10-15,1.41065
2021-10-16,1.72413
2021-10-18,2.35109
2021-10-19,0.94043
2021-10-20,0.78369
2021-10-22,2.03761
2021-10-23,1.56739
2021-10-24,1.25391
2021-10-25,0.78369
2021-10-26,0.78369
2021-10-27,1.72413
2021-10-28,2.03761
2021-10-29,1.88087
2021-10-30,0.94043
2021-10-31,2.97805
2021-11-01,2.35109
2021-11-02,1.25391
2021-11-03,1.41065
2021-11-04,3.29153
2021-11-05,2.66457
2021-11-06,2.66457
2021-11-07,2.03761
2021-11-08,6.42633
2021-11-09,2.66457
2021-11-10,1.56739
2021-11-11,2.50783
2021-11-12,2.35109
2021-11-13,4.85893
2021-11-14,3.76175
2021-11-15,3.44827
2021-11-16,6.58307
2021-11-17,3.91849
2021-11-18,2.35109
2021-11-19,2.03761
2021-11-20,2.97805
2021-11-21,1.88087
2021-11-22,2.19435
2021-11-23,2.97805
2021-11-24,4.38871
2021-11-25,1.25391
2021-11-26,4.70219
2021-11-27,3.44827
2021-11-28,4.54545
2021-11-29,3.13479
2021-11-30,2.50783
2021-12-01,2.35109
2021-12-02,1.56739
2021-12-03,2.19435
2021-12-04,2.35109
2021-12-05,1.88087
