date,AIG
2020-03-20,50.07587
2020-03-21,23.82397
2020-03-22,19.27162
2020-03-23,49.77238
2020-03-24,51.74506
2020-03-25,59.78755
2020-03-26,52.2003
2020-03-27,49.77238
2020-03-28,24.43095
2020-03-29,15.78148
2020-03-30,49.62063
2020-03-31,50.68285
2020-04-01,40.36418
2020-04-02,41.4264
2020-04-03,42.18512
2020-04-04,17.75417
2020-04-05,12.89833
2020-04-06,39.45371
2020-04-07,45.82701
2020-04-08,41.57814
2020-04-09,42.7921
2020-04-10,41.72989
2020-04-11,16.54021
2020-04-12,14.11229
2020-04-13,49.46889
2020-04-14,46.1305
2020-04-15,16.23672
2020-04-16,44.76479
2020-04-17,40.21244
2020-04-18,14.87101
2020-04-19,16.99544
2020-04-20,47.19271
2020-04-21,48.40667
2020-04-22,40.51593
2020-04-23,38.99848
2020-04-24,37.63277
2020-04-25,13.35356
2020-04-26,9.86342
2020-04-27,44.00606
2020-04-28,44.61305
2020-04-29,46.43399
2020-04-30,15.78148
2020-05-01,25.03793
2020-05-02,13.35356
2020-05-03,14.87101
2020-05-04,44.76479
2020-05-05,22.00303
2020-05-06,45.97875
2020-05-07,38.3915
2020-05-08,36.7223
2020-05-09,14.26403
2020-05-10,10.77389
2020-05-11,46.28224
2020-05-12,44.91654
2020-05-13,44.00606
2020-05-14,47.34446
2020-05-15,42.33687
2020-05-16,16.23672
2020-05-17,15.32625
2020-05-18,44.4613
2020-05-19,47.34446
2020-05-20,47.64795
2020-05-21,40.36418
2020-05-22,36.41881
2020-05-23,13.8088
2020-05-24,11.07738
2020-05-25,45.97875
2020-05-26,45.82701
2020-05-27,41.72989
2020-05-28,45.97875
2020-05-29,37.48103
2020-05-30,15.32625
2020-05-31,15.78148
2020-06-01,44.00606
2020-06-02,36.7223
2020-06-03,39.60546
2020-06-04,40.51593
2020-06-05,36.57056
2020-06-06,12.74658
2020-06-07,12.1396
2020-06-08,37.63277
2020-06-09,39.30197
2020-06-10,35.96358
2020-06-11,34.74962
2020-06-12,40.66767
2020-06-13,11.22913
2020-06-14,11.07738
2020-06-15,41.88163
2020-06-16,35.50834
2020-06-17,39.90895
2020-06-18,35.96358
2020-06-19,32.0182
2020-06-20,13.50531
2020-06-21,11.38088
2020-06-22,39.45371
2020-06-23,34.74962
2020-06-24,37.32928
2020-06-25,38.08801
2020-06-26,42.94385
2020-06-27,11.22913
2020-06-28,13.50531
2020-06-29,39.15022
2020-06-30,38.84673
2020-07-01,38.54324
2020-07-02,36.57056
2020-07-03,33.6874
2020-07-04,14.41578
2020-07-05,11.98786
2020-07-06,38.84673
2020-07-07,37.17754
2020-07-08,35.96358
2020-07-09,38.08801
2020-07-10,30.95599
2020-07-11,10.4704
2020-07-12,10.4704
2020-07-13,41.4264
2020-07-14,32.62518
2020-07-15,37.17754
2020-07-16,37.48103
2020-07-17,36.26707
2020-07-18,14.71927
2020-07-19,12.59484
2020-07-20,44.00606
2020-07-21,38.08801
2020-07-22,34.29438
2020-07-23,37.93626
2020-07-24,34.74962
