date,금시세1돈
2020-03-20,42.78508
2020-03-21,24.08575
2020-03-22,19.05962
2020-03-23,26.06737
2020-03-24,26.89605
2020-03-25,27.00414
2020-03-26,26.37362
2020-03-27,21.13132
2020-03-28,14.53792
2020-03-29,12.8085
2020-03-30,19.09565
2020-03-31,20.32066
2020-04-01,18.46514
2020-04-02,18.57323
2020-04-03,16.5916
2020-04-04,13.61916
2020-04-05,11.90776
2020-04-06,17.88866
2020-04-07,19.96036
2020-04-08,21.09529
2020-04-09,18.42911
2020-04-10,22.46442
2020-04-11,15.51071
2020-04-12,25.79715
2020-04-13,31.14754
2020-04-14,29.07584
2020-04-15,19.05962
2020-04-16,23.65339
2020-04-17,27.97694
2020-04-18,18.26697
2020-04-19,13.67321
2020-04-20,22.3203
2020-04-21,23.99567
2020-04-22,24.10376
2020-04-23,24.91442
2020-04-24,27.90488
2020-04-25,18.12286
2020-04-26,16.89785
2020-04-27,29.18393
2020-04-28,24.8784
2020-04-29,21.88794
2020-04-30,16.24932
2020-05-01,16.82579
2020-05-02,14.79012
2020-05-03,14.28571
2020-05-04,20.39272
2020-05-05,16.80778
2020-05-06,20.75301
2020-05-07,17.85263
2020-05-08,18.28499
2020-05-09,14.44784
2020-05-10,12.23203
2020-05-11,18.5372
2020-05-12,17.85263
2020-05-13,17.34822
2020-05-14,18.60925
2020-05-15,18.6633
2020-05-16,13.20482
2020-05-17,11.61952
2020-05-18,25.65303
2020-05-19,26.89605
2020-05-20,22.53647
2020-05-21,20.48279
2020-05-22,19.36588
2020-05-23,13.96144
2020-05-24,13.04269
2020-05-25,17.79859
2020-05-26,17.13204
2020-05-27,16.06917
2020-05-28,17.16807
2020-05-29,16.28535
2020-05-30,11.58349
2020-05-31,11.74563
2020-06-01,16.75373
2020-06-02,16.62763
2020-06-03,17.78058
2020-06-04,15.94307
2020-06-05,15.45667
2020-06-06,11.54746
2020-06-07,10.88092
2020-06-08,15.27652
2020-06-09,16.75373
2020-06-10,16.08719
2020-06-11,14.14159
2020-06-12,14.646
2020-06-13,11.85372
2020-06-14,10.08827
