date,임대인배상책임보험
2020-12-13,14.45312
2020-12-14,54.6875
2020-12-15,31.25
2020-12-16,26.17187
2020-12-17,42.57812
2020-12-18,24.60937
2020-12-19,19.92187
2020-12-20,13.67187
2020-12-21,37.89062
2020-12-22,28.51562
2020-12-23,35.15625
2020-12-24,33.98437
2020-12-25,8.59375
2020-12-26,21.48437
2020-12-27,23.4375
2020-12-28,48.4375
2020-12-29,38.67187
2020-12-30,26.17187
2020-12-31,28.51562
2021-01-01,10.54687
2021-01-02,15.23437
2021-01-03,15.23437
2021-01-04,39.45312
2021-01-05,44.14062
2021-01-06,22.65625
2021-01-07,42.1875
2021-01-08,30.07812
2021-01-09,21.09375
2021-01-10,34.375
2021-01-11,57.8125
2021-01-12,58.98437
2021-01-13,60.9375
2021-01-14,75.0
2021-01-15,58.59375
2021-01-16,37.5
2021-01-17,28.51562
2021-01-18,62.10937
2021-01-19,48.04687
2021-01-20,42.96875
2021-01-21,48.4375
2021-01-22,39.84375
2021-01-23,19.14062
2021-01-24,18.75
2021-01-25,62.10937
2021-01-26,44.14062
2021-01-27,54.6875
2021-01-28,32.42187
2021-01-29,48.4375
2021-01-30,23.4375
2021-01-31,18.75
2021-02-01,47.26562
2021-02-02,46.875
2021-02-03,58.59375
2021-02-04,44.53125
2021-02-05,37.5
2021-02-06,8.59375
2021-02-07,10.15625
2021-02-08,28.125
2021-02-09,36.32812
2021-02-10,32.42187
2021-02-11,8.98437
2021-02-12,11.32812
2021-02-13,10.15625
2021-02-14,12.89062
2021-02-15,57.8125
2021-02-16,43.75
2021-02-17,39.0625
2021-02-18,37.89062
2021-02-19,37.10937
2021-02-20,26.5625
2021-02-21,18.35937
2021-02-22,42.1875
2021-02-23,30.46875
2021-02-24,38.67187
2021-02-25,32.42187
2021-02-26,29.29687
2021-02-27,17.96875
2021-02-28,17.1875
2021-03-01,19.53125
2021-03-02,31.64062
2021-03-03,39.45312
2021-03-04,39.45312
2021-03-05,36.32812
2021-03-06,14.84375
2021-03-07,15.625
2021-03-08,42.1875
2021-03-09,28.125
2021-03-10,23.4375
2021-03-11,27.34375
2021-03-12,23.82812
2021-03-13,7.03125
2021-03-14,12.5
2021-03-15,37.10937
2021-03-16,30.07812
2021-03-17,30.46875
2021-03-18,30.85937
2021-03-19,19.92187
2021-03-20,13.28125
2021-03-21,15.23437
2021-03-22,32.03125
2021-03-23,32.03125
2021-03-24,37.10937
2021-03-25,31.25
2021-03-26,28.90625
2021-03-27,12.89062
2021-03-28,11.71875
2021-03-29,39.45312
2021-03-30,38.67187
2021-03-31,26.17187
2021-04-01,26.5625
2021-04-02,28.125
2021-04-03,19.14062
2021-04-04,12.89062
2021-04-05,38.28125
2021-04-06,33.20312
2021-04-07,30.07812
2021-04-08,31.25
2021-04-09,34.76562
2021-04-10,15.625
2021-04-11,11.71875
2021-04-12,45.70312
2021-04-13,42.96875
2021-04-14,35.9375
2021-04-15,27.73437
2021-04-16,23.82812
2021-04-17,17.57812
2021-04-18,15.625
2021-04-19,34.375
2021-04-20,30.07812
2021-04-21,35.9375
2021-04-22,29.29687
2021-04-23,28.90625
2021-04-24,13.28125
2021-04-25,13.67187
2021-04-26,37.5
2021-04-27,32.42187
2021-04-28,39.84375
2021-04-29,33.59375
2021-04-30,17.96875
2021-05-01,14.45312
2021-05-02,10.54687
2021-05-03,15.625
2021-05-04,23.4375
2021-05-05,11.32812
2021-05-06,33.59375
2021-05-07,25.78125
2021-05-08,13.28125
2021-05-09,7.8125
2021-05-10,28.90625
2021-05-11,30.85937
2021-05-12,30.85937
2021-05-13,23.4375
2021-05-14,24.60937
2021-05-15,7.42187
2021-05-16,8.98437
2021-05-17,28.51562
2021-05-18,33.20312
2021-05-19,13.67187
2021-05-20,32.8125
2021-05-21,26.5625
2021-05-22,13.28125
2021-05-23,14.84375
2021-05-24,23.4375
2021-05-25,18.35937
2021-05-26,21.48437
2021-05-27,20.70312
2021-05-28,26.95312
2021-05-29,9.375
2021-05-30,12.10937
2021-05-31,27.34375
2021-06-01,15.23437
2021-06-02,33.98437
2021-06-03,26.95312
2021-06-04,22.26562
2021-06-05,12.89062
2021-06-06,10.54687
2021-06-07,21.875
2021-06-08,28.90625
2021-06-09,31.25
2021-06-10,31.64062
2021-06-11,29.6875
2021-06-12,13.67187
2021-06-13,8.98437
2021-06-14,25.78125
2021-06-15,30.07812
2021-06-16,28.125
2021-06-17,26.5625
2021-06-18,32.03125
2021-06-19,14.84375
2021-06-20,12.5
2021-06-21,38.67187
2021-06-22,38.67187
2021-06-23,33.59375
2021-06-24,38.67187
2021-06-25,30.85937
2021-06-26,19.53125
2021-06-27,17.1875
2021-06-28,32.03125
2021-06-29,38.28125
2021-06-30,33.59375
2021-07-01,32.03125
2021-07-02,25.39062
2021-07-03,16.40625
2021-07-04,24.60937
2021-07-05,38.28125
2021-07-06,48.4375
2021-07-07,41.01562
2021-07-08,38.67187
2021-07-09,42.57812
2021-07-10,12.5
2021-07-11,15.23437
2021-07-12,37.5
2021-07-13,36.32812
2021-07-14,44.14062
2021-07-15,53.125
2021-07-16,32.8125
2021-07-17,18.75
2021-07-18,21.48437
2021-07-19,42.96875
2021-07-20,43.35937
2021-07-21,35.9375
2021-07-22,35.15625
2021-07-23,23.82812
2021-07-24,10.9375
2021-07-25,9.76562
2021-07-26,39.84375
2021-07-27,43.35937
2021-07-28,34.375
2021-07-29,44.53125
2021-07-30,31.25
2021-07-31,18.75
2021-08-01,13.67187
2021-08-02,32.03125
2021-08-03,35.9375
2021-08-04,32.42187
2021-08-05,43.75
2021-08-06,39.84375
2021-08-07,22.26562
2021-08-08,12.10937
2021-08-09,33.59375
2021-08-10,33.20312
2021-08-11,37.10937
2021-08-12,44.53125
2021-08-13,37.5
2021-08-14,12.5
2021-08-15,10.54687
2021-08-16,25.0
2021-08-17,41.01562
2021-08-18,45.70312
2021-08-19,43.75
2021-08-20,34.76562
2021-08-21,14.84375
2021-08-22,14.45312
2021-08-23,62.89062
2021-08-24,41.40625
2021-08-25,43.35937
2021-08-26,43.35937
2021-08-27,33.20312
2021-08-28,16.40625
2021-08-29,12.89062
2021-08-30,51.5625
2021-08-31,51.17187
2021-09-01,41.79687
2021-09-02,44.92187
2021-09-03,42.1875
2021-09-04,26.17187
2021-09-05,14.84375
2021-09-06,46.48437
2021-09-07,39.84375
2021-09-08,36.32812
2021-09-09,29.6875
2021-09-10,33.59375
2021-09-11,20.3125
2021-09-12,8.59375
2021-09-13,39.0625
2021-09-14,28.90625
2021-09-15,34.76562
2021-09-16,30.07812
2021-09-17,16.01562
2021-09-18,12.5
2021-09-19,5.07812
2021-09-20,9.76562
2021-09-21,3.125
2021-09-22,15.23437
2021-09-23,45.70312
2021-09-24,41.01562
2021-09-25,18.35937
2021-09-26,12.89062
2021-09-27,37.5
2021-09-28,40.625
2021-09-29,38.28125
2021-09-30,39.45312
2021-10-01,29.6875
2021-10-02,24.60937
2021-10-03,17.57812
2021-10-04,18.75
2021-10-05,57.8125
2021-10-06,59.375
2021-10-07,44.92187
2021-10-08,33.20312
2021-10-09,39.45312
2021-10-10,21.09375
2021-10-11,16.79687
2021-10-12,48.04687
2021-10-13,30.85937
2021-10-14,29.29687
2021-10-15,27.73437
2021-10-16,18.75
2021-10-17,11.32812
2021-10-18,35.15625
2021-10-19,42.1875
2021-10-20,33.20312
2021-10-21,33.59375
2021-10-22,33.20312
2021-10-23,19.53125
2021-10-24,10.9375
2021-10-25,36.32812
2021-10-26,38.28125
2021-10-27,21.875
2021-10-28,23.82812
2021-10-29,25.39062
2021-10-30,11.32812
2021-10-31,12.10937
2021-11-01,24.60937
2021-11-02,33.20312
2021-11-03,34.375
2021-11-04,8.59375
2021-11-05,14.0625
2021-11-06,13.28125
2021-11-07,15.23437
2021-11-08,42.1875
2021-11-09,30.46875
2021-11-10,18.35937
2021-11-11,36.32812
2021-11-12,17.96875
2021-11-13,5.46875
2021-11-14,8.20312
2021-11-15,19.92187
2021-11-16,32.03125
2021-11-17,36.32812
2021-11-18,27.34375
2021-11-19,17.57812
2021-11-20,11.71875
2021-11-21,9.375
2021-11-22,23.4375
2021-11-23,27.73437
2021-11-24,26.5625
2021-11-25,20.3125
2021-11-26,35.15625
2021-11-27,8.59375
2021-11-28,9.375
2021-11-29,29.6875
2021-11-30,23.04687
2021-12-01,30.07812
2021-12-02,23.04687
2021-12-03,16.01562
2021-12-04,11.32812
2021-12-05,5.46875
2021-12-06,16.40625
2021-12-07,18.35937
2021-12-08,31.64062
2021-12-09,21.09375
2021-12-10,23.4375
2021-12-11,8.20312
2021-12-12,5.07812
2021-12-13,17.1875
2021-12-14,22.26562
2021-12-15,11.71875
2021-12-16,10.9375
2021-12-17,16.40625
2021-12-18,7.8125
2021-12-19,7.8125
2021-12-20,28.125
2021-12-21,33.98437
2021-12-22,21.09375
2021-12-23,23.82812
2021-12-24,21.875
2021-12-25,6.25
2021-12-26,5.07812
2021-12-27,21.48437
2021-12-28,28.125
2021-12-29,21.875
2021-12-30,18.75
2021-12-31,12.89062
2022-01-01,7.03125
2022-01-02,11.32812
2022-01-03,15.625
2022-01-04,41.79687
2022-01-05,24.21875
2022-01-06,19.53125
2022-01-07,21.09375
2022-01-08,7.42187
2022-01-09,8.20312
2022-01-10,29.6875
2022-01-11,15.625
2022-01-12,27.73437
2022-01-13,26.17187
2022-01-14,22.65625
2022-01-15,16.79687
2022-01-16,9.375
2022-01-17,28.51562
2022-01-18,22.65625
2022-01-19,5.07812
2022-01-20,16.01562
2022-01-21,18.35937
2022-01-22,11.32812
2022-01-23,8.59375
2022-01-24,22.26562
2022-01-25,19.53125
2022-01-26,21.48437
2022-01-27,17.1875
2022-01-28,8.59375
2022-01-29,12.5
2022-01-30,4.29687
2022-01-31,5.07812
2022-02-01,4.6875
2022-02-02,2.73437
2022-02-03,10.54687
2022-02-04,3.125
2022-02-05,2.34375
2022-02-06,3.125
2022-02-07,2.34375
2022-02-08,6.25
2022-02-09,7.8125
2022-02-11,8.59375
2022-02-12,5.46875
2022-02-13,14.0625
2022-02-14,20.3125
2022-02-15,28.125
2022-02-16,25.39062
2022-02-17,21.48437
2022-02-18,20.70312
2022-02-19,9.76562
2022-02-20,8.98437
2022-02-21,17.1875
2022-02-22,20.3125
2022-02-23,17.96875
2022-02-24,12.10937
2022-02-25,12.89062
2022-02-26,4.29687
2022-02-27,7.42187
2022-02-28,28.51562
2022-03-01,6.64062
2022-03-02,11.71875
2022-03-03,19.14062
2022-03-04,18.35937
2022-03-05,10.15625
2022-03-06,5.07812
2022-03-07,39.45312
2022-03-08,13.67187
2022-03-09,9.76562
2022-03-10,23.82812
2022-03-11,25.78125
2022-03-12,10.54687
2022-03-13,8.20312
2022-03-14,21.09375
2022-03-15,37.5
2022-03-16,21.48437
2022-03-17,14.84375
2022-03-18,23.82812
2022-03-19,14.45312
2022-03-20,8.98437
2022-03-21,14.0625
2022-03-22,25.78125
2022-03-23,18.35937
2022-03-24,19.53125
2022-03-25,39.84375
2022-03-26,10.9375
2022-03-27,7.8125
2022-03-28,23.04687
2022-03-29,20.3125
2022-03-30,20.3125
2022-03-31,24.60937
2022-04-01,14.45312
2022-04-02,6.64062
2022-04-03,6.64062
2022-04-04,24.21875
2022-04-05,28.51562
2022-04-06,16.79687
2022-04-07,18.75
2022-04-08,16.01562
2022-04-09,4.29687
2022-04-10,5.46875
2022-04-11,19.53125
2022-04-12,32.42187
2022-04-13,19.53125
2022-04-14,14.0625
2022-04-15,17.1875
2022-04-16,7.8125
2022-04-17,7.03125
2022-04-18,17.57812
2022-04-19,24.21875
2022-04-20,22.26562
2022-04-21,37.5
2022-04-22,30.85937
2022-04-23,15.625
2022-04-24,8.98437
2022-04-25,35.54687
2022-04-26,23.04687
2022-04-27,20.70312
2022-04-28,18.35937
2022-04-29,23.82812
2022-04-30,7.03125
2022-05-01,9.375
2022-05-02,25.39062
2022-05-03,22.65625
2022-05-04,24.60937
2022-05-05,6.64062
2022-05-06,2.73437
2022-05-07,7.42187
2022-05-08,6.64062
2022-05-09,23.82812
2022-05-10,14.0625
2022-05-11,16.40625
2022-05-12,18.75
2022-05-13,15.625
2022-05-15,7.42187
2022-05-16,16.79687
2022-05-17,24.60937
2022-05-18,30.85937
2022-05-19,19.53125
2022-05-20,5.46875
2022-05-21,12.89062
2022-05-22,5.85937
2022-05-23,21.09375
2022-05-24,10.15625
2022-05-25,20.70312
2022-05-26,26.95312
2022-05-27,20.3125
2022-05-28,7.42187
2022-05-29,7.03125
2022-05-30,22.26562
2022-05-31,15.23437
2022-06-01,11.32812
2022-06-02,19.53125
2022-06-03,20.70312
2022-06-04,5.46875
2022-06-05,6.25
2022-06-06,12.5
2022-06-07,28.51562
2022-06-08,33.20312
2022-06-09,33.20312
2022-06-10,32.42187
2022-06-11,12.10937
2022-06-12,4.29687
2022-06-13,42.57812
2022-06-14,35.54687
2022-06-15,34.76562
2022-06-16,7.42187
2022-06-17,21.48437
2022-06-18,7.03125
2022-06-19,5.46875
2022-06-20,37.89062
2022-06-21,32.42187
2022-06-22,24.21875
2022-06-23,34.375
2022-06-24,21.09375
2022-06-25,10.54687
2022-06-26,7.03125
2022-06-27,36.32812
2022-06-28,33.59375
2022-06-29,39.45312
2022-06-30,45.3125
2022-07-01,38.28125
2022-07-02,32.42187
2022-07-03,14.0625
2022-07-04,42.1875
2022-07-05,36.32812
2022-07-06,46.48437
2022-07-07,38.28125
2022-07-08,31.25
2022-07-09,9.375
2022-07-10,11.71875
2022-07-11,42.96875
2022-07-12,44.53125
2022-07-13,42.1875
2022-07-14,36.71875
2022-07-15,33.98437
2022-07-16,19.14062
2022-07-17,12.89062
2022-07-18,43.35937
2022-07-19,36.32812
2022-07-20,37.10937
2022-07-21,35.54687
2022-07-22,26.17187
2022-07-23,13.28125
2022-07-24,19.14062
2022-07-25,37.89062
2022-07-26,42.1875
2022-07-27,35.15625
2022-07-28,41.79687
2022-07-29,34.375
2022-07-30,8.98437
2022-07-31,18.75
2022-08-01,39.0625
2022-08-02,33.20312
2022-08-03,50.78125
2022-08-04,46.875
2022-08-05,37.89062
2022-08-06,22.65625
2022-08-07,16.01562
2022-08-08,51.17187
2022-08-09,80.46875
2022-08-10,93.75
2022-08-11,87.89062
2022-08-12,63.28125
2022-08-13,34.76562
2022-08-14,18.75
2022-08-15,24.60937
2022-08-16,53.90625
2022-08-17,64.0625
2022-08-18,70.70312
2022-08-19,49.21875
2022-08-20,12.5
2022-08-21,15.625
2022-08-22,47.26562
2022-08-23,55.85937
2022-08-24,51.5625
2022-08-25,39.45312
2022-08-26,40.625
2022-08-27,21.09375
2022-08-28,14.0625
2022-08-29,37.89062
2022-08-30,42.1875
2022-08-31,37.10937
2022-09-01,34.375
2022-09-02,46.875
2022-09-03,13.67187
2022-09-04,18.35937
2022-09-05,55.85937
2022-09-06,59.76562
2022-09-07,49.21875
2022-09-08,28.51562
2022-09-09,9.375
2022-09-10,4.6875
2022-09-11,5.46875
2022-09-12,12.5
2022-09-13,49.21875
2022-09-14,53.125
2022-09-15,51.95312
2022-09-16,40.625
2022-09-17,14.0625
2022-09-18,16.40625
2022-09-19,31.64062
2022-09-20,46.875
2022-09-21,34.76562
2022-09-22,32.42187
2022-09-23,28.125
2022-09-24,22.65625
2022-09-25,8.20312
2022-09-26,37.89062
2022-09-27,35.15625
2022-09-28,30.07812
2022-09-29,32.42187
2022-09-30,33.59375
2022-10-01,12.89062
2022-10-02,18.35937
2022-10-03,20.70312
2022-10-04,50.78125
2022-10-05,35.15625
2022-10-06,42.1875
2022-10-07,32.8125
2022-10-08,12.5
2022-10-09,19.14062
2022-10-10,18.75
2022-10-11,47.26562
2022-10-12,40.23437
2022-10-13,42.57812
2022-10-14,32.8125
2022-10-15,8.98437
2022-10-16,7.03125
2022-10-17,33.98437
2022-10-18,42.57812
2022-10-19,42.57812
2022-10-20,40.23437
2022-10-21,43.35937
2022-10-22,16.40625
2022-10-23,12.10937
2022-10-24,46.875
2022-10-25,34.76562
2022-10-26,37.5
2022-10-27,40.23437
2022-10-28,31.64062
2022-10-29,10.54687
2022-10-30,7.8125
2022-10-31,30.46875
2022-11-01,42.57812
2022-11-02,36.32812
2022-11-03,32.42187
2022-11-04,24.60937
2022-11-05,13.67187
2022-11-06,9.375
2022-11-07,37.89062
2022-11-08,40.625
2022-11-09,36.71875
2022-11-10,33.59375
2022-11-11,28.125
2022-11-12,17.1875
2022-11-13,9.375
2022-11-14,35.15625
2022-11-15,36.32812
2022-11-16,33.59375
2022-11-17,26.17187
2022-11-18,31.25
2022-11-19,12.10937
2022-11-20,16.01562
2022-11-21,43.75
2022-11-22,40.625
2022-11-23,32.03125
2022-11-24,28.90625
2022-11-25,30.46875
2022-11-26,17.1875
2022-11-27,18.75
2022-11-28,33.20312
2022-11-29,27.34375
2022-11-30,31.25
2022-12-01,37.5
2022-12-02,28.90625
2022-12-03,13.28125
2022-12-04,12.10937
2022-12-05,38.28125
2022-12-06,38.28125
2022-12-07,35.9375
2022-12-08,31.64062
2022-12-09,40.625
2022-12-10,15.625
2022-12-11,11.32812
2022-12-12,36.71875
2022-12-13,33.20312
2022-12-14,37.10937
2022-12-15,30.07812
2022-12-16,30.07812
2022-12-17,23.04687
2022-12-18,21.09375
2022-12-19,50.78125
2022-12-20,40.23437
2022-12-21,39.84375
2022-12-22,38.28125
2022-12-23,29.29687
2022-12-24,20.70312
2022-12-25,14.84375
2022-12-26,49.60937
2022-12-27,60.54687
2022-12-28,41.40625
2022-12-29,43.35937
2022-12-30,37.10937
2022-12-31,11.32812
2023-01-01,10.54687
2023-01-02,33.20312
2023-01-03,46.48437
2023-01-04,45.3125
2023-01-05,36.32812
2023-01-06,30.46875
2023-01-07,14.84375
2023-01-08,11.71875
2023-01-09,44.53125
