date,미국ETF
2020-11-11,35.54421
2020-11-12,32.99319
2020-11-13,34.77891
2020-11-14,23.21428
2020-11-15,24.06462
2020-11-16,36.90476
2020-11-17,44.21768
2020-11-18,39.71088
2020-11-19,37.07482
2020-11-20,33.24829
2020-11-21,30.95238
2020-11-22,36.90476
2020-11-23,50.08503
2020-11-24,58.41836
2020-11-25,60.62925
2020-11-26,55.52721
2020-11-27,46.5136
2020-11-28,44.30272
2020-11-29,42.09183
2020-11-30,50.85034
2020-12-01,53.14625
2020-12-02,57.22789
2020-12-03,58.24829
2020-12-04,56.97278
2020-12-05,42.68707
2020-12-06,43.45238
2020-12-07,57.65306
2020-12-08,60.79931
2020-12-09,58.84353
2020-12-10,52.55102
2020-12-11,50.85034
2020-12-12,43.87755
2020-12-13,40.98639
2020-12-14,57.56802
2020-12-15,52.80612
2020-12-16,55.86734
2020-12-17,49.57482
2020-12-18,55.95238
2020-12-19,43.28231
2020-12-20,42.43197
2020-12-21,70.32312
2020-12-22,72.44897
2020-12-23,66.66666
2020-12-24,54.08163
2020-12-25,42.85714
2020-12-26,45.74829
2020-12-27,48.72448
2020-12-28,64.96598
2020-12-29,70.06802
2020-12-30,64.62585
2020-12-31,56.80272
2021-01-01,45.15306
2021-01-02,42.94217
2021-01-03,48.21428
2021-01-04,70.83333
2021-01-05,75.42517
2021-01-06,71.08843
2021-01-07,72.27891
2021-01-08,97.27891
2021-01-09,74.48979
2021-01-10,63.94557
2021-01-11,86.22448
2021-01-12,76.87074
2021-01-13,77.38095
2021-01-14,76.19047
2021-01-15,78.48639
2021-01-16,55.44217
2021-01-17,52.55102
2021-01-18,57.82312
2021-01-19,73.29931
2021-01-20,82.39795
2021-01-21,100.0
2021-01-22,90.39115
2021-01-23,74.06462
2021-01-24,59.86394
2021-01-25,85.62925
2021-01-26,87.5
2021-01-27,79.7619
2021-01-28,73.63945
2021-01-29,62.32993
2021-01-30,50.68027
2021-01-31,44.64285
2021-02-01,58.41836
2021-02-02,78.40136
2021-02-03,85.88435
2021-02-04,76.53061
2021-02-05,82.99319
2021-02-06,56.03741
2021-02-07,50.2551
2021-02-08,68.79251
2021-02-09,86.90476
2021-02-10,91.66666
2021-02-11,80.35714
2021-02-12,86.05442
2021-02-13,76.53061
2021-02-14,76.27551
2021-02-15,90.56122
2021-02-16,96.85374
2021-02-17,91.83673
2021-02-18,73.21428
2021-02-19,57.56802
2021-02-20,48.80952
2021-02-21,40.81632
2021-02-22,50.17006
2021-02-23,59.69387
2021-02-24,52.38095
2021-02-25,61.13945
2021-02-26,51.10544
2021-02-27,33.33333
2021-02-28,30.017
2021-03-01,37.5
2021-03-02,51.44557
2021-03-03,44.89795
2021-03-04,49.65986
2021-03-05,38.69047
2021-03-06,39.45578
2021-03-07,26.78571
2021-03-08,32.65306
2021-03-09,39.62585
2021-03-10,47.0238
2021-03-11,46.68367
2021-03-12,47.27891
2021-03-13,34.18367
2021-03-14,30.52721
2021-03-15,38.60544
2021-03-16,49.91496
2021-03-17,46.7687
2021-03-18,49.31972
2021-03-19,39.62585
2021-03-20,31.29251
2021-03-21,27.55102
2021-03-22,34.2687
2021-03-23,35.20408
2021-03-24,37.32993
2021-03-25,36.39455
2021-03-26,34.60884
2021-03-27,28.99659
2021-03-28,24.48979
2021-03-29,35.62925
2021-03-30,40.30612
2021-03-31,40.47619
2021-04-01,38.0102
2021-04-02,35.20408
2021-04-03,23.89455
2021-04-04,27.97619
2021-04-05,44.47278
2021-04-06,52.97619
2021-04-07,45.91836
2021-04-08,48.46938
2021-04-09,47.36394
2021-04-10,34.5238
2021-04-11,36.22448
2021-04-12,47.19387
2021-04-13,47.0238
2021-04-14,54.42176
2021-04-15,52.63605
2021-04-16,34.60884
2021-04-17,6.29251
2021-04-18,7.39795
2021-04-19,38.35034
2021-04-20,53.14625
2021-04-21,38.60544
2021-04-22,36.30952
2021-04-23,36.64965
2021-04-24,26.78571
2021-04-25,26.61564
2021-04-26,39.96598
2021-04-27,45.32312
2021-04-28,41.32653
2021-04-29,42.94217
2021-04-30,33.58843
2021-05-01,21.08843
2021-05-02,20.23809
2021-05-03,37.92517
2021-05-04,43.45238
2021-05-05,37.07482
2021-05-06,38.60544
2021-05-07,35.71428
2021-05-08,29.42176
2021-05-09,22.95918
2021-05-10,43.36734
2021-05-11,44.30272
2021-05-12,34.2687
2021-05-13,34.18367
2021-05-14,33.5034
2021-05-15,22.36394
2021-05-16,23.55442
2021-05-17,28.14625
2021-05-18,32.05782
2021-05-19,32.39795
2021-05-20,34.5238
2021-05-21,34.18367
2021-05-22,21.42857
2021-05-23,21.34353
2021-05-24,34.43877
2021-05-25,35.54421
2021-05-26,32.31292
2021-05-27,32.14285
2021-05-28,38.43537
2021-05-29,22.61904
2021-05-30,22.19387
2021-05-31,29.08163
2021-06-01,36.05442
2021-06-02,41.24149
2021-06-03,40.47619
2021-06-04,29.42176
2021-06-05,17.34693
2021-06-06,21.5136
2021-06-07,30.35714
2021-06-08,33.84353
2021-06-09,27.63605
2021-06-10,38.60544
2021-06-11,31.12244
2021-06-12,22.19387
2021-06-13,16.66666
2021-06-14,30.95238
2021-06-15,37.5
2021-06-16,33.33333
2021-06-17,32.31292
2021-06-18,38.77551
2021-06-19,21.42857
2021-06-20,14.79591
2021-06-21,29.42176
2021-06-22,35.62925
2021-06-23,35.20408
2021-06-24,36.47959
2021-06-25,39.96598
2021-06-26,26.87074
2021-06-27,23.72448
2021-06-28,37.84013
2021-06-29,38.35034
2021-06-30,40.56122
2021-07-01,34.43877
2021-07-02,33.92857
2021-07-03,27.21088
2021-07-04,22.44897
2021-07-05,31.97278
2021-07-06,39.20068
2021-07-07,38.94557
2021-07-08,35.96938
2021-07-09,33.84353
2021-07-10,28.31632
2021-07-11,22.36394
2021-07-12,37.92517
2021-07-13,39.71088
2021-07-14,38.77551
2021-07-15,35.71428
2021-07-16,35.54421
2021-07-17,21.85374
2021-07-18,22.0238
2021-07-19,30.69727
2021-07-20,34.0136
2021-07-21,35.71428
2021-07-22,36.22448
2021-07-23,34.18367
2021-07-24,26.95578
2021-07-25,20.74829
2021-07-26,32.48299
2021-07-27,41.49659
2021-07-28,40.47619
2021-07-29,42.0068
2021-07-30,36.81972
