date,베트남환전
2020-03-20,4.83425
2020-03-21,3.45303
2020-03-22,2.90055
2020-03-23,5.31767
2020-03-24,3.8674
2020-03-25,4.97237
2020-03-26,5.31767
2020-03-27,4.62707
2020-03-28,2.83149
2020-03-29,3.59116
2020-03-30,4.28176
2020-03-31,4.14364
2020-04-01,6.00828
2020-04-02,3.59116
2020-04-03,3.38397
2020-04-04,2.279
2020-04-05,3.10773
2020-04-06,5.24861
2020-04-07,4.41988
2020-04-08,2.76243
2020-04-09,3.59116
2020-04-10,3.03867
2020-04-11,3.10773
2020-04-12,3.31491
2020-04-13,4.90331
2020-04-14,4.69613
2020-04-15,3.59116
2020-04-16,4.62707
2020-04-17,5.24861
2020-04-18,2.55524
2020-04-19,2.90055
2020-04-20,4.35082
2020-04-21,5.04143
2020-04-22,4.76519
2020-04-23,4.41988
2020-04-24,3.66022
2020-04-25,2.96961
2020-04-26,3.45303
2020-04-27,3.45303
2020-04-28,4.48895
2020-04-29,3.31491
2020-04-30,2.34806
2020-05-01,1.24309
2020-05-02,2.48618
2020-05-03,2.48618
2020-05-04,3.52209
2020-05-05,3.38397
2020-05-06,3.72928
2020-05-07,3.8674
2020-05-08,4.48895
2020-05-09,3.59116
2020-05-10,2.14088
2020-05-11,4.28176
2020-05-12,3.31491
2020-05-13,2.41712
2020-05-14,3.45303
2020-05-15,3.72928
2020-05-16,2.41712
2020-05-17,3.24585
2020-05-18,3.52209
2020-05-19,3.72928
2020-05-20,3.93646
2020-05-21,3.66022
2020-05-22,2.69337
2020-05-23,2.20994
2020-05-24,2.41712
2020-05-25,3.79834
2020-05-26,3.59116
2020-05-27,2.76243
2020-05-28,3.52209
2020-05-29,3.52209
2020-05-30,2.20994
2020-05-31,2.90055
2020-06-01,4.28176
2020-06-02,3.72928
2020-06-03,4.28176
2020-06-04,3.38397
2020-06-05,4.2127
2020-06-06,2.76243
2020-06-07,1.10497
2020-06-08,4.35082
2020-06-09,5.17955
2020-06-10,3.72928
2020-06-11,3.38397
2020-06-12,3.45303
2020-06-13,2.69337
2020-06-14,2.83149
2020-06-15,3.8674
2020-06-16,4.2127
2020-06-17,4.00552
2020-06-18,4.00552
2020-06-19,2.90055
2020-06-20,2.279
2020-06-21,2.14088
2020-06-22,3.72928
2020-06-23,3.24585
2020-06-24,3.66022
2020-06-25,3.10773
2020-06-26,3.45303
2020-06-27,2.00276
2020-06-28,1.72651
2020-06-29,4.48895
2020-06-30,3.79834
2020-07-01,2.76243
2020-07-02,2.90055
2020-07-03,2.00276
2020-07-04,2.34806
2020-07-05,2.20994
2020-07-06,2.83149
2020-07-07,4.55801
2020-07-08,3.72928
2020-07-09,3.38397
2020-07-10,2.96961
2020-07-11,1.38121
2020-07-12,1.86464
2020-07-13,2.76243
2020-07-14,2.90055
2020-07-15,3.72928
2020-07-16,2.96961
2020-07-17,2.55524
2020-07-18,1.31215
2020-07-19,2.14088
2020-07-20,3.17679
2020-07-21,1.72651
2020-07-22,3.10773
2020-07-23,3.17679
2020-07-24,4.55801
2020-07-25,1.38121
2020-07-26,2.41712
2020-07-27,2.83149
2020-07-28,3.52209
2020-07-29,2.69337
2020-07-30,3.31491
2020-07-31,3.8674
2020-08-01,2.83149
2020-08-02,3.38397
2020-08-03,3.52209
2020-08-04,3.66022
2020-08-05,4.97237
2020-08-06,3.38397
2020-08-07,2.76243
2020-08-08,2.76243
2020-08-09,1.65745
2020-08-10,3.72928
2020-08-11,2.41712
2020-08-12,2.83149
2020-08-13,3.38397
2020-08-14,2.14088
2020-08-15,2.20994
2020-08-16,1.9337
2020-08-17,2.48618
2020-08-18,2.6243
2020-08-19,3.52209
2020-08-20,2.96961
2020-08-21,2.279
2020-08-22,2.34806
2020-08-23,2.34806
2020-08-24,3.17679
2020-08-25,2.69337
2020-08-26,3.79834
2020-08-27,3.45303
2020-08-28,2.6243
2020-08-29,2.41712
2020-08-30,2.14088
2020-08-31,3.8674
2020-09-01,3.72928
2020-09-02,3.45303
2020-09-03,3.45303
2020-09-04,3.59116
2020-09-05,2.48618
2020-09-06,2.96961
2020-09-07,2.41712
2020-09-08,2.07182
2020-09-09,3.31491
2020-09-10,4.69613
2020-09-11,3.93646
2020-09-12,1.45027
2020-09-13,1.65745
2020-09-14,2.14088
2020-09-15,2.00276
2020-09-16,2.34806
2020-09-17,3.17679
2020-09-18,3.52209
2020-09-19,2.76243
2020-09-20,3.38397
2020-09-21,3.59116
2020-09-22,3.10773
2020-09-23,3.66022
2020-09-24,4.62707
2020-09-25,2.76243
2020-09-26,3.31491
2020-09-27,1.9337
2020-09-28,3.38397
2020-09-29,3.24585
2020-09-30,2.279
2020-10-01,1.86464
2020-10-02,1.86464
2020-10-03,1.38121
2020-10-04,2.6243
2020-10-05,3.8674
2020-10-06,2.90055
2020-10-07,3.38397
2020-10-08,3.45303
2020-10-09,2.55524
2020-10-10,1.86464
2020-10-11,2.00276
2020-10-12,3.8674
2020-10-13,3.52209
2020-10-14,5.38674
2020-10-15,3.52209
2020-10-16,2.90055
2020-10-17,2.20994
2020-10-18,1.72651
2020-10-19,3.66022
2020-10-20,3.17679
2020-10-21,4.48895
2020-10-22,4.35082
2020-10-23,2.69337
2020-10-24,2.48618
2020-10-25,2.279
2020-10-26,2.55524
2020-10-27,2.6243
2020-10-28,3.72928
2020-10-29,3.59116
2020-10-30,2.14088
2020-10-31,1.72651
2020-11-01,1.45027
2020-11-02,2.6243
2020-11-03,3.59116
2020-11-04,3.45303
2020-11-05,2.34806
2020-11-06,3.66022
