date,풍산주가
2020-03-20,5.04299
2020-03-21,0.5272
2020-03-22,0.35434
2020-03-23,4.6195
2020-03-24,4.67568
2020-03-25,4.61086
2020-03-26,4.92199
2020-03-27,5.11645
2020-03-28,0.47102
2020-03-29,0.30249
2020-03-30,3.72066
2020-03-31,4.11391
2020-04-01,4.28244
2020-04-02,3.99723
2020-04-03,3.62559
2020-04-04,0.37595
2020-04-05,0.34138
2020-04-06,3.84166
2020-04-07,3.84598
2020-04-08,3.43978
2020-04-09,3.64288
2020-04-10,3.25828
2020-04-11,0.36299
2020-04-12,0.31977
2020-04-13,3.30149
2020-04-14,3.15457
2020-04-15,0.42349
2020-04-16,3.98427
2020-04-17,5.09917
2020-04-18,0.63091
2020-04-19,0.31113
2020-04-20,4.92632
2020-04-21,7.70061
2020-04-22,6.20543
2020-04-23,6.18382
2020-04-24,6.94006
2020-04-25,1.12354
2020-04-26,0.86426
2020-04-27,6.27889
2020-04-28,5.91158
2020-04-29,5.41031
2020-04-30,0.74759
2020-05-01,0.69573
2020-05-02,0.48398
2020-05-03,0.47102
2020-05-04,4.81396
2020-05-05,0.60066
2020-05-06,4.26083
2020-05-07,3.96698
2020-05-08,3.90216
2020-05-09,0.6482
2020-05-10,0.44077
2020-05-11,4.27812
2020-05-12,3.61695
2020-05-13,3.83734
2020-05-14,3.33174
2020-05-15,3.21507
2020-05-16,0.34138
2020-05-17,0.17717
2020-05-18,2.93418
2020-05-19,5.30227
2020-05-20,5.01706
2020-05-21,4.77939
2020-05-22,3.75091
2020-05-23,0.29817
2020-05-24,0.3241
2020-05-25,3.45274
2020-05-26,3.92809
2020-05-27,3.74227
2020-05-28,4.08798
2020-05-29,3.77684
2020-05-30,0.39756
2020-05-31,0.28088
2020-06-01,4.04476
2020-06-02,4.28244
2020-06-03,7.16045
2020-06-04,6.08011
2020-06-05,5.02571
2020-06-06,0.50559
2020-06-07,0.3241
2020-06-08,4.98249
2020-06-09,5.76898
2020-06-10,5.25906
2020-06-11,5.41895
2020-06-12,4.33429
2020-06-13,0.50127
2020-06-14,0.43213
2020-06-15,4.98249
2020-06-16,5.50538
2020-06-17,8.6902
2020-06-18,6.27457
2020-06-19,5.40166
2020-06-20,0.54448
2020-06-21,0.37595
2020-06-22,3.81573
2020-06-23,3.77684
2020-06-24,3.75091
2020-06-25,3.44842
2020-06-26,3.33174
2020-06-27,0.3241
2020-06-28,0.30249
2020-06-29,2.91257
2020-06-30,4.17873
2020-07-01,3.75956
2020-07-02,4.7405
2020-07-03,4.17873
2020-07-04,0.48831
2020-07-05,0.28088
2020-07-06,3.52188
2020-07-07,2.89961
2020-07-08,2.83911
2020-07-09,3.63424
2020-07-10,3.16321
2020-07-11,0.38027
2020-07-12,0.21606
2020-07-13,2.97307
2020-07-14,2.72676
2020-07-15,3.56942
2020-07-16,3.241
2020-07-17,2.99036
2020-07-18,0.38892
2020-07-19,0.36731
2020-07-20,3.01629
2020-07-21,3.37928
2020-07-22,7.55801
2020-07-23,4.29972
2020-07-24,3.95834
2020-07-25,0.71734
2020-07-26,0.35434
2020-07-27,4.41208
2020-07-28,4.44665
2020-07-29,5.43191
2020-07-30,4.79668
2020-07-31,4.80532
2020-08-01,0.63091
2020-08-02,0.70437
2020-08-03,3.91945
2020-08-04,5.46648
2020-08-05,4.39479
2020-08-06,5.16399
2020-08-07,5.38006
2020-08-08,0.70869
2020-08-09,0.70869
2020-08-10,5.24609
2020-08-11,5.40166
2020-08-12,5.34981
2020-08-13,5.5097
2020-08-14,3.92809
2020-08-15,0.48831
2020-08-16,0.42349
2020-08-17,0.82105
2020-08-18,3.69474
2020-08-19,3.59535
2020-08-20,3.69474
2020-08-21,3.91512
2020-08-22,0.44077
2020-08-23,0.45374
2020-08-24,4.13551
2020-08-25,3.9713
2020-08-26,3.44842
2020-08-27,3.48299
2020-08-28,3.79845
2020-08-29,0.46238
2020-08-30,0.39324
2020-08-31,3.43546
2020-09-01,3.49163
2020-09-02,3.63424
2020-09-03,3.34039
2020-09-04,3.29285
2020-09-05,0.45806
2020-09-06,0.30249
2020-09-07,4.01884
2020-09-08,4.69729
2020-09-09,3.62127
2020-09-10,3.65584
2020-09-11,3.31446
