date,컴투스주가
2020-03-20,2.30649
2020-03-21,0.50898
2020-03-22,0.41269
2020-03-23,2.23312
2020-03-24,2.32483
2020-03-25,2.12307
2020-03-26,2.42112
2020-03-27,2.10473
2020-03-28,0.57776
2020-03-29,0.52732
2020-03-30,2.04053
2020-03-31,1.98092
2020-04-01,2.69167
2020-04-02,3.01724
2020-04-03,2.8384
2020-04-04,0.45854
2020-04-05,0.376
2020-04-06,2.80172
2020-04-07,3.08602
2020-04-08,3.88848
2020-04-09,2.81089
2020-04-10,2.91636
2020-04-11,0.48147
2020-04-12,0.35308
2020-04-13,2.67333
2020-04-14,2.62289
2020-04-15,0.5044
2020-04-16,2.66874
2020-04-17,2.76045
2020-04-18,0.35766
2020-04-19,0.29347
2020-04-20,3.08143
2020-04-21,2.70542
2020-04-22,3.07226
2020-04-23,3.19607
2020-04-24,2.87967
2020-04-25,0.38059
2020-04-26,0.29347
2020-04-27,2.99889
2020-04-28,3.08143
2020-04-29,2.6504
2020-04-30,0.29805
2020-05-01,0.42644
2020-05-02,0.1238
2020-05-03,0.11463
2020-05-04,1.74706
2020-05-05,0.26137
2020-05-06,2.64581
2020-05-07,2.23771
2020-05-08,2.98514
2020-05-09,0.44937
2020-05-10,0.51815
2020-05-11,2.29732
2020-05-12,2.54493
2020-05-13,2.75586
2020-05-14,2.52201
2020-05-15,2.34776
2020-05-16,0.19258
2020-05-17,0.16966
2020-05-18,1.96258
2020-05-19,1.87087
2020-05-20,2.10931
2020-05-21,1.81126
2020-05-22,1.62784
2020-05-23,0.19258
2020-05-24,0.19717
2020-05-25,1.61408
2020-05-26,2.86592
2020-05-27,1.93048
2020-05-28,2.02219
2020-05-29,1.88004
2020-05-30,0.16966
2020-05-31,0.10088
2020-06-01,1.5774
2020-06-02,1.59115
2020-06-03,1.65077
2020-06-04,2.00843
2020-06-05,1.75623
2020-06-06,0.17883
2020-06-07,0.07795
2020-06-08,1.45359
2020-06-09,1.3573
2020-06-10,1.30227
2020-06-11,1.261
2020-06-12,1.40774
2020-06-13,0.16049
2020-06-14,0.10546
2020-06-15,1.30685
2020-06-16,1.34354
2020-06-17,1.449
2020-06-18,1.28851
2020-06-19,1.34812
2020-06-20,0.17883
2020-06-21,0.19717
2020-06-22,1.43525
2020-06-23,1.81584
2020-06-24,1.93048
2020-06-25,1.2931
2020-06-26,1.33437
2020-06-27,0.11922
2020-06-28,0.15132
2020-06-29,2.37068
