date,유증
2020-03-20,9.7201
2020-03-21,7.27735
2020-03-22,12.01017
2020-03-23,13.07888
2020-03-24,11.24681
2020-03-25,10.99236
2020-03-26,11.09414
2020-03-27,13.02798
2020-03-28,8.0916
2020-03-29,8.49872
2020-03-30,13.84223
2020-03-31,12.51908
2020-04-01,12.77353
2020-04-02,11.09414
2020-04-03,10.33078
2020-04-04,7.37913
2020-04-05,6.56488
2020-04-06,11.04325
2020-04-07,17.35368
2020-04-08,15.57251
2020-04-09,14.09669
2020-04-10,10.229
2020-04-11,6.20865
2020-04-12,8.70229
2020-04-13,14.5547
2020-04-14,20.76335
2020-04-15,9.87277
2020-04-16,17.8117
2020-04-17,24.58015
2020-04-18,11.65394
2020-04-19,8.90585
2020-04-20,55.92875
2020-04-21,27.5318
2020-04-22,18.72773
2020-04-23,15.92875
2020-04-24,15.16539
2020-04-25,8.6005
2020-04-26,8.44783
2020-04-27,13.28244
2020-04-28,14.14758
2020-04-29,40.35623
2020-04-30,12.36641
2020-05-01,11.2977
2020-05-02,7.43002
2020-05-03,10.43256
2020-05-04,14.70737
2020-05-05,9.46564
2020-05-06,15.6743
2020-05-07,15.6234
2020-05-08,22.84987
2020-05-09,10.33078
2020-05-10,10.43256
2020-05-11,27.98982
2020-05-12,21.78117
2020-05-13,26.66666
2020-05-14,21.37404
2020-05-15,15.21628
2020-05-16,7.73536
2020-05-17,9.1603
2020-05-18,14.30025
2020-05-19,26.31043
2020-05-20,19.64376
2020-05-21,17.40458
2020-05-22,16.99745
2020-05-23,7.63358
2020-05-24,8.24427
2020-05-25,14.35114
2020-05-26,17.86259
2020-05-27,16.08142
2020-05-28,19.33842
2020-05-29,15.41984
2020-05-30,8.95674
2020-05-31,7.68447
2020-06-01,14.75826
2020-06-02,18.72773
2020-06-03,20.66157
2020-06-04,17.15012
2020-06-05,23.61323
2020-06-06,8.04071
2020-06-07,8.75318
2020-06-08,16.43765
2020-06-09,13.94402
2020-06-10,13.94402
2020-06-11,15.57251
2020-06-12,15.06361
2020-06-13,8.6005
2020-06-14,7.98982
2020-06-15,15.77608
2020-06-16,15.36895
2020-06-17,17.04834
2020-06-18,16.59033
2020-06-19,14.86005
2020-06-20,11.04325
2020-06-21,11.80661
2020-06-22,19.89821
2020-06-23,21.52671
2020-06-24,19.49109
2020-06-25,17.45547
2020-06-26,16.23409
2020-06-27,7.73536
2020-06-28,7.63358
2020-06-29,16.69211
2020-06-30,13.84223
2020-07-01,10.38167
2020-07-02,13.12977
2020-07-03,13.28244
2020-07-04,7.58269
2020-07-05,6.76844
2020-07-06,14.45292
2020-07-07,14.0458
2020-07-08,14.40203
2020-07-09,13.02798
2020-07-10,11.65394
2020-07-11,7.43002
2020-07-12,6.87022
2020-07-13,11.90839
2020-07-14,13.02798
2020-07-15,13.486
2020-07-16,13.58778
2020-07-17,12.87531
2020-07-18,7.83715
2020-07-19,8.24427
2020-07-20,14.5547
2020-07-21,14.96183
2020-07-22,15.82697
2020-07-23,16.28498
2020-07-24,16.79389
2020-07-25,8.44783
2020-07-26,7.58269
2020-07-27,19.79643
2020-07-28,16.23409
2020-07-29,13.38422
2020-07-30,13.84223
2020-07-31,13.12977
2020-08-01,6.51399
2020-08-02,8.14249
2020-08-03,16.59033
2020-08-04,13.23155
2020-08-05,14.50381
2020-08-06,13.07888
2020-08-07,13.28244
2020-08-08,7.48091
2020-08-09,7.83715
2020-08-10,13.486
2020-08-11,16.64122
2020-08-12,14.24936
2020-08-13,14.5547
2020-08-14,12.72264
2020-08-15,9.21119
2020-08-16,7.48091
2020-08-17,9.7201
2020-08-18,15.06361
2020-08-19,14.96183
2020-08-20,14.60559
2020-08-21,15.47073
2020-08-22,8.34605
2020-08-23,8.24427
2020-08-24,13.84223
2020-08-25,16.53944
2020-08-26,16.23409
2020-08-27,17.35368
2020-08-28,17.76081
2020-08-29,9.36386
2020-08-30,8.75318
2020-08-31,21.11959
2020-09-01,29.05852
2020-09-02,24.52926
2020-09-03,17.60814
2020-09-04,39.69465
2020-09-05,17.50636
2020-09-06,12.67175
2020-09-07,23.51145
2020-09-08,15.06361
2020-09-09,18.52417
2020-09-10,16.69211
2020-09-11,16.89567
2020-09-12,8.29516
2020-09-13,9.46564
2020-09-14,15.72519
2020-09-15,19.4402
2020-09-16,20.61068
2020-09-17,20.86513
2020-09-18,20.20356
2020-09-19,9.00763
2020-09-20,9.26208
2020-09-21,21.98473
2020-09-22,17.45547
2020-09-23,16.1832
2020-09-24,13.74045
2020-09-25,12.97709
2020-09-26,8.85496
2020-09-27,9.82188
2020-09-28,13.94402
2020-09-29,11.04325
2020-09-30,100.0
2020-10-01,70.229
2020-10-02,83.00254
2020-10-03,53.74045
2020-10-04,18.62595
2020-10-05,40.61068
2020-10-06,33.89312
2020-10-07,29.10941
2020-10-08,20.61068
2020-10-09,15.47073
2020-10-10,16.53944
2020-10-11,20.45801
2020-10-12,41.27226
2020-10-13,34.65648
2020-10-14,28.75318
