date,배당
2020-11-08,4.84931
2020-11-09,7.9726
2020-11-10,8.79452
2020-11-11,9.42465
2020-11-12,9.75342
2020-11-13,8.38356
2020-11-14,5.09589
2020-11-15,5.23287
2020-11-16,10.63013
2020-11-17,11.12328
2020-11-18,12.76712
2020-11-19,10.57534
2020-11-20,10.49315
2020-11-21,6.21917
2020-11-22,5.53424
2020-11-23,10.24657
2020-11-24,11.78082
2020-11-25,10.63013
2020-11-26,10.21917
2020-11-27,11.64383
2020-11-28,7.47945
2020-11-29,6.68493
2020-11-30,11.04109
2020-12-01,12.27397
2020-12-02,16.41095
2020-12-03,13.39726
2020-12-04,11.53424
2020-12-05,7.80821
2020-12-06,12.82191
2020-12-07,24.82191
2020-12-08,26.32876
2020-12-09,20.82191
2020-12-10,19.42465
2020-12-11,18.27397
2020-12-12,9.39726
2020-12-13,11.56164
2020-12-14,21.01369
2020-12-15,22.02739
2020-12-16,26.16438
2020-12-17,22.9315
2020-12-18,23.01369
2020-12-19,10.32876
2020-12-20,10.9315
2020-12-21,22.21917
2020-12-22,22.57534
2020-12-23,28.73972
2020-12-24,42.16438
2020-12-25,14.21917
2020-12-26,16.68493
2020-12-27,17.80821
2020-12-28,81.04109
2020-12-29,55.17808
2020-12-30,26.9863
2020-12-31,13.31506
2021-01-01,7.9726
2021-01-02,7.64383
2021-01-03,8.54794
2021-01-04,16.0
2021-01-05,15.9726
2021-01-06,13.20547
2021-01-07,14.24657
2021-01-08,14.30136
2021-01-09,9.12328
2021-01-10,8.73972
2021-01-11,12.82191
2021-01-12,13.12328
2021-01-13,15.12328
2021-01-14,13.39726
2021-01-15,11.75342
2021-01-16,7.45205
2021-01-17,7.15068
2021-01-18,10.46575
2021-01-19,11.75342
2021-01-20,11.01369
2021-01-21,12.08219
2021-01-22,10.79452
2021-01-23,8.02739
2021-01-24,8.27397
2021-01-25,13.78082
2021-01-26,14.54794
2021-01-27,17.15068
2021-01-28,40.08219
2021-01-29,22.73972
2021-01-30,8.49315
2021-01-31,9.83561
2021-02-01,16.10958
2021-02-02,16.84931
2021-02-03,17.83561
2021-02-04,18.10958
2021-02-05,16.82191
2021-02-06,8.9041
2021-02-07,8.73972
2021-02-08,16.08219
2021-02-09,18.32876
2021-02-10,14.9041
2021-02-11,8.84931
2021-02-12,7.75342
2021-02-13,7.56164
2021-02-14,9.58904
2021-02-15,15.36986
2021-02-16,15.20547
2021-02-17,15.45205
2021-02-18,14.52054
2021-02-19,13.47945
2021-02-20,6.9041
2021-02-21,8.0
2021-02-22,14.63013
2021-02-23,12.76712
2021-02-24,13.42465
2021-02-25,13.01369
2021-02-26,11.64383
2021-02-27,7.04109
2021-02-28,6.9315
2021-03-01,7.50684
2021-03-02,13.12328
2021-03-03,14.52054
2021-03-04,14.84931
2021-03-05,11.9452
2021-03-06,7.26027
2021-03-07,6.87671
2021-03-08,12.54794
2021-03-09,13.28767
2021-03-10,14.19178
2021-03-11,13.75342
2021-03-12,11.72602
2021-03-13,7.72602
2021-03-14,6.57534
2021-03-15,13.09589
2021-03-16,13.53424
2021-03-17,13.36986
2021-03-18,14.65753
2021-03-19,11.04109
2021-03-20,7.20547
2021-03-21,6.41095
2021-03-22,11.58904
2021-03-23,14.02739
2021-03-24,12.54794
2021-03-25,13.06849
2021-03-26,13.45205
2021-03-27,7.9452
2021-03-28,9.23287
2021-03-29,14.13698
2021-03-30,14.73972
2021-03-31,17.26027
2021-04-01,14.21917
2021-04-02,13.53424
2021-04-03,8.63013
2021-04-04,10.0
2021-04-05,12.76712
2021-04-06,14.76712
2021-04-07,16.65753
2021-04-08,14.9589
2021-04-09,15.01369
2021-04-10,9.15068
2021-04-11,9.28767
2021-04-12,13.83561
2021-04-13,15.23287
2021-04-14,16.9315
2021-04-15,14.9863
2021-04-16,21.15068
2021-04-17,11.34246
2021-04-18,10.32876
2021-04-19,12.41095
2021-04-20,13.9726
2021-04-21,15.67123
2021-04-22,14.57534
2021-04-23,15.45205
2021-04-24,7.75342
2021-04-25,7.75342
2021-04-26,11.45205
2021-04-27,12.0
2021-04-28,10.27397
2021-04-29,12.21917
2021-04-30,10.38356
2021-05-01,6.79452
2021-05-02,6.19178
2021-05-03,8.60273
2021-05-04,9.47945
2021-05-05,8.30136
2021-05-06,8.27397
2021-05-07,9.04109
2021-05-08,6.76712
2021-05-09,7.36986
2021-05-10,9.9452
2021-05-11,10.05479
2021-05-12,10.19178
2021-05-13,9.06849
2021-05-14,9.89041
2021-05-15,5.69863
2021-05-16,6.05479
2021-05-17,8.46575
2021-05-18,10.87671
2021-05-19,7.17808
2021-05-20,9.42465
2021-05-21,8.49315
2021-05-22,5.42465
2021-05-23,5.67123
2021-05-24,8.10958
2021-05-25,8.82191
2021-05-26,8.0
2021-05-27,8.10958
2021-05-28,7.58904
2021-05-29,5.12328
2021-05-30,6.49315
2021-05-31,8.9041
2021-06-01,7.39726
2021-06-02,8.73972
2021-06-03,8.49315
2021-06-04,8.02739
2021-06-05,4.9315
2021-06-06,6.10958
2021-06-07,9.12328
2021-06-08,8.76712
2021-06-09,8.30136
2021-06-10,8.84931
2021-06-11,8.49315
2021-06-12,4.79452
2021-06-13,5.9726
2021-06-14,8.41095
2021-06-15,9.01369
2021-06-16,10.82191
2021-06-17,11.12328
2021-06-18,8.82191
2021-06-19,5.20547
2021-06-20,6.24657
2021-06-21,8.16438
2021-06-22,8.84931
2021-06-23,9.39726
2021-06-24,10.87671
2021-06-25,13.12328
2021-06-26,6.54794
2021-06-27,5.86301
2021-06-28,24.13698
2021-06-29,12.08219
2021-06-30,9.31506
2021-07-01,7.42465
2021-07-02,6.02739
2021-07-03,4.10958
2021-07-04,4.08219
2021-07-05,6.27397
2021-07-06,7.67123
2021-07-07,7.47945
2021-07-08,6.68493
2021-07-09,5.72602
2021-07-10,3.09589
2021-07-11,4.46575
2021-07-12,6.19178
2021-07-13,6.9589
2021-07-14,5.53424
2021-07-15,5.61643
2021-07-16,5.23287
2021-07-17,4.02739
2021-07-18,3.64383
2021-07-19,5.64383
2021-07-20,5.45205
2021-07-21,7.42465
2021-07-22,8.9041
2021-07-23,7.45205
2021-07-24,4.46575
2021-07-25,4.32876
2021-07-26,6.21917
2021-07-27,6.76712
2021-07-28,7.39726
2021-07-29,7.86301
2021-07-30,6.38356
2021-07-31,4.65753
2021-08-01,4.71232
2021-08-02,5.78082
2021-08-03,6.84931
2021-08-04,7.06849
