date,이수화학주가
2020-11-07,0.22598
2020-11-08,0.21993
2020-11-09,6.50511
2020-11-10,6.27307
2020-11-11,5.14113
2020-11-12,4.03139
2020-11-13,3.99911
2020-11-14,0.46811
2020-11-15,0.44591
2020-11-16,6.81987
2020-11-17,5.69399
2020-11-18,4.31589
2020-11-19,5.60723
2020-11-20,5.59714
2020-11-21,0.74453
2020-11-22,0.62347
2020-11-23,5.05639
2020-11-24,4.13429
2020-11-25,4.00314
2020-11-26,3.57942
2020-11-27,3.07903
2020-11-28,0.45398
2020-11-29,0.36924
2020-11-30,2.82076
2020-12-01,4.25737
2020-12-02,4.02332
2020-12-03,3.66618
2020-12-04,3.54916
2020-12-05,0.5246
2020-12-06,0.52864
2020-12-07,3.79935
2020-12-08,4.74163
2020-12-09,4.41677
2020-12-10,5.37922
2020-12-11,5.57293
2020-12-12,0.68198
2020-12-13,0.50644
2020-12-14,3.73479
2020-12-15,3.89822
2020-12-16,3.80339
2020-12-17,2.93779
2020-12-18,3.26062
2020-12-19,0.43179
2020-12-20,0.46003
2020-12-21,3.77514
2020-12-22,3.19
2020-12-23,3.04675
2020-12-24,3.06087
2020-12-25,0.4217
2020-12-26,0.29256
2020-12-27,0.37933
2020-12-28,3.04675
2020-12-29,3.25659
2020-12-30,3.10728
2020-12-31,0.68804
2021-01-01,0.34704
2021-01-02,0.37731
2021-01-03,0.44389
2021-01-04,4.45915
2021-01-05,5.80093
2021-01-06,6.01077
2021-01-07,7.55634
2021-01-08,6.13385
2021-01-09,0.99473
2021-01-10,1.06737
2021-01-11,5.91795
2021-01-12,4.75373
2021-01-13,4.63671
2021-01-14,7.06805
2021-01-15,5.83321
2021-01-16,1.0714
2021-01-17,0.98464
2021-01-18,7.82066
2021-01-19,8.97883
2021-01-20,6.73715
2021-01-21,6.2872
2021-01-22,5.55073
2021-01-23,0.77278
2021-01-24,0.66181
2021-01-25,5.02612
2021-01-26,4.91717
2021-01-27,6.00068
2021-01-28,4.443
2021-01-29,4.34817
2021-01-30,0.55487
2021-01-31,0.41363
2021-02-01,4.45108
2021-02-02,4.81225
2021-02-03,4.42485
2021-02-04,4.67504
2021-02-05,4.63872
2021-02-06,0.78085
2021-02-07,0.68804
2021-02-08,3.83567
2021-02-09,4.11412
2021-02-10,5.65565
2021-02-11,0.7869
2021-02-12,0.6154
2021-02-13,0.5246
2021-02-14,0.92814
2021-02-15,8.52686
2021-02-16,6.51116
2021-02-17,5.37115
2021-02-18,6.01279
2021-02-19,5.3651
2021-02-20,0.73646
2021-02-21,0.63154
2021-02-22,4.6811
2021-02-23,4.71136
2021-02-24,4.98981
2021-02-25,4.86672
2021-02-26,3.49871
2021-02-27,0.72234
2021-02-28,0.58917
2021-03-01,0.86358
2021-03-02,4.09192
2021-03-03,3.83164
2021-03-04,3.15772
2021-03-05,2.81471
2021-03-06,0.4338
2021-03-07,0.37529
2021-03-08,2.92568
2021-03-09,2.9277
2021-03-10,2.91963
2021-03-11,3.45432
2021-03-12,5.13306
2021-03-13,0.7062
2021-03-14,0.52057
2021-03-15,4.01727
2021-03-16,5.32676
2021-03-17,3.94261
2021-03-18,3.62785
2021-03-19,3.3373
2021-03-20,0.52258
2021-03-21,0.52057
2021-03-22,3.21825
2021-03-23,2.54232
2021-03-24,2.52012
2021-03-25,2.8934
2021-03-26,2.61294
2021-03-27,0.3531
2021-03-28,0.29862
2021-03-29,3.20413
2021-03-30,2.91761
2021-03-31,2.73602
2021-04-01,2.74611
2021-04-02,2.56855
2021-04-03,0.53469
2021-04-04,0.35511
2021-04-05,2.6089
2021-04-06,2.40713
2021-04-07,2.50398
2021-04-08,2.52617
2021-04-09,2.26589
2021-04-10,0.2401
2021-04-11,0.24212
2021-04-12,2.93577
2021-04-13,3.63794
2021-04-14,3.08105
2021-04-15,3.69847
2021-04-16,3.74084
2021-04-17,0.5589
2021-04-18,0.44187
2021-04-19,3.83971
2021-04-20,3.96077
2021-04-21,3.64399
2021-04-22,4.53784
2021-04-23,7.08218
2021-04-24,1.43056
2021-04-25,1.1622
2021-04-26,10.3993
2021-04-27,8.50668
2021-04-28,5.53862
2021-04-29,5.54871
2021-04-30,4.63065
2021-05-01,0.94227
2021-05-02,0.69409
2021-05-03,4.35826
2021-05-04,5.37115
2021-05-05,0.94025
2021-05-06,5.43774
2021-05-07,4.74566
2021-05-08,0.58311
