date,나스닥선물지수
2020-03-20,62.88935
2020-03-21,18.42776
2020-03-22,10.30554
2020-03-23,100.0
2020-03-24,65.79649
2020-03-25,85.47018
2020-03-26,71.97864
2020-03-27,57.91159
2020-03-28,13.97804
2020-03-29,8.18154
2020-03-30,55.77573
2020-03-31,42.52743
2020-04-01,49.11302
2020-04-02,49.62919
2020-04-03,37.66241
2020-04-04,7.36873
2020-04-05,4.24206
2020-04-06,33.22456
2020-04-07,39.31177
2020-04-08,40.17205
2020-04-09,33.27795
2020-04-10,20.18985
2020-04-11,3.44704
2020-04-12,3.21566
2020-04-13,34.00177
2020-04-14,23.36991
2020-04-15,17.32423
2020-04-16,26.48472
2020-04-17,22.49777
2020-04-18,5.7075
2020-04-19,3.20973
2020-04-20,26.59744
2020-04-21,30.79798
2020-04-22,29.3622
2020-04-23,24.71076
2020-04-24,21.27558
2020-04-25,4.40225
2020-04-26,2.08246
2020-04-27,17.7692
2020-04-28,18.71254
2020-04-29,14.73746
2020-04-30,9.57579
2020-05-01,12.83892
2020-05-02,4.33699
2020-05-03,2.27232
2020-05-04,19.99406
2020-05-05,12.73212
2020-05-06,18.16078
2020-05-07,14.59507
2020-05-08,10.73865
2020-05-09,2.71729
2020-05-10,1.37644
2020-05-11,13.12963
2020-05-12,13.11183
2020-05-13,14.12637
2020-05-14,16.00711
2020-05-15,11.59299
2020-05-16,2.34351
2020-05-17,1.14506
2020-05-18,10.69712
2020-05-19,11.11836
2020-05-20,9.8665
2020-05-21,9.82497
2020-05-22,11.04716
2020-05-23,2.02907
2020-05-24,0.84247
2020-05-25,8.62058
2020-05-26,8.9469
2020-05-27,9.39187
2020-05-28,10.47167
2020-05-29,8.60872
2020-05-30,1.91041
2020-05-31,0.86621
2020-06-01,8.49006
2020-06-02,8.22307
2020-06-03,7.25007
2020-06-04,7.67724
2020-06-05,6.98309
2020-06-06,1.66122
2020-06-07,0.92554
2020-06-08,8.56125
2020-06-09,10.13349
2020-06-10,9.02996
2020-06-11,12.39394
2020-06-12,21.64936
2020-06-13,3.28685
2020-06-14,1.76802
2020-06-15,31.79471
2020-06-16,24.18866
2020-06-17,20.54583
2020-06-18,18.98546
2020-06-19,14.79679
2020-06-20,3.76149
2020-06-21,1.70869
2020-06-22,16.87926
2020-06-23,19.3177
2020-06-24,20.15425
2020-06-25,35.16463
2020-06-26,19.25244
2020-06-27,5.35152
2020-06-28,2.82408
2020-06-29,34.37555
2020-06-30,23.96321
2020-07-01,23.0258
2020-07-02,17.59121
2020-07-03,13.45594
2020-07-04,3.37585
2020-07-05,1.53663
2020-07-06,16.07238
2020-07-07,19.72115
2020-07-08,18.17264
2020-07-09,15.39602
2020-07-10,16.79026
2020-07-11,2.76475
2020-07-12,1.37051
2020-07-13,15.33076
2020-07-14,25.2032
