date,상속취득세
2020-03-20,24.35064
2020-03-21,12.33766
2020-03-22,12.98701
2020-03-23,34.74025
2020-03-24,29.87012
2020-03-25,33.44155
2020-03-26,27.27272
2020-03-27,21.75324
2020-03-28,7.7922
2020-03-29,14.28571
2020-03-30,27.27272
2020-03-31,23.37662
2020-04-01,20.77922
2020-04-02,25.64935
2020-04-03,22.40259
2020-04-04,9.74025
2020-04-05,13.96103
2020-04-06,32.14285
2020-04-07,33.76623
2020-04-08,29.54545
2020-04-09,28.57142
2020-04-10,25.97402
2020-04-11,16.23376
2020-04-12,21.10389
2020-04-13,37.98701
2020-04-14,29.54545
2020-04-15,17.53246
2020-04-16,27.92207
2020-04-17,34.74025
2020-04-18,11.68831
2020-04-19,17.85714
2020-04-20,44.15584
2020-04-21,34.41558
2020-04-22,37.01298
2020-04-23,25.0
2020-04-24,29.22077
2020-04-25,16.23376
2020-04-26,23.70129
2020-04-27,41.55844
2020-04-28,40.25974
2020-04-29,36.36363
2020-04-30,12.66233
2020-05-01,25.97402
2020-05-02,10.71428
2020-05-03,12.33766
2020-05-04,32.46753
2020-05-05,12.01298
2020-05-06,32.46753
2020-05-07,37.33766
2020-05-08,20.77922
2020-05-09,13.31168
2020-05-10,10.38961
2020-05-11,24.67532
2020-05-12,30.1948
2020-05-13,32.14285
2020-05-14,31.16883
2020-05-15,32.14285
2020-05-16,12.33766
2020-05-17,15.25974
2020-05-18,31.81818
2020-05-19,33.76623
2020-05-20,33.76623
2020-05-21,33.11688
2020-05-22,22.72727
2020-05-23,14.93506
2020-05-24,16.55844
2020-05-25,38.96103
2020-05-26,34.41558
2020-05-27,31.4935
2020-05-28,28.57142
2020-05-29,23.05194
2020-05-30,9.0909
2020-05-31,10.38961
2020-06-01,23.70129
2020-06-02,24.02597
2020-06-03,21.75324
2020-06-04,25.64935
2020-06-05,24.35064
2020-06-06,15.25974
2020-06-07,10.71428
2020-06-08,29.54545
2020-06-09,31.81818
2020-06-10,18.83116
2020-06-11,23.37662
2020-06-12,30.84415
2020-06-13,13.96103
2020-06-14,16.55844
2020-06-15,31.4935
2020-06-16,27.5974
2020-06-17,29.87012
2020-06-18,25.97402
2020-06-19,22.72727
2020-06-20,12.66233
2020-06-21,16.55844
2020-06-22,34.0909
2020-06-23,33.76623
2020-06-24,28.57142
2020-06-25,28.24675
2020-06-26,22.72727
2020-06-27,19.15584
2020-06-28,9.41558
2020-06-29,27.92207
2020-06-30,34.74025
2020-07-01,24.02597
2020-07-02,19.80519
2020-07-03,23.70129
2020-07-04,13.63636
2020-07-05,12.98701
2020-07-06,24.67532
2020-07-07,29.22077
2020-07-08,27.5974
2020-07-09,36.36363
2020-07-10,51.94805
2020-07-11,47.72727
2020-07-12,59.0909
