date,연말정산환급
2020-03-20,7.28216
2020-03-21,1.98604
2020-03-22,1.44927
2020-03-23,4.29414
2020-03-24,4.07944
2020-03-25,5.0814
2020-03-26,3.11325
2020-03-27,2.73752
2020-03-28,1.28824
2020-03-29,1.21667
2020-03-30,4.22258
2020-03-31,5.00984
2020-04-01,3.29218
2020-04-02,2.66595
2020-04-03,2.7733
2020-04-04,0.94829
2020-04-05,1.1451
2020-04-06,2.88065
2020-04-07,2.21864
2020-04-08,2.45124
2020-04-09,2.02182
2020-04-10,2.82698
2020-04-11,0.73358
2020-04-12,0.55466
2020-04-13,1.96815
2020-04-14,1.44927
2020-04-15,0.87672
2020-04-16,1.73555
2020-04-17,1.62819
2020-04-18,0.59044
2020-04-19,0.57255
2020-04-20,2.21864
2020-04-21,1.75344
2020-04-22,1.73555
2020-04-23,1.57452
2020-04-24,2.34388
2020-04-25,0.48309
2020-04-26,0.6799
2020-04-27,1.86079
2020-04-28,1.50295
2020-04-29,1.48505
2020-04-30,0.6799
2020-05-01,2.16496
2020-05-02,1.23456
2020-05-03,1.39559
2020-05-04,2.80908
2020-05-05,1.52084
2020-05-06,2.37967
2020-05-07,2.37967
2020-05-08,2.29021
2020-05-09,1.19878
2020-05-10,0.78726
2020-05-11,2.80908
2020-05-12,2.48702
2020-05-13,2.16496
2020-05-14,2.09339
2020-05-15,2.20075
2020-05-16,1.03775
2020-05-17,0.85882
2020-05-18,1.75344
2020-05-19,1.75344
2020-05-20,1.78922
2020-05-21,1.75344
2020-05-22,1.27035
2020-05-23,0.53676
2020-05-24,0.69779
2020-05-25,2.70173
2020-05-26,2.27232
2020-05-27,1.75344
2020-05-28,1.50295
2020-05-29,1.77133
2020-05-30,0.66201
2020-05-31,0.69779
2020-06-01,1.59241
2020-06-02,1.3777
2020-06-03,1.05564
2020-06-04,1.01986
2020-06-05,1.03775
2020-06-06,0.48309
2020-06-07,0.59044
2020-06-08,1.18089
2020-06-09,1.07353
2020-06-10,1.64609
2020-06-11,1.34192
2020-06-12,1.18089
2020-06-13,0.51887
2020-06-14,0.41152
2020-06-15,1.59241
2020-06-16,1.32402
2020-06-17,1.09142
2020-06-18,1.28824
2020-06-19,1.35981
2020-06-20,0.60833
2020-06-21,0.64412
2020-06-22,1.87869
2020-06-23,1.46716
2020-06-24,1.41349
2020-06-25,1.48505
2020-06-26,1.07353
2020-06-27,0.35784
2020-06-28,0.62623
2020-06-29,1.23456
2020-06-30,1.6103
2020-07-01,1.12721
2020-07-02,0.85882
2020-07-03,0.78726
2020-07-04,0.37573
2020-07-05,0.50098
2020-07-06,0.96618
2020-07-07,1.1451
2020-07-08,1.09142
2020-07-09,0.85882
2020-07-10,1.16299
2020-07-11,0.28627
2020-07-12,0.2147
2020-07-13,0.75147
2020-07-14,0.6799
2020-07-15,0.46519
2020-07-16,0.66201
2020-07-17,0.37573
2020-07-18,0.23259
2020-07-19,0.12524
2020-07-20,0.69779
2020-07-21,0.80515
2020-07-22,0.59044
2020-07-23,0.64412
2020-07-24,0.78726
2020-07-25,0.17892
2020-07-26,0.28627
2020-07-27,0.62623
2020-07-28,0.59044
2020-07-29,0.53676
2020-07-30,0.4473
2020-07-31,0.39363
2020-08-01,0.17892
2020-08-02,0.37573
2020-08-03,0.62623
2020-08-04,0.4473
2020-08-05,0.50098
2020-08-06,0.48309
2020-08-07,0.51887
2020-08-08,0.10735
2020-08-09,0.30416
2020-08-10,0.66201
2020-08-11,0.53676
2020-08-12,0.55466
2020-08-13,0.46519
2020-08-14,0.64412
2020-08-15,0.17892
2020-08-16,0.32206
2020-08-17,0.33995
2020-08-18,0.60833
2020-08-19,1.3777
2020-08-20,0.69779
2020-08-21,0.50098
2020-08-22,0.30416
2020-08-23,0.28627
2020-08-24,0.82304
2020-08-25,0.82304
2020-08-26,0.50098
2020-08-27,0.53676
2020-08-28,0.4473
2020-08-29,0.2147
2020-08-30,0.41152
2020-08-31,0.71569
2020-09-01,0.51887
2020-09-02,0.4473
2020-09-03,0.37573
2020-09-04,0.30416
2020-09-05,0.25049
2020-09-06,0.30416
2020-09-07,0.48309
2020-09-08,0.64412
2020-09-09,0.62623
2020-09-10,0.76936
2020-09-11,0.55466
2020-09-12,0.16103
2020-09-13,0.2147
2020-09-14,0.42941
2020-09-15,0.57255
2020-09-16,0.71569
2020-09-17,0.48309
2020-09-18,0.4473
2020-09-19,0.26838
2020-09-20,0.19681
2020-09-21,0.60833
2020-09-22,0.59044
2020-09-23,0.50098
2020-09-24,0.51887
2020-09-25,0.66201
2020-09-26,0.17892
2020-09-27,0.10735
2020-09-28,0.42941
2020-09-29,0.48309
2020-09-30,0.26838
2020-10-01,0.17892
2020-10-02,0.12524
2020-10-03,0.12524
2020-10-04,0.10735
