date,바이오주식
2020-03-20,58.94886
2020-03-21,31.74715
2020-03-22,32.59943
2020-03-23,74.60937
2020-03-24,59.23295
2020-03-25,78.97727
2020-03-26,98.36647
2020-03-27,88.17471
2020-03-28,45.91619
2020-03-29,41.83238
2020-03-30,77.94744
2020-03-31,98.93465
2020-04-01,100.0
2020-04-02,62.00284
2020-04-03,46.66193
2020-04-04,30.11363
2020-04-05,35.36931
2020-04-06,49.36079
2020-04-07,56.46306
2020-04-08,51.59801
2020-04-09,53.01846
2020-04-10,66.22869
2020-04-11,44.85085
2020-04-12,45.41903
2020-04-13,52.87642
2020-04-14,47.94034
2020-04-15,26.84659
2020-04-16,32.56392
2020-04-17,41.5838
2020-04-18,30.39772
2020-04-19,28.7642
2020-04-20,46.09375
2020-04-21,41.54829
2020-04-22,47.5142
2020-04-23,44.85085
2020-04-24,33.16761
2020-04-25,24.53835
2020-04-26,23.50852
2020-04-27,34.41051
2020-04-28,33.34517
2020-04-29,30.46875
2020-04-30,26.38494
2020-05-01,21.55539
2020-05-02,16.54829
2020-05-03,17.89772
2020-05-04,43.43039
2020-05-05,21.12926
2020-05-06,25.71022
2020-05-07,20.70312
2020-05-08,23.04687
2020-05-09,16.54829
2020-05-10,14.41761
2020-05-11,24.36079
2020-05-12,19.24715
2020-05-13,23.47301
2020-05-14,21.94602
2020-05-15,17.47159
2020-05-16,11.43465
2020-05-17,10.83096
2020-05-18,16.69034
2020-05-19,23.50852
2020-05-20,20.45454
2020-05-21,21.48437
2020-05-22,17.29403
2020-05-23,11.32812
2020-05-24,11.39914
2020-05-25,16.15767
2020-05-26,19.14062
2020-05-27,17.93323
2020-05-28,14.55965
2020-05-29,13.56534
2020-05-30,9.73011
2020-05-31,8.55823
2020-06-01,18.96306
2020-06-02,22.94034
2020-06-03,22.72727
2020-06-04,18.32386
2020-06-05,18.82102
2020-06-06,10.0142
2020-06-07,9.41051
2020-06-08,16.54829
2020-06-09,17.25852
2020-06-10,26.10085
2020-06-11,27.87642
2020-06-12,24.68039
2020-06-13,13.60085
2020-06-14,12.53551
2020-06-15,19.99289
2020-06-16,19.0696
2020-06-17,15.30539
2020-06-18,13.70738
2020-06-19,15.58948
2020-06-20,11.78977
2020-06-21,9.83664
2020-06-22,18.82102
2020-06-23,20.3125
2020-06-24,28.05397
2020-06-25,20.70312
2020-06-26,16.44176
2020-06-27,10.86647
2020-06-28,9.0909
