date,에르메스가방
2020-03-20,6.8798
2020-03-21,7.97081
2020-03-22,8.83855
2020-03-23,6.72328
2020-03-24,6.67265
2020-03-25,6.83837
2020-03-26,7.02481
2020-03-27,7.66468
2020-03-28,8.88229
2020-03-29,8.13883
2020-03-30,6.82916
2020-03-31,6.72328
2020-04-01,6.76932
2020-04-02,6.3412
2020-04-03,7.4184
2020-04-04,8.69815
2020-04-05,9.33572
2020-04-06,7.47134
2020-04-07,7.31252
2020-04-08,8.12733
2020-04-09,8.33678
2020-04-10,10.15053
2020-04-11,13.24863
2020-04-12,13.79643
2020-04-13,9.73622
2020-04-14,12.75606
2020-04-15,15.17976
2020-04-16,12.0057
2020-04-17,12.31874
2020-04-18,15.3731
2020-04-19,14.07724
2020-04-20,11.33591
2020-04-21,13.53634
2020-04-22,11.26686
2020-04-23,10.67762
2020-04-24,10.82493
2020-04-25,11.67886
2020-04-26,11.00216
2020-04-27,8.98816
2020-04-28,8.81554
2020-04-29,8.16415
2020-04-30,9.86742
2020-05-01,9.75463
2020-05-02,9.3104
2020-05-03,10.13902
2020-05-04,8.51401
2020-05-05,9.86051
2020-05-06,8.55774
2020-05-07,8.21249
2020-05-08,8.47258
2020-05-09,9.78225
2020-05-10,9.61883
2020-05-11,8.52782
2020-05-12,10.69143
2020-05-13,11.41416
2020-05-14,12.2658
2020-05-15,11.76402
2020-05-16,13.98287
2020-05-17,14.19233
2020-05-18,9.3081
2020-05-19,11.00906
2020-05-20,9.79606
2020-05-21,9.13317
2020-05-22,8.66362
2020-05-23,10.383
2020-05-24,10.71214
2020-05-25,8.57156
2020-05-26,7.83041
2020-05-27,7.67389
2020-05-28,6.65884
2020-05-29,6.65193
2020-05-30,7.72913
2020-05-31,8.81323
2020-06-01,6.92353
2020-06-02,7.64857
2020-06-03,8.83395
2020-06-04,7.76135
2020-06-05,7.03171
2020-06-06,8.16415
2020-06-07,8.05137
2020-06-08,6.99489
2020-06-09,7.18823
2020-06-10,7.5519
2020-06-11,7.33554
2020-06-12,7.32173
2020-06-13,7.87644
2020-06-14,7.37006
2020-06-15,7.69691
2020-06-16,7.05013
2020-06-17,7.04092
2020-06-18,6.73019
2020-06-19,7.0087
2020-06-20,7.29641
2020-06-21,7.77286
2020-06-22,6.72559
2020-06-23,7.08465
2020-06-24,6.66114
2020-06-25,6.85678
2020-06-26,6.68646
2020-06-27,7.51047
2020-06-28,57.77516
2020-06-29,35.38185
2020-06-30,12.65939
2020-07-01,10.05616
2020-07-02,9.02039
2020-07-03,9.22984
2020-07-04,10.19426
2020-07-05,9.94337
2020-07-06,8.88229
2020-07-07,8.51862
2020-07-08,7.86953
2020-07-09,8.66362
2020-07-10,8.57386
2020-07-11,10.73976
2020-07-12,9.68558
2020-07-13,7.77286
2020-07-14,100.0
2020-07-15,8.67283
2020-07-16,8.28154
2020-07-17,7.44602
2020-07-18,10.97454
2020-07-19,10.03544
2020-07-20,9.46462
2020-07-21,9.85591
2020-07-22,8.47949
2020-07-23,8.26773
2020-07-24,7.90636
2020-07-25,10.04695
2020-07-26,9.41168
2020-07-27,8.34138
2020-07-28,7.64857
2020-07-29,7.83961
2020-07-30,10.77429
2020-07-31,8.19638
2020-08-01,8.97896
2020-08-02,8.66132
2020-08-03,6.94655
2020-08-04,7.23426
2020-08-05,7.49436
2020-08-06,7.72913
2020-08-07,9.75924
2020-08-08,10.39451
2020-08-09,9.3012
2020-08-10,8.04446
2020-08-11,7.34244
2020-08-12,7.20204
2020-08-13,8.10891
2020-08-14,7.71072
2020-08-15,8.51631
2020-08-16,8.71426
2020-08-17,9.53367
2020-08-18,7.08005
2020-08-19,6.94195
2020-08-20,7.92708
2020-08-21,7.2826
2020-08-22,9.00888
2020-08-23,9.00197
2020-08-24,6.86599
2020-08-25,6.52534
2020-08-26,8.02375
2020-08-27,7.77056
2020-08-28,7.07084
2020-08-29,7.6854
2020-08-30,7.8189
2020-08-31,6.14325
2020-09-01,6.58978
2020-09-02,6.99258
2020-09-03,7.00179
2020-09-04,6.71868
2020-09-05,7.80969
2020-09-06,8.40353
2020-09-07,7.10537
2020-09-08,7.39078
2020-09-09,7.5588
2020-09-10,6.85218
2020-09-11,7.6854
2020-09-12,9.17
2020-09-13,9.12396
2020-09-14,7.88104
2020-09-15,7.34244
2020-09-16,6.8844
2020-09-17,7.22506
2020-09-18,8.75109
2020-09-19,9.27127
2020-09-20,8.39202
2020-09-21,7.70611
2020-09-22,9.95948
2020-09-23,8.94904
2020-09-24,7.93168
2020-09-25,8.02145
2020-09-26,10.23799
2020-09-27,10.20116
2020-09-28,8.53703
2020-09-29,8.21019
2020-09-30,8.00533
2020-10-01,9.32882
2020-10-02,10.63849
2020-10-03,10.35998
2020-10-04,11.63283
2020-10-05,8.9053
2020-10-06,8.32527
2020-10-07,32.54845
2020-10-08,20.03636
2020-10-09,13.64452
2020-10-10,12.07706
2020-10-11,11.0597
2020-10-12,8.77641
2020-10-13,9.67637
2020-10-14,9.4439
2020-10-15,10.59245
2020-10-16,9.22524
2020-10-17,9.76384
