date,ISA중개형
2020-11-11,0.13616
2020-12-08,0.13616
2021-01-04,0.16339
2021-01-18,0.19063
2021-01-19,0.19063
2021-01-21,0.38126
2021-01-22,0.16339
2021-01-27,0.13616
2021-01-29,0.21786
2021-02-01,0.13616
2021-02-02,0.27233
2021-02-03,0.29956
2021-02-04,0.13616
2021-02-05,0.21786
2021-02-08,0.13616
2021-02-09,0.13616
2021-02-15,0.16339
2021-02-17,0.35403
2021-02-18,0.73529
2021-02-19,0.40849
2021-02-20,0.54466
2021-02-22,2.34204
2021-02-23,3.40413
2021-02-24,4.30283
2021-02-25,10.37581
2021-02-26,10.18518
2021-02-27,10.62091
2021-02-28,8.41503
2021-03-01,9.74945
2021-03-02,18.84531
2021-03-03,21.05119
2021-03-04,24.183
2021-03-05,20.96949
2021-03-06,16.2854
2021-03-07,18.27342
2021-03-08,26.52505
2021-03-09,23.12091
2021-03-10,22.68518
2021-03-11,23.22984
2021-03-12,31.39978
2021-03-13,21.05119
2021-03-14,20.88779
2021-03-15,32.87037
2021-03-16,30.47385
2021-03-17,29.0305
2021-03-18,26.90631
2021-03-19,24.12854
2021-03-20,15.25054
2021-03-21,17.34749
2021-03-22,27.88671
2021-03-23,28.0501
2021-03-24,27.94117
2021-03-25,24.37363
2021-03-26,21.62309
2021-03-27,15.30501
2021-03-28,15.57734
2021-03-29,24.72766
2021-03-30,25.27233
2021-03-31,24.56427
2021-04-01,23.42047
2021-04-02,19.9891
2021-04-03,14.18845
2021-04-04,13.88888
2021-04-05,22.68518
2021-04-06,21.65032
2021-04-07,21.43246
2021-04-08,22.30392
2021-04-09,23.14814
2021-04-10,13.69825
2021-04-11,12.82679
2021-04-12,24.8366
2021-04-13,24.9183
2021-04-14,24.48257
2021-04-15,23.50217
2021-04-16,23.50217
2021-04-17,15.30501
2021-04-18,15.08714
2021-04-19,23.80174
2021-04-20,23.96514
2021-04-21,22.00435
2021-04-22,23.03921
2021-04-23,21.16013
2021-04-24,13.45315
2021-04-25,13.94335
2021-04-26,30.14705
2021-04-27,38.39869
2021-04-28,32.92483
2021-04-29,21.51416
2021-04-30,14.73311
2021-05-01,9.64052
2021-05-02,8.66013
2021-05-03,22.16775
2021-05-04,16.47603
2021-05-05,11.13834
2021-05-06,15.33224
2021-05-07,14.51525
2021-05-08,8.52396
2021-05-09,9.83115
2021-05-10,16.91176
2021-05-11,15.27777
2021-05-12,13.61655
2021-05-13,13.18082
2021-05-14,11.98257
2021-05-15,6.07298
2021-05-16,7.29847
2021-05-17,12.88126
2021-05-18,10.72984
2021-05-19,7.244
2021-05-20,10.94771
2021-05-21,12.47276
2021-05-22,6.78104
2021-05-23,6.34531
2021-05-24,9.44989
2021-05-25,10.78431
2021-05-26,10.70261
2021-05-27,11.54684
2021-05-28,8.46949
2021-05-29,4.00326
2021-05-30,4.57516
2021-05-31,9.58605
2021-06-01,9.28649
2021-06-02,16.69389
2021-06-03,14.02505
2021-06-04,12.30936
2021-06-05,7.38017
2021-06-06,5.69172
2021-06-07,10.59368
2021-06-08,10.15795
2021-06-09,8.38779
2021-06-10,8.93246
2021-06-11,6.64488
2021-06-12,4.73856
2021-06-13,5.09259
2021-06-14,9.44989
2021-06-15,16.63943
2021-06-16,10.56644
2021-06-17,10.32135
2021-06-18,9.23202
2021-06-19,5.31045
2021-06-20,5.52832
2021-06-21,8.87799
2021-06-22,10.13071
2021-06-23,10.62091
2021-06-24,10.72984
2021-06-25,10.43028
2021-06-26,7.54357
2021-06-27,8.87799
2021-06-28,15.44117
2021-06-29,16.99346
2021-06-30,15.93137
2021-07-01,10.37581
2021-07-02,7.92483
2021-07-03,7.43464
2021-07-04,7.4074
2021-07-05,9.58605
2021-07-06,10.53921
2021-07-07,11.13834
2021-07-08,10.10348
2021-07-09,8.33333
2021-07-10,4.41176
2021-07-11,5.93681
2021-07-12,9.72222
2021-07-13,8.95969
2021-07-14,7.244
2021-07-15,7.4074
2021-07-16,6.72657
2021-07-17,4.98366
2021-07-18,5.63725
2021-07-19,8.57843
2021-07-20,8.11546
2021-07-21,10.59368
2021-07-22,11.13834
2021-07-23,16.33986
2021-07-24,9.91285
2021-07-25,16.47603
2021-07-26,51.93355
2021-07-27,56.88997
2021-07-28,34.66775
2021-07-29,29.43899
2021-07-30,22.03159
2021-07-31,14.56971
2021-08-01,22.73965
2021-08-02,31.67211
2021-08-03,23.17538
2021-08-04,22.90305
2021-08-05,27.55991
2021-08-06,23.03921
2021-08-07,14.65141
2021-08-08,20.58823
2021-08-09,30.63725
2021-08-10,25.32679
2021-08-11,23.9379
2021-08-12,22.63071
2021-08-13,22.65795
2021-08-14,11.7647
2021-08-15,10.29411
2021-08-16,16.83006
2021-08-17,21.84095
2021-08-18,21.26906
2021-08-19,17.21132
2021-08-20,16.69389
2021-08-21,8.41503
2021-08-22,10.07625
2021-08-23,17.12962
2021-08-24,18.30065
2021-08-25,19.55337
2021-08-26,17.56535
2021-08-27,18.65468
2021-08-28,11.54684
2021-08-29,9.55882
2021-08-30,19.68954
2021-08-31,25.35403
2021-09-01,24.6732
2021-09-02,21.02396
2021-09-03,24.80936
2021-09-04,16.01307
2021-09-05,15.22331
2021-09-06,21.65032
2021-09-07,25.10893
2021-09-08,25.49019
2021-09-09,15.6318
2021-09-10,14.48801
2021-09-11,9.91285
2021-09-12,9.31372
2021-09-13,14.24291
2021-09-14,15.08714
2021-09-15,15.08714
2021-09-16,14.13398
2021-09-17,18.02832
2021-09-18,10.13071
2021-09-19,8.49673
2021-09-20,8.76906
2021-09-21,10.10348
2021-09-22,13.31699
2021-09-23,20.12527
2021-09-24,20.20697
2021-09-25,11.24727
2021-09-26,11.11111
2021-09-27,17.29302
2021-09-28,15.74074
2021-09-29,14.76034
2021-09-30,13.86165
2021-10-01,10.13071
2021-10-02,5.39215
2021-10-03,7.244
2021-10-04,6.80827
2021-10-05,10.72984
2021-10-06,10.72984
2021-10-07,12.06427
2021-10-08,12.11873
2021-10-09,6.29084
2021-10-10,5.06535
2021-10-11,7.02614
2021-10-12,13.20806
2021-10-13,11.41067
2021-10-14,12.20043
2021-10-15,11.16557
2021-10-16,6.72657
2021-10-17,6.39978
2021-10-18,10.34858
2021-10-19,11.79193
2021-10-20,12.88126
2021-10-21,11.57407
2021-10-22,11.65577
2021-10-23,7.4891
2021-10-24,11.54684
2021-10-25,27.28758
2021-10-26,22.84858
2021-10-27,14.54248
2021-10-28,14.73311
2021-10-29,14.48801
2021-10-30,8.1427
