date,법률
2020-03-20,57.66961
2020-03-21,42.33038
2020-03-22,43.36283
2020-03-23,67.40412
2020-03-24,74.04129
2020-03-25,73.45132
2020-03-26,65.04424
2020-03-27,63.27433
2020-03-28,41.59292
2020-03-29,43.65781
2020-03-30,66.37168
2020-03-31,64.30678
2020-04-01,58.99705
2020-04-02,61.06194
2020-04-03,55.01474
2020-04-04,38.93805
2020-04-05,40.41297
2020-04-06,60.76696
2020-04-07,57.22713
2020-04-08,58.99705
2020-04-09,67.40412
2020-04-10,61.06194
2020-04-11,29.35103
2020-04-12,41.29793
2020-04-13,66.66666
2020-04-14,64.01179
2020-04-15,42.77286
2020-04-16,69.76401
2020-04-17,65.33923
2020-04-18,39.52802
2020-04-19,38.64306
2020-04-20,72.56637
2020-04-21,70.79646
2020-04-22,70.79646
2020-04-23,68.14159
2020-04-24,59.43952
2020-04-25,38.20058
2020-04-26,43.65781
2020-04-27,69.02654
2020-04-28,65.04424
2020-04-29,60.61946
2020-04-30,47.9351
2020-05-01,44.10029
2020-05-02,28.46607
2020-05-03,38.79056
2020-05-04,60.17699
2020-05-05,36.13569
2020-05-06,74.77876
2020-05-07,68.14159
2020-05-08,66.07669
2020-05-09,38.34808
2020-05-10,41.74041
2020-05-11,70.50147
2020-05-12,71.9764
2020-05-13,69.32153
2020-05-14,80.08849
2020-05-15,61.65191
2020-05-16,36.57817
2020-05-17,40.26548
2020-05-18,73.74631
2020-05-19,79.49852
2020-05-20,67.25663
2020-05-21,74.04129
2020-05-22,67.8466
2020-05-23,38.93805
2020-05-24,40.56047
2020-05-25,66.96165
2020-05-26,75.66371
2020-05-27,77.13864
2020-05-28,74.18879
2020-05-29,64.45427
2020-05-30,36.57817
2020-05-31,46.16519
2020-06-01,74.33628
2020-06-02,73.45132
2020-06-03,74.77876
2020-06-04,72.12389
2020-06-05,61.20943
2020-06-06,36.43067
2020-06-07,44.10029
2020-06-08,68.28908
2020-06-09,68.14159
2020-06-10,67.40412
2020-06-11,62.83185
2020-06-12,61.20943
2020-06-13,42.18289
2020-06-14,45.57522
2020-06-15,70.94395
2020-06-16,72.56637
2020-06-17,73.59882
2020-06-18,57.8171
2020-06-19,67.10914
2020-06-20,39.23303
2020-06-21,50.73746
2020-06-22,82.30088
2020-06-23,73.30383
2020-06-24,79.05604
2020-06-25,67.25663
2020-06-26,62.24188
2020-06-27,34.95575
2020-06-28,49.26253
2020-06-29,75.9587
2020-06-30,68.58407
2020-07-01,72.56637
2020-07-02,79.64601
2020-07-03,64.15929
2020-07-04,40.41297
2020-07-05,49.41002
2020-07-06,83.18584
2020-07-07,80.82595
2020-07-08,82.74336
2020-07-09,68.73156
2020-07-10,64.30678
2020-07-11,35.25073
2020-07-12,48.82005
2020-07-13,79.64601
2020-07-14,70.20648
2020-07-15,77.28613
2020-07-16,67.69911
2020-07-17,67.25663
2020-07-18,48.08259
2020-07-19,43.9528
2020-07-20,72.71386
2020-07-21,65.9292
2020-07-22,56.93215
2020-07-23,65.19174
2020-07-24,48.67256
2020-07-25,25.36873
2020-07-26,36.87315
2020-07-27,54.71976
2020-07-28,49.70501
2020-07-29,51.76991
2020-07-30,48.82005
2020-07-31,37.16814
2020-08-01,27.13864
2020-08-02,27.58112
2020-08-03,50.29498
2020-08-04,52.65486
2020-08-05,52.80235
2020-08-06,53.09734
2020-08-07,49.55752
2020-08-08,26.69616
2020-08-09,29.35103
2020-08-10,55.8997
2020-08-11,54.12979
2020-08-12,49.11504
2020-08-13,48.37758
2020-08-14,40.85545
2020-08-15,23.30383
