date,LG전자주가
2020-03-20,2.49612
2020-03-21,0.41141
2020-03-22,0.31586
2020-03-23,2.39715
2020-03-24,2.43058
2020-03-25,2.56061
2020-03-26,2.89016
2020-03-27,2.49454
2020-03-28,0.40904
2020-03-29,0.28322
2020-03-30,2.14288
2020-03-31,1.95046
2020-04-01,2.27659
2020-04-02,2.25554
2020-04-03,2.01258
2020-04-04,0.31902
2020-04-05,0.23637
2020-04-06,1.8715
2020-04-07,2.88779
2020-04-08,2.80856
2020-04-09,2.34819
2020-04-10,2.12708
2020-04-11,0.30428
2020-04-12,0.28717
2020-04-13,1.84438
2020-04-14,1.75989
2020-04-15,0.29849
2020-04-16,1.56511
2020-04-17,1.94994
2020-04-18,0.31086
2020-04-19,0.25242
2020-04-20,1.73515
2020-04-21,1.67671
2020-04-22,1.65013
2020-04-23,1.6954
2020-04-24,1.40244
2020-04-25,0.21189
2020-04-26,0.16214
2020-04-27,1.49746
2020-04-28,1.51036
2020-04-29,1.77726
2020-04-30,0.26558
2020-05-01,0.30086
2020-05-02,0.15924
2020-05-03,0.16319
2020-05-04,1.48088
2020-05-05,0.24874
2020-05-06,1.58564
2020-05-07,1.48614
2020-05-08,1.37375
2020-05-09,0.19636
2020-05-10,0.15266
2020-05-11,1.34716
2020-05-12,1.31031
2020-05-13,1.29109
2020-05-14,1.24635
2020-05-15,1.34163
2020-05-16,0.18978
2020-05-17,0.13134
2020-05-18,1.44613
2020-05-19,1.74594
2020-05-20,1.44876
2020-05-21,1.40559
2020-05-22,1.22318
2020-05-23,0.14924
2020-05-24,0.13924
2020-05-25,1.30689
2020-05-26,1.34295
2020-05-27,1.71225
2020-05-28,1.63591
2020-05-29,1.40165
2020-05-30,0.16793
2020-05-31,0.1445
2020-06-01,1.44771
2020-06-02,1.62038
2020-06-03,1.98073
2020-06-04,1.80911
2020-06-05,1.6704
2020-06-06,0.20662
2020-06-07,0.19741
2020-06-08,1.73199
2020-06-09,2.05733
2020-06-10,2.60615
2020-06-11,2.20079
2020-06-12,2.01574
2020-06-13,0.20478
2020-06-14,0.1395
2020-06-15,1.84939
2020-06-16,1.85096
2020-06-17,1.83807
2020-06-18,1.79569
2020-06-19,1.55247
2020-06-20,0.17319
2020-06-21,0.11818
2020-06-22,1.39006
2020-06-23,1.37296
2020-06-24,1.41481
2020-06-25,1.25951
2020-06-26,1.23055
2020-06-27,0.1445
2020-06-28,0.08949
2020-06-29,1.15132
2020-06-30,1.1787
2020-07-01,1.19897
2020-07-02,1.1429
2020-07-03,1.08631
2020-07-04,0.11134
2020-07-05,0.11002
2020-07-06,1.7133
2020-07-07,1.762
2020-07-08,1.60591
2020-07-09,1.51299
2020-07-10,1.34137
2020-07-11,0.14292
2020-07-12,0.14898
2020-07-13,1.40954
2020-07-14,1.66039
2020-07-15,2.15814
2020-07-16,1.81596
2020-07-17,1.78437
2020-07-18,0.20452
2020-07-19,0.17477
2020-07-20,1.55721
2020-07-21,1.63697
2020-07-22,1.4943
2020-07-23,1.40559
2020-07-24,1.2853
2020-07-25,0.15187
2020-07-26,0.24979
2020-07-27,1.3848
2020-07-28,1.47587
2020-07-29,1.41349
2020-07-30,1.42086
2020-07-31,1.33821
2020-08-01,0.23163
2020-08-02,0.19767
2020-08-03,1.56984
2020-08-04,1.77463
2020-08-05,1.78963
2020-08-06,1.60801
2020-08-07,1.54537
2020-08-08,0.20636
2020-08-09,0.19767
2020-08-10,2.86331
2020-08-11,2.39346
2020-08-12,2.40926
2020-08-13,2.52007
2020-08-14,2.21316
2020-08-15,0.26795
2020-08-16,0.20004
2020-08-17,0.41694
2020-08-18,1.90098
2020-08-19,1.85412
2020-08-20,1.95441
2020-08-21,2.51297
2020-08-22,0.31165
2020-08-23,0.24268
2020-08-24,2.19289
2020-08-25,2.0268
2020-08-26,2.04759
2020-08-27,1.84175
2020-08-28,1.66013
2020-08-29,0.22952
2020-08-30,0.22821
2020-08-31,1.69566
2020-09-01,1.80648
2020-09-02,1.78963
2020-09-03,1.69724
2020-09-04,1.5888
2020-09-05,0.22031
2020-09-06,0.16503
2020-09-07,1.56379
2020-09-08,1.62433
2020-09-09,2.40531
2020-09-10,2.48375
2020-09-11,2.07944
2020-09-12,0.27769
2020-09-13,0.23058
2020-09-14,1.96757
2020-09-15,1.84965
2020-09-16,1.76384
2020-09-17,1.82227
2020-09-18,1.63328
2020-09-19,0.21531
2020-09-20,0.18241
2020-09-21,1.60696
2020-09-22,1.54115
2020-09-23,1.5201
2020-09-24,1.53036
2020-09-25,1.73041
2020-09-26,0.22663
2020-09-27,0.17162
2020-09-28,1.51562
2020-09-29,1.30768
2020-09-30,0.1624
2020-10-01,0.13582
2020-10-02,0.12555
2020-10-03,0.11976
2020-10-04,0.14003
2020-10-05,1.37822
2020-10-06,1.96415
2020-10-07,1.7333
2020-10-08,2.14367
2020-10-09,0.36614
2020-10-10,0.20847
2020-10-11,0.20504
2020-10-12,1.83307
2020-10-13,1.62696
2020-10-14,1.46929
2020-10-15,1.34874
2020-10-16,1.39638
2020-10-17,0.20715
2020-10-18,0.16872
2020-10-19,1.4385
2020-10-20,1.47008
2020-10-21,1.36585
2020-10-22,1.30399
2020-10-23,1.25003
2020-10-24,0.17951
2020-10-25,0.18004
2020-10-26,1.24108
2020-10-27,1.2166
2020-10-28,1.19133
2020-10-29,1.30899
2020-10-30,1.55905
2020-10-31,0.24848
2020-11-01,0.16846
2020-11-02,1.25951
2020-11-03,1.26003
2020-11-04,1.24793
2020-11-05,1.29373
2020-11-06,1.2166
2020-11-07,0.16503
2020-11-08,0.1424
2020-11-09,1.32294
2020-11-10,1.34058
2020-11-11,1.30583
2020-11-12,1.16238
2020-11-13,1.25898
2020-11-14,0.21952
2020-11-15,0.16556
2020-11-16,1.58353
2020-11-17,1.55431
2020-11-18,1.86228
2020-11-19,1.74383
2020-11-20,1.39822
2020-11-21,0.19109
2020-11-22,0.1724
2020-11-23,1.62512
2020-11-24,1.56748
2020-11-25,1.59222
2020-11-26,1.60959
2020-11-27,1.4743
2020-11-28,0.29638
2020-11-29,0.25216
2020-11-30,1.51299
2020-12-01,1.54826
2020-12-02,1.6525
2020-12-03,2.18131
2020-12-04,2.32134
2020-12-05,0.35271
2020-12-06,0.32692
2020-12-07,2.08786
2020-12-08,3.37738
2020-12-09,2.88648
2020-12-10,2.444
2020-12-11,2.24001
2020-12-12,0.31533
2020-12-13,0.30612
2020-12-14,2.03943
2020-12-15,1.81964
2020-12-16,2.76566
2020-12-17,2.63747
2020-12-18,1.97599
2020-12-19,0.28164
2020-12-20,0.26637
2020-12-21,1.87623
2020-12-22,1.76779
2020-12-23,100.0
2020-12-24,40.52944
2020-12-25,1.86886
2020-12-26,1.31136
2020-12-27,1.60801
2020-12-28,11.93864
